Team,tm1,tm2,Picks Recorded,Win Rate
BROCK,GUS,PIPER,260,0.5769230769230769
BROCK,BYRON,PIPER,252,0.5674603174603174
BROCK,NANI,PIPER,249,0.6305220883534136
BROCK,GUS,NANI,242,0.6074380165289256
BYRON,COLT,PIPER,232,0.4396551724137931
COLT,GUS,PIPER,224,0.6339285714285714
GUS,NANI,PIPER,213,0.6150234741784038
BROCK,BYRON,NANI,209,0.5358851674641149
BYRON,NANI,PIPER,208,0.4807692307692308
BROCK,GENE,PIPER,208,0.5096153846153846
BYRON,GUS,PIPER,202,0.5792079207920792
BROCK,COLT,NANI,201,0.5024875621890548
BROCK,GENE,GUS,199,0.5879396984924623
BELLE,BROCK,BYRON,197,0.5380710659898477
GENE,NANI,PIPER,193,0.5233160621761658
BELLE,BROCK,PIPER,191,0.4712041884816754
GENE,GUS,PIPER,190,0.5473684210526316
BROCK,BYRON,GUS,184,0.5380434782608695
BROCK,COLT,PIPER,183,0.5027322404371585
COLT,NANI,PIPER,183,0.5245901639344263
COLT,LEON,PIPER,180,0.5055555555555555
BROCK,BYRON,GENE,177,0.4689265536723164
BYRON,GUS,NANI,176,0.6363636363636364
BELLE,COLT,PIPER,176,0.5227272727272727
BELLE,BYRON,PIPER,173,0.45664739884393063
BELLE,BROCK,GENE,172,0.5232558139534884
BELLE,GENE,PIPER,171,0.5146198830409356
BROCK,BYRON,COLT,170,0.4588235294117647
BROCK,GENE,NANI,166,0.5662650602409639
COLT,GUS,NANI,165,0.5636363636363636
BELLE,BROCK,GUS,161,0.6149068322981367
BYRON,GENE,PIPER,161,0.42857142857142855
BELLE,BROCK,NANI,160,0.59375
BELLE,GUS,NANI,160,0.53125
BROCK,LEON,PIPER,159,0.5786163522012578
BELLE,COLT,GUS,158,0.4936708860759494
BELLE,LEON,PIPER,157,0.535031847133758
BROCK,MANDY,PIPER,153,0.5424836601307189
BELLE,GUS,PIPER,153,0.6209150326797386
BELLE,COLT,NANI,152,0.48026315789473684
ANGELO,BROCK,PIPER,151,0.6490066225165563
BELLE,MANDY,NANI,150,0.49333333333333335
BROCK,COLT,GENE,146,0.5
BELLE,BYRON,COLT,146,0.4657534246575342
BROCK,GUS,MANDY,146,0.6027397260273972
BROCK,MANDY,NANI,145,0.6206896551724138
BELLE,BYRON,NANI,144,0.5208333333333334
BROCK,BYRON,MANDY,144,0.4652777777777778
BELLE,GENE,NANI,143,0.6153846153846154
BROCK,COLT,GUS,143,0.5664335664335665
BELLE,BROCK,COLT,142,0.4647887323943662
BELLE,BYRON,GUS,142,0.6690140845070423
BYRON,LEON,PIPER,141,0.5319148936170213
ANGELO,NANI,PIPER,140,0.6214285714285714
BYRON,COLT,NANI,140,0.5285714285714286
ANGELO,BYRON,GUS,138,0.5652173913043478
COLT,MANDY,PIPER,137,0.49635036496350365
GENE,GUS,NANI,136,0.5514705882352942
GRAY,GUS,PIPER,135,0.6
ANGELO,BROCK,NANI,135,0.6074074074074074
COLT,GENE,NANI,134,0.48507462686567165
ANGELO,BROCK,BYRON,134,0.5970149253731343
GUS,MANDY,PIPER,134,0.5746268656716418
BYRON,GENE,GUS,133,0.5789473684210527
BYRON,LEON,NANI,131,0.5267175572519084
BYRON,GUS,MANDY,128,0.5546875
ANGELO,BYRON,PIPER,128,0.5859375
BELLE,COLT,GENE,127,0.5039370078740157
BELLE,BYRON,GENE,125,0.456
ANGELO,GENE,GUS,125,0.648
BELLE,NANI,PIPER,125,0.6
ANGELO,BROCK,GENE,125,0.52
COLT,GENE,PIPER,124,0.5725806451612904
ANGELO,BROCK,GUS,123,0.6585365853658537
BELLE,GENE,GUS,122,0.6065573770491803
MANDY,NANI,PIPER,121,0.5289256198347108
GUS,LEON,PIPER,121,0.5537190082644629
BELLE,BROCK,MANDY,121,0.45454545454545453
BELLE,MANDY,PIPER,120,0.6083333333333333
GENE,GUS,MANDY,119,0.42016806722689076
LEON,NANI,PIPER,118,0.6186440677966102
BROCK,LEON,NANI,116,0.7586206896551724
BYRON,COLT,GUS,115,0.5565217391304348
BELLE,PIPER,SPROUT,115,0.5565217391304348
GENE,MANDY,PIPER,114,0.5789473684210527
BELLE,BROCK,LEON,114,0.6228070175438597
BROCK,GUS,LEON,114,0.6754385964912281
BROCK,GENE,MANDY,113,0.504424778761062
ANGELO,BELLE,BROCK,113,0.584070796460177
BELLE,GRAY,GUS,113,0.5398230088495575
BROCK,PIPER,TICK,113,0.4690265486725664
BYRON,COLT,MANDY,113,0.3893805309734513
GUS,NANI,TICK,113,0.6814159292035398
ANGELO,GUS,NANI,112,0.5
GENE,MANDY,NANI,112,0.48214285714285715
BYRON,MANDY,PIPER,111,0.5135135135135135
ANGELO,BELLE,GUS,111,0.5495495495495496
COLT,GUS,LEON,110,0.5727272727272728
ANGELO,BELLE,PIPER,110,0.5
BROCK,COLT,LEON,109,0.5688073394495413
BELLE,GUS,MANDY,109,0.6238532110091743
GUS,LEON,NANI,108,0.6574074074074074
BYRON,GENE,NANI,105,0.5619047619047619
COLT,PIPER,STU,105,0.5523809523809524
GROM,NANI,PIPER,105,0.7142857142857143
GENE,PIPER,SPROUT,105,0.7047619047619048
BROCK,BYRON,LEON,104,0.6057692307692307
GENE,GUS,LEON,104,0.5
BYRON,MAX,PIPER,103,0.46601941747572817
ANGELO,BYRON,NANI,103,0.5339805825242718
BYRON,MANDY,NANI,102,0.5
GUS,MANDY,NANI,101,0.504950495049505
NANI,PIPER,SPROUT,101,0.5247524752475248
GUS,PIPER,SPROUT,101,0.5841584158415841
ANGELO,MANDY,PIPER,100,0.56
BROCK,GROM,GUS,99,0.7272727272727273
BROCK,COLT,MANDY,99,0.46464646464646464
ANGELO,COLT,PIPER,99,0.5252525252525253
GENE,LEON,PIPER,99,0.5757575757575758
BROCK,GUS,STU,98,0.6530612244897959
GROM,GUS,PIPER,98,0.7244897959183674
BROCK,PIPER,SPIKE,97,0.4845360824742268
ANGELO,GRAY,PIPER,97,0.4845360824742268
