Team,tm1,tm2,Picks Recorded,Win Rate
GENE,RICO,SHELLY,270,0.525925926
JACKY,RICO,SHELLY,245,0.640816327
GENE,JACKY,SHELLY,244,0.668032787
BULL,RICO,SHELLY,226,0.477876106
BUZZ,RICO,SHELLY,201,0.592039801
RICO,SHELLY,SURGE,200,0.38
RICO,ROSA,SHELLY,194,0.577319588
BUZZ,RICO,SURGE,188,0.54787234
BULL,GENE,SHELLY,185,0.589189189
GENE,ROSA,SHELLY,181,0.629834254
BULL,JACKY,SHELLY,175,0.577142857
JACKY,ROSA,SHELLY,168,0.678571429
RICO,SHELLY,TARA,164,0.591463415
GROM,RICO,SHELLY,161,0.50931677
BULL,ROSA,SHELLY,161,0.583850932
BUZZ,SHELLY,SURGE,161,0.627329193
JACKY,SHELLY,SURGE,158,0.525316456
JACKY,SHELLY,TARA,151,0.662251656
BULL,SHELLY,TARA,146,0.643835616
GENE,SHELLY,SURGE,146,0.51369863
DOUG,RICO,SHELLY,144,0.569444444
SHELLY,SURGE,TARA,142,0.535211268
BULL,BUZZ,RICO,141,0.460992908
BUZZ,GENE,SHELLY,138,0.565217391
CHESTER,JACKY,SHELLY,138,0.543478261
BULL,BUZZ,SHELLY,136,0.477941176
BULL,JACKY,RICO,136,0.566176471
GENE,JACKY,RICO,135,0.525925926
FRANK,GENE,SHELLY,131,0.580152672
JACKY,RICO,ROSA,129,0.643410853
BULL,GENE,RICO,127,0.464566929
GENE,RICO,ROSA,125,0.472
ROSA,SHELLY,TARA,124,0.677419355
FRANK,RICO,SHELLY,122,0.532786885
BUZZ,JACKY,RICO,118,0.584745763
BULL,SHELLY,SURGE,117,0.495726496
BULL,RICO,ROSA,116,0.646551724
GROM,ROSA,SHELLY,115,0.6
BUZZ,JACKY,SHELLY,114,0.754385965
GRIFF,JACKY,SHELLY,113,0.539823009
JACKY,RICO,TARA,113,0.646017699
BO,RICO,SHELLY,113,0.601769912
JACKY,RICO,SURGE,112,0.464285714
GENE,JANET,SHELLY,112,0.580357143
BULL,BUZZ,SURGE,111,0.495495495
BUZZ,JACKY,SURGE,111,0.648648649
GRIFF,RICO,SHELLY,110,0.563636364
BULL,GROM,RICO,109,0.550458716
BULL,GENE,SURGE,108,0.518518519
BUZZ,ROSA,SHELLY,108,0.611111111
GENE,GROM,SHELLY,108,0.611111111
BULL,BUZZ,JACKY,107,0.570093458
GROM,JACKY,SHELLY,106,0.726415094
BUZZ,CHESTER,SHELLY,106,0.660377358
BULL,GROM,SHELLY,104,0.615384615
CHESTER,ROSA,SHELLY,104,0.634615385
JANET,ROSA,SHELLY,103,0.708737864
GROM,RICO,SURGE,103,0.417475728
RICO,SURGE,TARA,103,0.475728155
BULL,GENE,ROSA,103,0.59223301
GENE,JACKY,ROSA,102,0.715686275
BULL,GENE,JACKY,101,0.574257426
BO,BULL,SHELLY,99,0.606060606
GENE,GRIFF,SHELLY,99,0.515151515
BUZZ,GALE,SHELLY,99,0.636363636
RICO,ROSA,SURGE,99,0.505050505
CHESTER,RICO,SHELLY,98,0.469387755
BULL,JACKY,ROSA,97,0.567010309
JACKY,ROSA,SURGE,97,0.659793814
BULL,SURGE,TARA,97,0.474226804
BUZZ,GENE,RICO,96,0.447916667
BULL,BUZZ,GENE,95,0.484210526
BULL,RICO,SURGE,95,0.389473684
ROSA,SHELLY,SURGE,94,0.617021277
CHESTER,GENE,SHELLY,94,0.542553191
BUZZ,NITA,RICO,94,0.446808511
BUZZ,DOUG,SHELLY,94,0.606382979
BULL,GRIFF,SHELLY,93,0.52688172
GENE,ROSA,SURGE,92,0.608695652
FRANK,SHELLY,SURGE,92,0.597826087
BULL,ROSA,TARA,92,0.510869565
DOUG,GENE,SHELLY,91,0.637362637
EL PRIMO,JACKY,SHELLY,91,0.538461538
CHESTER,JACKY,RICO,90,0.477777778
FRANK,JACKY,SHELLY,90,0.611111111
GROM,JACKY,RICO,89,0.561797753
GROM,SHELLY,SURGE,88,0.590909091
GRIFF,SHELLY,TARA,88,0.625
CHESTER,SHELLY,SURGE,88,0.409090909
BUZZ,FRANK,RICO,88,0.511363636
JACKY,SURGE,TARA,88,0.659090909
GROM,JACKY,SURGE,87,0.666666667
BULL,BUZZ,ROSA,87,0.517241379
CHESTER,SHELLY,TARA,87,0.586206897
GENE,SHELLY,TARA,87,0.701149425
BUZZ,GRIFF,SHELLY,86,0.604651163
BUZZ,CHESTER,RICO,86,0.534883721
CHESTER,GROM,SHELLY,86,0.581395349
GENE,RICO,SURGE,86,0.453488372
