Team,tm1,tm2,Picks Recorded,Win Rate
DYNAMIKE,RICO,SURGE,170,0.532352941
DYNAMIKE,STU,SURGE,167,0.520958084
MAISIE,STU,SURGE,150,0.616666667
RICO,STU,SURGE,150,0.576666667
LARRY & LAWRIE,STU,SURGE,137,0.598540146
COLT,STU,SURGE,125,0.48
MORTIS,STU,SURGE,118,0.453389831
DYNAMIKE,MAISIE,STU,118,0.584745763
LARRY & LAWRIE,RICO,STU,116,0.685344828
DYNAMIKE,MAISIE,SURGE,115,0.604347826
DYNAMIKE,RICO,STU,113,0.64159292
MAISIE,RICO,STU,111,0.653153153
SPIKE,STU,SURGE,110,0.5
NITA,RICO,SURGE,109,0.633027523
DYNAMIKE,GALE,SURGE,105,0.542857143
MORTIS,RICO,STU,104,0.533653846
LARRY & LAWRIE,MAISIE,SURGE,102,0.68627451
BIBI,MAISIE,STU,99,0.702020202
DYNAMIKE,NITA,SURGE,99,0.560606061
COLT,MAISIE,SURGE,98,0.525510204
DYNAMIKE,NITA,RICO,98,0.530612245
MORTIS,RICO,SURGE,98,0.545918367
LARRY & LAWRIE,RICO,SURGE,97,0.5
FRANK,STU,SURGE,96,0.661458333
MAISIE,RICO,SURGE,95,0.626315789
BIBI,RICO,SURGE,94,0.686170213
DYNAMIKE,MAISIE,RICO,94,0.590425532
STU,SURGE,TARA,94,0.436170213
BIBI,RICO,STU,92,0.722826087
NITA,RICO,STU,92,0.733695652
BARLEY,MAISIE,SURGE,90,0.588888889
LARRY & LAWRIE,MAISIE,STU,89,0.505617978
GALE,STU,SURGE,88,0.5
BIBI,STU,SURGE,88,0.659090909
NITA,STU,SURGE,87,0.545977011
DYNAMIKE,NITA,STU,85,0.576470588
GALE,RICO,STU,84,0.553571429
BIBI,DYNAMIKE,SURGE,84,0.595238095
BARLEY,RICO,SURGE,84,0.613095238
FRANK,RICO,SURGE,83,0.614457831
COLT,RICO,SURGE,82,0.5
BIBI,DYNAMIKE,RICO,81,0.549382716
FRANK,MAISIE,SURGE,79,0.563291139
COLT,MAISIE,STU,78,0.487179487
MAISIE,MORTIS,STU,78,0.685897436
COLT,DYNAMIKE,SURGE,78,0.5
GALE,MAISIE,STU,77,0.487012987
GALE,RICO,SURGE,76,0.532894737
RICO,SPIKE,SURGE,76,0.486842105
BIBI,DYNAMIKE,STU,76,0.552631579
MAISIE,MORTIS,SURGE,76,0.585526316
BARLEY,RICO,STU,75,0.606666667
DYNAMIKE,SPIKE,SURGE,75,0.573333333
JESSIE,STU,SURGE,74,0.574324324
MAISIE,MORTIS,RICO,74,0.587837838
RICO,SURGE,TARA,73,0.561643836
BIBI,COLT,SURGE,72,0.569444444
DYNAMIKE,FRANK,RICO,72,0.590277778
FRANK,RICO,STU,71,0.697183099
COLT,NITA,STU,71,0.507042254
BIBI,MAISIE,SURGE,71,0.73943662
LARRY & LAWRIE,NITA,RICO,70,0.592857143
DYNAMIKE,MORTIS,RICO,70,0.485714286
CORDELIUS,STU,SURGE,70,0.592857143
DYNAMIKE,MAX,SURGE,70,0.428571429
BARLEY,STU,SURGE,70,0.6
MAISIE,NITA,STU,70,0.671428571
COLT,GALE,SURGE,69,0.536231884
BUZZ,RICO,STU,69,0.492753623
DYNAMIKE,GALE,MAISIE,69,0.492753623
GALE,LARRY & LAWRIE,STU,69,0.456521739
BIBI,MAISIE,RICO,68,0.698529412
CORDELIUS,RICO,SURGE,67,0.514925373
FRANK,MAISIE,RICO,67,0.664179104
COLT,RICO,STU,67,0.417910448
BUZZ,RICO,SURGE,65,0.469230769
COLT,DYNAMIKE,STU,64,0.453125
DYNAMIKE,SURGE,TARA,64,0.6015625
COLT,GALE,STU,64,0.5625
BUZZ,LARRY & LAWRIE,RICO,64,0.6015625
DYNAMIKE,SPIKE,STU,63,0.492063492
BIBI,LARRY & LAWRIE,STU,63,0.587301587
DYNAMIKE,JESSIE,RICO,63,0.634920635
DARRYL,STU,SURGE,63,0.452380952
LARRY & LAWRIE,SPIKE,STU,63,0.507936508
DYNAMIKE,MORTIS,STU,63,0.380952381
DYNAMIKE,GRIFF,STU,62,0.508064516
GALE,MAISIE,RICO,62,0.580645161
COLT,MORTIS,SURGE,61,0.483606557
JUJU,STU,SURGE,61,0.68852459
COLETTE,DYNAMIKE,SURGE,60,0.483333333
MAISIE,STU,TARA,60,0.533333333
BIBI,NITA,RICO,60,0.741666667
FRANK,MAISIE,STU,60,0.666666667
RICO,STU,TARA,60,0.433333333
COLT,MORTIS,RICO,60,0.541666667
GALE,NITA,RICO,60,0.55
DYNAMIKE,FRANK,STU,59,0.559322034
CORDELIUS,RICO,STU,59,0.491525424
DYNAMIKE,GALE,NITA,59,0.491525424
BUZZ,DYNAMIKE,RICO,58,0.620689655
DYNAMIKE,RICO,SPIKE,58,0.396551724
GALE,NITA,SURGE,58,0.586206897
DYNAMIKE,GALE,RICO,58,0.594827586
COLT,NITA,SURGE,58,0.543103448
BIBI,LARRY & LAWRIE,SURGE,58,0.655172414
JUJU,RICO,SURGE,58,0.689655172
BUZZ,STU,SURGE,57,0.622807018
BIBI,LARRY & LAWRIE,RICO,57,0.605263158
MAISIE,NITA,SURGE,57,0.675438596
BIBI,GALE,RICO,56,0.598214286
LARRY & LAWRIE,RICO,TARA,56,0.482142857
BIBI,COLT,DYNAMIKE,56,0.375
MAISIE,SPIKE,SURGE,56,0.508928571
BIBI,MORTIS,SURGE,56,0.401785714
DYNAMIKE,MAISIE,SPIKE,56,0.491071429
JACKY,STU,SURGE,56,0.714285714
DYNAMIKE,FRANK,MAISIE,55,0.645454545
BUZZ,MAISIE,STU,55,0.554545455
DYNAMIKE,MORTIS,SURGE,54,0.462962963
LARRY & LAWRIE,NITA,STU,54,0.546296296
BARLEY,GALE,STU,54,0.722222222
FRANK,LARRY & LAWRIE,SURGE,54,0.740740741
COLT,SPIKE,SURGE,53,0.518867925
LARRY & LAWRIE,MAISIE,RICO,53,0.509433962
COLT,DYNAMIKE,RICO,53,0.301886792
BIBI,MORTIS,RICO,53,0.433962264
FRANK,GALE,SURGE,53,0.641509434
COLETTE,RICO,SURGE,52,0.519230769
COLT,FRANK,STU,52,0.586538462
BIBI,DYNAMIKE,MAISIE,52,0.605769231
FRANK,MORTIS,RICO,52,0.644230769
BUZZ,DYNAMIKE,STU,52,0.576923077
MAISIE,SPIKE,STU,52,0.586538462
LARRY & LAWRIE,MORTIS,SURGE,51,0.509803922
BUZZ,DYNAMIKE,SURGE,51,0.431372549
DYNAMIKE,GALE,STU,50,0.78
DYNAMIKE,FRANK,SURGE,50,0.6
GRIFF,RICO,STU,50,0.68
BARLEY,GALE,SURGE,50,0.46
KENJI,RICO,SURGE,50,0.44
DYNAMIKE,JESSIE,SURGE,49,0.571428571
NITA,SPIKE,SURGE,49,0.663265306
DYNAMIKE,MAISIE,TARA,49,0.530612245
MORTIS,NITA,SURGE,49,0.510204082
BIBI,COLT,MAISIE,49,0.591836735
FANG,RICO,SURGE,48,0.510416667
DYNAMIKE,RICO,SANDY,48,0.635416667
DYNAMIKE,MAISIE,NITA,48,0.614583333
COLT,SPIKE,STU,48,0.625
COLT,MORTIS,STU,48,0.697916667
JESSIE,MAISIE,SURGE,48,0.479166667
GALE,LARRY & LAWRIE,SURGE,48,0.677083333
FRANK,MAX,STU,48,0.583333333
NITA,SURGE,TARA,48,0.604166667
MORTIS,NITA,RICO,47,0.680851064
FRANK,NITA,SURGE,47,0.553191489
BIBI,COLT,STU,47,0.468085106
CORDELIUS,MAISIE,SURGE,47,0.553191489
BIBI,DYNAMIKE,GALE,47,0.574468085
BIBI,GALE,SURGE,47,0.627659574
COLT,GALE,RICO,47,0.478723404
MORTIS,SURGE,TARA,47,0.5
BIBI,SURGE,TARA,47,0.712765957
NITA,RICO,SPIKE,47,0.521276596
JUJU,RICO,STU,47,0.744680851
COLT,SHELLY,SURGE,46,0.423913043
GALE,MORTIS,RICO,46,0.47826087
CORDELIUS,DYNAMIKE,SURGE,46,0.5
BIBI,COLT,RICO,46,0.630434783
DYNAMIKE,GALE,MORTIS,46,0.369565217
NITA,RICO,SANDY,46,0.619565217
EMZ,RICO,SURGE,46,0.489130435
SHADE,STU,SURGE,46,0.652173913
RICO,SPIKE,STU,46,0.347826087
FRANK,LARRY & LAWRIE,STU,46,0.652173913
BIBI,NITA,SURGE,46,0.456521739
JUJU,MAISIE,STU,46,0.663043478
GALE,SPIKE,STU,46,0.586956522
GALE,MAISIE,SURGE,45,0.644444444
DYNAMIKE,SHADE,SURGE,45,0.455555556
JESSIE,MAISIE,STU,45,0.5
KENJI,MAISIE,SURGE,45,0.666666667
