Team,tm1,tm2,Picks Recorded,Win Rate
NITA,RICO,SURGE,178,0.617977528
NITA,SHELLY,SURGE,169,0.612426036
BIBI,NITA,SURGE,151,0.652317881
BIBI,NITA,RICO,148,0.760135135
BIBI,RICO,SURGE,141,0.592198582
NITA,SURGE,TARA,134,0.697761194
FRANK,NITA,SURGE,128,0.69140625
JACKY,NITA,SURGE,128,0.6796875
RICO,SHELLY,SURGE,127,0.527559055
EL PRIMO,NITA,RICO,122,0.676229508
NITA,RICO,TARA,119,0.584033613
JACKY,SURGE,TARA,117,0.61965812
BIBI,BUZZ,RICO,112,0.674107143
BIBI,DYNAMIKE,RICO,110,0.477272727
GALE,NITA,SURGE,110,0.559090909
BIBI,DYNAMIKE,SURGE,109,0.532110092
EL PRIMO,NITA,TARA,106,0.646226415
BIBI,BUZZ,SURGE,106,0.485849057
BIBI,SURGE,TARA,105,0.514285714
FRANK,RICO,SURGE,103,0.611650485
BIBI,RICO,TARA,103,0.63592233
FRANK,NITA,RICO,102,0.68627451
MAISIE,NITA,SURGE,101,0.673267327
GALE,SHELLY,SURGE,99,0.53030303
RICO,SANDY,SURGE,99,0.626262626
SHELLY,SURGE,TARA,98,0.484693878
BUZZ,NITA,RICO,97,0.613402062
JACKY,RICO,SURGE,97,0.572164948
NITA,SHELLY,TARA,97,0.597938144
RICO,SURGE,TARA,96,0.427083333
MAISIE,NITA,RICO,96,0.625
CORDELIUS,NITA,SURGE,96,0.526041667
JACKY,NITA,RICO,96,0.770833333
BIBI,SHELLY,SURGE,94,0.515957447
BUZZ,NITA,SURGE,93,0.623655914
BIBI,MAISIE,SURGE,92,0.592391304
GALE,RICO,SURGE,92,0.461956522
GALE,JACKY,NITA,91,0.714285714
GALE,NITA,RICO,90,0.605555556
BIBI,MAISIE,NITA,90,0.677777778
DYNAMIKE,MAISIE,SURGE,89,0.45505618
EL PRIMO,SANDY,SURGE,89,0.617977528
DYNAMIKE,NITA,SURGE,89,0.662921348
CORDELIUS,RICO,SURGE,88,0.539772727
BUZZ,RICO,SURGE,88,0.539772727
EL PRIMO,RICO,SURGE,87,0.597701149
EL PRIMO,NITA,SURGE,87,0.706896552
NITA,RICO,SHELLY,87,0.66091954
MAISIE,RICO,SURGE,86,0.569767442
BUZZ,RICO,TARA,86,0.598837209
NITA,RICO,STU,86,0.552325581
RICO,STU,SURGE,85,0.511764706
BIBI,SANDY,SURGE,85,0.588235294
NITA,SANDY,SURGE,85,0.647058824
DYNAMIKE,JACKY,SURGE,84,0.56547619
FRANK,MAISIE,SURGE,84,0.619047619
MORTIS,RICO,SURGE,84,0.494047619
BIBI,STU,SURGE,83,0.518072289
BIBI,JACKY,RICO,82,0.719512195
FRANK,SANDY,SURGE,81,0.660493827
DYNAMIKE,SURGE,TARA,81,0.456790123
