Team,tm1,tm2,Picks Recorded,Win Rate
DYNAMIKE,RICO,SURGE,194,0.56443299
BIBI,STU,SURGE,193,0.590673575
DYNAMIKE,STU,SURGE,191,0.594240838
BARLEY,RICO,SURGE,177,0.528248588
BIBI,DYNAMIKE,SURGE,174,0.560344828
LARRY & LAWRIE,STU,SURGE,162,0.537037037
MORTIS,RICO,SURGE,155,0.512903226
NITA,STU,SURGE,154,0.545454545
LARRY & LAWRIE,RICO,SURGE,153,0.62745098
BIBI,RICO,SURGE,148,0.523648649
NITA,RICO,SURGE,148,0.469594595
BARLEY,STU,SURGE,148,0.641891892
RICO,STU,SURGE,147,0.530612245
DYNAMIKE,RICO,STU,143,0.636363636
DYNAMIKE,NITA,SURGE,140,0.657142857
BIBI,NITA,SURGE,139,0.64028777
LARRY & LAWRIE,NITA,SURGE,136,0.577205882
MORTIS,RICO,STU,132,0.549242424
MORTIS,STU,SURGE,126,0.468253968
FRANK,RICO,SURGE,125,0.588
DYNAMIKE,MAISIE,SURGE,122,0.573770492
BARLEY,NITA,RICO,121,0.599173554
BIBI,DYNAMIKE,RICO,121,0.615702479
LARRY & LAWRIE,RICO,STU,117,0.576923077
DYNAMIKE,NITA,STU,117,0.64957265
BARLEY,RICO,STU,116,0.642241379
BIBI,RICO,STU,114,0.600877193
MORTIS,NITA,SURGE,114,0.548245614
MAISIE,NITA,SURGE,114,0.565789474
DYNAMIKE,JACKY,SURGE,113,0.672566372
DYNAMIKE,MAISIE,RICO,112,0.53125
BIBI,LARRY & LAWRIE,RICO,112,0.598214286
BARLEY,BIBI,SURGE,112,0.602678571
BIBI,LARRY & LAWRIE,SURGE,111,0.459459459
BARLEY,MAISIE,SURGE,110,0.563636364
DYNAMIKE,MAISIE,STU,108,0.689814815
DYNAMIKE,FRANK,SURGE,108,0.611111111
BIBI,NITA,RICO,107,0.630841121
MAISIE,STU,SURGE,106,0.570754717
LARRY & LAWRIE,MAISIE,SURGE,104,0.572115385
DYNAMIKE,GALE,SURGE,104,0.509615385
MAISIE,RICO,STU,103,0.582524272
BUZZ,RICO,SURGE,102,0.637254902
DYNAMIKE,NITA,RICO,101,0.54950495
BIBI,DYNAMIKE,STU,101,0.688118812
NITA,RICO,STU,101,0.594059406
DYNAMIKE,MORTIS,SURGE,101,0.495049505
LARRY & LAWRIE,NITA,STU,100,0.595
BUZZ,DYNAMIKE,SURGE,99,0.505050505
LARRY & LAWRIE,MORTIS,SURGE,98,0.515306122
JACKY,RICO,SURGE,98,0.637755102
JUJU,NITA,SURGE,98,0.704081633
BARLEY,NITA,SURGE,97,0.474226804
DYNAMIKE,GALE,STU,95,0.526315789
LARRY & LAWRIE,NITA,RICO,94,0.691489362
JUJU,STU,SURGE,93,0.709677419
DYNAMIKE,SHADE,SURGE,92,0.559782609
BARLEY,BIBI,RICO,92,0.559782609
FRANK,NITA,SURGE,92,0.5
JACKY,NITA,RICO,91,0.796703297
DYNAMIKE,FRANK,RICO,90,0.638888889
