Team,tm1,tm2,Picks Recorded,Win Rate
BROCK,COLT,PIPER,482,0.6109958506224067
COLETTE,COLT,PIPER,474,0.5959915611814346
COLT,JESSIE,PIPER,441,0.562358276643991
BROCK,COLETTE,COLT,414,0.6002415458937198
BROCK,COLETTE,PIPER,363,0.5454545454545454
COLETTE,JESSIE,PIPER,362,0.5552486187845304
COLETTE,COLT,JESSIE,352,0.6079545454545454
BROCK,COLT,JESSIE,340,0.5838235294117647
COLT,CROW,PIPER,333,0.5075075075075075
ANGELO,COLT,PIPER,313,0.670926517571885
COLETTE,COLT,CROW,300,0.54
BELLE,COLT,PIPER,297,0.5404040404040404
ANGELO,COLETTE,COLT,296,0.660472972972973
COLT,CROW,JESSIE,291,0.5670103092783505
BROCK,COLT,CROW,278,0.6636690647482014
BELLE,COLETTE,COLT,274,0.5894160583941606
COLETTE,COLT,NANI,269,0.587360594795539
COLETTE,CROW,PIPER,269,0.5353159851301115
BROCK,COLT,NANI,260,0.5826923076923077
BELLE,COLETTE,PIPER,259,0.49034749034749037
BROCK,COLETTE,JESSIE,254,0.5551181102362205
CROW,JESSIE,PIPER,253,0.5217391304347826
COLT,JESSIE,NANI,249,0.5301204819277109
COLT,NANI,PIPER,248,0.4879032258064516
BROCK,MELODIE,PIPER,242,0.5867768595041323
ANGELO,COLETTE,PIPER,239,0.6527196652719666
BELLE,BROCK,COLT,238,0.5504201680672269
ANGELO,BROCK,COLETTE,237,0.5295358649789029
COLETTE,COLT,MELODIE,234,0.6623931623931624
BROCK,JESSIE,PIPER,231,0.5021645021645021
COLETTE,NANI,PIPER,230,0.5260869565217391
ANGELO,COLT,JESSIE,228,0.6666666666666666
COLT,MELODIE,PIPER,227,0.6828193832599119
ANGELO,BROCK,COLT,225,0.6844444444444444
COLT,PIPER,RICO,224,0.48660714285714285
COLETTE,JESSIE,NANI,224,0.46875
BYRON,COLETTE,COLT,220,0.5636363636363636
BROCK,COLETTE,CROW,217,0.5023041474654378
BROCK,CROW,JESSIE,215,0.44651162790697674
BROCK,COLT,MELODIE,215,0.6930232558139535
BYRON,COLT,PIPER,213,0.528169014084507
BELLE,BROCK,COLETTE,213,0.5117370892018779
JESSIE,NANI,PIPER,201,0.4502487562189055
COLT,EVE,PIPER,197,0.6878172588832487
COLETTE,MELODIE,PIPER,196,0.6428571428571429
ANGELO,COLETTE,JESSIE,194,0.634020618556701
ANGELO,JESSIE,PIPER,193,0.6683937823834197
BROCK,COLT,RICO,191,0.6020942408376964
8-BIT,BROCK,COLT,189,0.6031746031746031
ANGELO,COLT,CROW,188,0.5797872340425532
BROCK,CROW,PIPER,188,0.5053191489361702
BROCK,COLETTE,MELODIE,188,0.6382978723404256
ANGELO,COLT,NANI,188,0.6356382978723404
COLETTE,COLT,RICO,187,0.45454545454545453
8-BIT,COLETTE,COLT,186,0.6129032258064516
JESSIE,MELODIE,PIPER,181,0.6850828729281768
ANGELO,BROCK,PIPER,181,0.6270718232044199
