Team,tm1,tm2,Picks Recorded,Win Rate
COLETTE,COLT,PIPER,442,0.501131222
COLETTE,COLT,CROW,388,0.590206186
COLT,CROW,PIPER,343,0.454810496
BROCK,COLETTE,COLT,335,0.576119403
COLT,CROW,JESSIE,333,0.531531532
BROCK,COLT,JESSIE,327,0.506116208
COLT,JESSIE,PIPER,316,0.46835443
COLETTE,COLT,JESSIE,299,0.571906355
BROCK,COLT,PIPER,282,0.372340426
BROCK,COLT,CROW,279,0.571684588
ANGELO,COLT,CROW,275,0.570909091
COLETTE,CROW,PIPER,271,0.540590406
BROCK,COLETTE,PIPER,264,0.454545455
COLETTE,CROW,JESSIE,264,0.606060606
BROCK,COLETTE,JESSIE,247,0.530364372
BROCK,COLETTE,CROW,240,0.575
COLT,MELODIE,PIPER,237,0.554852321
ANGELO,COLT,JESSIE,235,0.591489362
CROW,JESSIE,PIPER,223,0.52690583
COLETTE,JESSIE,PIPER,222,0.513513514
ANGELO,COLETTE,COLT,222,0.576576577
BROCK,CROW,PIPER,220,0.481818182
COLETTE,COLT,MELODIE,211,0.672985782
ANGELO,COLT,PIPER,206,0.461165049
BROCK,COLT,MELODIE,205,0.624390244
COLETTE,COLT,SPIKE,205,0.585365854
COLT,CROW,MELODIE,199,0.650753769
COLT,CROW,RICO,195,0.523076923
BROCK,CROW,JESSIE,195,0.620512821
BROCK,JESSIE,PIPER,192,0.385416667
ANGELO,COLETTE,PIPER,185,0.556756757
COLT,CROW,SPIKE,185,0.527027027
JESSIE,MELODIE,PIPER,185,0.654054054
BROCK,COLT,PENNY,184,0.491847826
BELLE,COLETTE,COLT,182,0.516483516
COLT,JESSIE,MELODIE,176,0.667613636
CARL,COLT,PIPER,176,0.392045455
BROCK,MELODIE,PIPER,174,0.528735632
ANGELO,BROCK,COLT,173,0.543352601
ANGELO,COLETTE,JESSIE,172,0.651162791
BROCK,COLT,RICO,172,0.380813953
COLT,JESSIE,SPIKE,170,0.497058824
ANGELO,BROCK,COLETTE,166,0.593373494
BROCK,COLT,SPIKE,166,0.487951807
CARL,COLETTE,PIPER,162,0.617283951
ANGELO,CROW,JESSIE,159,0.635220126
CROW,MELODIE,PIPER,158,0.518987342
COLT,PIPER,SPIKE,157,0.477707006
BROCK,COLETTE,MELODIE,157,0.668789809
BROCK,CROW,SPIKE,156,0.583333333
ANGELO,BROCK,JESSIE,154,0.545454545
BROCK,CROW,MELODIE,154,0.701298701
ANGELO,COLT,MELODIE,150,0.6
COLT,EVE,PIPER,149,0.506711409
BROCK,CROW,RICO,149,0.416107383
CARL,COLT,JESSIE,149,0.570469799
COLETTE,COLT,RICO,145,0.434482759
COLT,JESSIE,PENNY,144,0.604166667
COLETTE,COLT,PENNY,144,0.5625
COLETTE,COLT,NANI,144,0.506944444
COLETTE,CROW,MELODIE,143,0.678321678
COLT,CROW,NITA,143,0.58041958
COLETTE,MELODIE,PIPER,143,0.594405594
ANGELO,COLETTE,CROW,143,0.657342657
COLT,JESSIE,RICO,141,0.588652482
ANGELO,CROW,PIPER,141,0.539007092
BROCK,COLETTE,SPIKE,141,0.468085106
COLT,CROW,PENNY,141,0.567375887
COLT,JESSIE,NITA,137,0.594890511
CHUCK,COLT,PIPER,134,0.470149254
COLETTE,PIPER,SPIKE,132,0.46969697
CROW,PIPER,SPIKE,132,0.5
CARL,COLETTE,CROW,131,0.755725191
BROCK,JESSIE,MELODIE,129,0.705426357
COLT,EVE,JESSIE,129,0.604651163
AMBER,BROCK,COLT,128,0.484375
ANGELO,JESSIE,PIPER,126,0.464285714
BELLE,BROCK,COLETTE,126,0.5
BROCK,CHUCK,COLT,126,0.595238095
BELLE,COLT,CROW,126,0.444444444
COLETTE,JESSIE,MELODIE,126,0.674603175
COLT,PENNY,PIPER,126,0.384920635
ANGELO,COLT,PENNY,125,0.584
BROCK,JESSIE,SPIKE,124,0.596774194
BROCK,COLETTE,PENNY,124,0.52016129
BROCK,COLT,NITA,124,0.584677419
COLETTE,COLT,EVE,124,0.620967742
BELLE,COLT,JESSIE,124,0.52016129
CARL,COLETTE,COLT,124,0.677419355
JESSIE,PENNY,PIPER,124,0.467741935
ANGELO,BROCK,CROW,123,0.609756098
AMBER,COLETTE,COLT,123,0.504065041
BELLE,COLETTE,PIPER,123,0.589430894
BROCK,CHUCK,COLETTE,122,0.540983607
COLETTE,PENNY,PIPER,120,0.525
CHUCK,CROW,PIPER,119,0.571428571
BYRON,COLETTE,COLT,119,0.495798319
ANGELO,BELLE,COLT,119,0.495798319
CROW,JESSIE,RICO,118,0.644067797
COLT,NANI,PIPER,118,0.406779661
BROCK,COLETTE,RICO,117,0.52991453
BROCK,CARL,COLETTE,117,0.572649573
COLETTE,COLT,NITA,115,0.634782609
COLT,MELODIE,SPIKE,114,0.587719298
BELLE,COLETTE,CROW,114,0.51754386
COLETTE,PIPER,RICO,114,0.368421053
ANGELO,COLETTE,MELODIE,113,0.752212389
COLETTE,EVE,PIPER,113,0.619469027
BELLE,COLT,PIPER,113,0.398230088
ANGELO,JESSIE,MELODIE,112,0.665178571
CHUCK,COLT,CROW,112,0.607142857
CROW,JESSIE,PENNY,111,0.531531532
CARL,COLT,CROW,110,0.627272727
BROCK,CROW,NITA,110,0.654545455
COLETTE,COLT,DARRYL,109,0.614678899
BROCK,JESSIE,PENNY,109,0.568807339
CHUCK,COLETTE,PIPER,108,0.453703704
BROCK,COLT,EVE,108,0.657407407
COLT,JESSIE,NANI,108,0.527777778
ANGELO,BROCK,PIPER,108,0.435185185
BROCK,COLT,NANI,108,0.472222222
COLETTE,JESSIE,SPIKE,108,0.5
JESSIE,NITA,PIPER,107,0.485981308
COLETTE,NANI,PIPER,106,0.485849057
CROW,JESSIE,MELODIE,106,0.688679245
BELLE,COLETTE,JESSIE,105,0.538095238
BELLE,BROCK,COLT,104,0.509615385
BROCK,CARL,PIPER,103,0.368932039
CHUCK,COLETTE,CROW,102,0.656862745
EVE,JESSIE,PIPER,102,0.568627451
BROCK,CARL,COLT,101,0.663366337
BROCK,CROW,PENNY,101,0.544554455
COLETTE,JESSIE,PENNY,100,0.59
BROCK,MELODIE,SPIKE,100,0.6
BROCK,CHUCK,PIPER,100,0.5
8-BIT,BROCK,COLT,100,0.495
ANGELO,CARL,PIPER,100,0.5
BELLE,BROCK,JESSIE,99,0.555555556
COLETTE,CROW,PENNY,99,0.626262626
CARL,COLT,MELODIE,99,0.616161616
COLETTE,CROW,SPIKE,99,0.434343434
AMBER,COLT,JESSIE,97,0.463917526
CHUCK,COLETTE,COLT,97,0.587628866
CROW,EVE,PIPER,97,0.628865979
BROCK,BYRON,COLETTE,97,0.515463918
COLETTE,CROW,RICO,97,0.654639175
COLT,CROW,EVE,97,0.695876289
CROW,NITA,PIPER,97,0.494845361
CARL,COLETTE,JESSIE,97,0.608247423
BROCK,COLETTE,EVE,96,0.588541667
AMBER,COLT,CROW,96,0.666666667
CARL,JESSIE,PIPER,95,0.494736842
BELLE,CROW,JESSIE,95,0.526315789
COLT,MELODIE,RICO,95,0.578947368
COLT,NITA,PIPER,94,0.489361702
ANGELO,BROCK,MELODIE,94,0.70212766
CHUCK,CROW,JESSIE,93,0.634408602
8-BIT,COLETTE,COLT,93,0.505376344
CARL,COLT,PENNY,92,0.652173913
8-BIT,COLT,PIPER,92,0.380434783
CARL,CROW,PIPER,91,0.456043956
JESSIE,PIPER,SPIKE,91,0.516483516
ANGELO,BELLE,COLETTE,91,0.67032967
COLETTE,CROW,EVE,90,0.677777778
BELLE,JESSIE,PIPER,90,0.511111111
CHUCK,COLT,JESSIE,90,0.611111111
COLETTE,MELODIE,PENNY,90,0.666666667
8-BIT,COLT,CROW,90,0.522222222
AMBER,COLETTE,CROW,89,0.595505618
AMBER,JESSIE,PIPER,89,0.533707865
BELLE,COLT,MELODIE,89,0.584269663
COLETTE,RICO,SPIKE,89,0.45505618
BROCK,CHUCK,CROW,88,0.579545455
AMBER,COLT,PIPER,88,0.431818182
8-BIT,ANGELO,COLT,88,0.448863636
COLT,RICO,SPIKE,88,0.522727273
COLETTE,CROW,NITA,87,0.683908046
COLT,CROW,NANI,87,0.408045977
COLT,CROW,DARRYL,87,0.528735632
BROCK,JESSIE,RICO,86,0.488372093
ANGELO,COLT,NANI,86,0.441860465
ANGELO,COLETTE,PENNY,85,0.564705882
CROW,EVE,JESSIE,85,0.576470588
CROW,JESSIE,SPIKE,85,0.564705882
CROW,JESSIE,NITA,84,0.696428571
BROCK,CHUCK,JESSIE,84,0.55952381
CROW,RICO,SPIKE,84,0.428571429
BROCK,COLETTE,NANI,83,0.56626506
COLETTE,NITA,PIPER,83,0.578313253
COLT,EVE,MELODIE,82,0.682926829
ANGELO,COLT,RICO,82,0.475609756
JESSIE,PIPER,RICO,82,0.37804878
BROCK,PENNY,PIPER,82,0.512195122
COLT,DARRYL,JESSIE,82,0.597560976
COLETTE,MELODIE,RICO,82,0.524390244
CROW,PIPER,RICO,81,0.283950617
BROCK,JESSIE,NITA,81,0.543209877
BELLE,CARL,COLT,81,0.62962963
BROCK,CARL,JESSIE,81,0.555555556
COLT,CROW,EDGAR,81,0.604938272
COLT,DARRYL,PIPER,80,0.45
CROW,PENNY,PIPER,80,0.5
BROCK,COLETTE,NITA,80,0.5625
MELODIE,PIPER,SPIKE,80,0.625
ANGELO,CROW,MELODIE,80,0.675
BELLE,BROCK,CROW,80,0.575
MELODIE,PENNY,PIPER,79,0.493670886
COLETTE,JESSIE,NITA,79,0.620253165
BYRON,COLT,CROW,79,0.481012658
COLT,MELODIE,PENNY,79,0.575949367
BROCK,CROW,NANI,79,0.556962025
COLT,NITA,RICO,79,0.53164557
COLT,MELODIE,NITA,79,0.715189873
COLETTE,COLT,JUJU,78,0.570512821
BROCK,COLT,EDGAR,77,0.376623377
BROCK,MELODIE,RICO,77,0.519480519
BROCK,CARL,CROW,77,0.441558442
AMBER,COLETTE,PIPER,76,0.5
BROCK,MELODIE,PENNY,76,0.539473684
COLETTE,JESSIE,NANI,76,0.473684211
ANGELO,COLETTE,NANI,76,0.684210526
BELLE,CROW,PIPER,76,0.526315789
COLETTE,COLT,EDGAR,76,0.565789474
8-BIT,COLETTE,PIPER,76,0.460526316
CHUCK,COLT,SPIKE,76,0.473684211
8-BIT,BROCK,COLETTE,76,0.513157895
BROCK,NITA,PIPER,75,0.406666667
CARL,COLT,SPIKE,75,0.64
BROCK,EVE,PIPER,75,0.453333333
COLETTE,NITA,SPIKE,75,0.6
JESSIE,PENNY,SPIKE,75,0.573333333
AMBER,BROCK,COLETTE,75,0.593333333
JESSIE,MELODIE,SPIKE,75,0.56
BROCK,COLETTE,DARRYL,74,0.594594595
BROCK,CARL,PENNY,73,0.520547945
8-BIT,COLT,JESSIE,73,0.589041096
ANGELO,CARL,JESSIE,73,0.780821918
JESSIE,NITA,RICO,72,0.513888889
BYRON,COLETTE,PIPER,72,0.402777778
BROCK,JESSIE,NANI,72,0.444444444
CARL,CROW,JESSIE,72,0.638888889
CARL,COLETTE,MELODIE,71,0.774647887
ANGELO,MELODIE,PIPER,71,0.647887324
BROCK,PIPER,SPIKE,71,0.338028169
ANGELO,BELLE,CROW,70,0.514285714
COLT,JUJU,PIPER,70,0.342857143
COLETTE,DARRYL,JESSIE,70,0.6
DARRYL,JESSIE,PIPER,70,0.5
8-BIT,BROCK,JESSIE,70,0.6
ANGELO,COLETTE,SPIKE,69,0.68115942
ANGELO,COLT,EVE,69,0.586956522
COLETTE,CROW,NANI,69,0.507246377
JESSIE,MELODIE,RICO,69,0.68115942
COLETTE,JESSIE,RICO,69,0.492753623
ANGELO,COLT,DARRYL,69,0.579710145
CROW,NITA,SPIKE,69,0.565217391
CROW,MELODIE,SPIKE,69,0.623188406
ANGELO,BELLE,PIPER,68,0.441176471
CHUCK,JESSIE,PIPER,68,0.573529412
BELLE,COLETTE,MELODIE,68,0.75
COLT,EVE,PENNY,68,0.617647059
COLT,EDGAR,JESSIE,68,0.588235294
BYRON,COLETTE,CROW,68,0.5
CHUCK,PIPER,SPIKE,68,0.558823529
CROW,DARRYL,PIPER,68,0.426470588
ANGELO,CHUCK,COLT,67,0.567164179
ANGELO,BROCK,CHUCK,67,0.47761194
AMBER,COLT,MELODIE,67,0.552238806
COLT,PIPER,RICO,66,0.265151515
BELLE,BROCK,MELODIE,66,0.53030303
CHUCK,COLT,RICO,66,0.545454545
COLETTE,JUJU,PENNY,66,0.560606061
8-BIT,COLETTE,CROW,66,0.515151515
BROCK,EVE,JESSIE,66,0.560606061
ANGELO,COLT,NITA,66,0.484848485
COLT,MELODIE,NANI,65,0.446153846
AMBER,COLETTE,JESSIE,65,0.676923077
CHUCK,COLETTE,JESSIE,65,0.584615385
ANGELO,COLT,SPIKE,65,0.507692308
CROW,JESSIE,NANI,65,0.661538462
CHUCK,COLT,PENNY,65,0.630769231
MELODIE,PIPER,RICO,64,0.34375
8-BIT,JESSIE,PIPER,64,0.421875
NITA,PIPER,RICO,64,0.4921875
JESSIE,NANI,PIPER,63,0.428571429
BELLE,CHUCK,COLT,63,0.634920635
ANGELO,JESSIE,PENNY,63,0.571428571
BYRON,COLT,PIPER,63,0.285714286
BROCK,CROW,EVE,63,0.650793651
COLT,EVE,NANI,63,0.619047619
COLT,PENNY,SPIKE,62,0.532258065
AMBER,CROW,PIPER,62,0.532258065
BROCK,NANI,PIPER,62,0.435483871
COLT,NITA,SPIKE,62,0.564516129
ANGELO,JESSIE,SPIKE,62,0.346774194
COLETTE,EVE,MELODIE,62,0.822580645
AMBER,MELODIE,PIPER,62,0.580645161
CARL,COLT,NANI,61,0.639344262
ANGELO,CARL,COLT,61,0.672131148
CARL,MELODIE,PIPER,61,0.672131148
BELLE,MELODIE,PIPER,61,0.491803279
BROCK,BYRON,COLT,61,0.37704918
8-BIT,ANGELO,COLETTE,61,0.680327869
COLETTE,EVE,JESSIE,61,0.836065574
ANGELO,CARL,CROW,61,0.581967213
CARL,COLETTE,NANI,61,0.663934426
BROCK,COLT,GRIFF,60,0.4
ANGELO,PENNY,PIPER,60,0.591666667
AMBER,ANGELO,PIPER,60,0.4
EVE,JESSIE,MELODIE,60,0.666666667
BYRON,COLT,JESSIE,60,0.466666667
COLETTE,CROW,DARRYL,60,0.533333333
CROW,MELODIE,NITA,60,0.8
ANGELO,CROW,PENNY,59,0.525423729
CROW,NITA,RICO,59,0.627118644
BROCK,NITA,RICO,59,0.406779661
ANGELO,BROCK,PENNY,59,0.576271186
COLETTE,COLT,GALE,59,0.474576271
ANGELO,PIPER,SPIKE,59,0.406779661
JESSIE,PENNY,RICO,59,0.542372881
COLT,CROW,JUJU,59,0.576271186
CARL,CROW,MELODIE,58,0.586206897
CARL,JESSIE,MELODIE,58,0.620689655
AMBER,BROCK,CROW,58,0.517241379
CHUCK,COLETTE,MELODIE,58,0.793103448
COLT,JESSIE,JUJU,57,0.438596491
COLT,NITA,PENNY,57,0.50877193
CROW,EVE,MELODIE,57,0.684210526
COLETTE,COLT,MICO,57,0.631578947
ANGELO,CROW,NANI,57,0.526315789
8-BIT,COLETTE,JESSIE,57,0.50877193
BELLE,BROCK,PIPER,57,0.552631579
CHUCK,COLT,NITA,57,0.649122807
8-BIT,CROW,JESSIE,56,0.535714286
COLETTE,PENNY,SPIKE,56,0.482142857
8-BIT,BROCK,PIPER,56,0.625
CHUCK,COLT,MELODIE,56,0.767857143
CROW,JUJU,PIPER,56,0.392857143
ANGELO,CARL,MELODIE,56,0.839285714
PENNY,PIPER,RICO,56,0.375
BELLE,COLT,EVE,56,0.642857143
COLT,PENNY,RICO,56,0.410714286
CHUCK,EVE,PIPER,55,0.654545455
BROCK,MELODIE,NITA,55,0.709090909
COLT,EVE,SPIKE,55,0.618181818
COLETTE,MELODIE,SPIKE,55,0.581818182
AMBER,CROW,JESSIE,55,0.6
BELLE,CROW,MELODIE,54,0.666666667
AMBER,BROCK,JESSIE,54,0.481481481
ANGELO,COLETTE,RICO,54,0.555555556
ANGELO,CARL,COLETTE,54,0.685185185
BROCK,NITA,SPIKE,54,0.574074074
COLETTE,EDGAR,JESSIE,54,0.555555556
MELODIE,NANI,PIPER,54,0.546296296
8-BIT,COLT,MELODIE,53,0.773584906
MELODIE,NITA,PIPER,53,0.528301887
BROCK,CARL,MELODIE,53,0.698113208
COLETTE,DARRYL,PIPER,53,0.433962264
BROCK,PIPER,RICO,53,0.301886792
8-BIT,ANGELO,JESSIE,53,0.641509434
BYRON,COLETTE,JESSIE,53,0.490566038
CROW,NANI,PIPER,53,0.471698113
CROW,MELODIE,RICO,53,0.754716981
AMBER,ANGELO,COLT,53,0.735849057
ANGELO,BYRON,COLT,53,0.443396226
MELODIE,NITA,SPIKE,52,0.673076923
CHUCK,CROW,SPIKE,52,0.615384615
COLT,EDGAR,PIPER,52,0.307692308
BELLE,EVE,PIPER,52,0.423076923
ANGELO,CROW,SPIKE,52,0.461538462
ANGELO,BROCK,SPIKE,52,0.384615385
CROW,DARRYL,JESSIE,52,0.730769231
BELLE,COLETTE,SPIKE,51,0.460784314
JESSIE,NITA,PENNY,51,0.705882353
8-BIT,ANGELO,PIPER,51,0.529411765
COLT,JUJU,PENNY,51,0.62745098
JESSIE,NANI,PENNY,51,0.519607843
BELLE,COLT,NANI,51,0.450980392
CROW,EDGAR,JESSIE,51,0.568627451
BROCK,CHUCK,MELODIE,51,0.568627451
ANGELO,PIPER,RICO,50,0.41
BROCK,CROW,EDGAR,50,0.54
CHUCK,MELODIE,PIPER,50,0.6
BELLE,COLETTE,PENNY,50,0.48
COLETTE,MELODIE,NITA,50,0.66
ANGELO,CHUCK,CROW,50,0.7
COLETTE,NITA,RICO,50,0.5
AMBER,COLT,EVE,50,0.48
BYRON,COLT,MELODIE,50,0.74
COLETTE,EVE,PENNY,50,0.64
BROCK,PENNY,RICO,49,0.448979592
CROW,EDGAR,MELODIE,49,0.632653061
BELLE,JESSIE,MELODIE,49,0.520408163
COLT,JUJU,MELODIE,49,0.653061224
BYRON,CROW,JESSIE,49,0.489795918
MELODIE,RICO,SPIKE,48,0.354166667
BELLE,COLT,PENNY,48,0.604166667
8-BIT,BROCK,CROW,48,0.666666667
BROCK,COLT,LOLA,48,0.5625
ANGELO,COLETTE,EVE,48,0.645833333
COLETTE,CROW,JUJU,48,0.583333333
COLT,EDGAR,MELODIE,48,0.625
8-BIT,CROW,PIPER,48,0.510416667
ANGELO,BELLE,BROCK,48,0.479166667
JESSIE,RICO,SPIKE,48,0.5
8-BIT,BROCK,MELODIE,47,0.617021277
COLETTE,EDGAR,PIPER,47,0.446808511
CHUCK,MELODIE,RICO,47,0.765957447
AMBER,ANGELO,CROW,47,0.638297872
8-BIT,CARL,COLT,47,0.521276596
JESSIE,MELODIE,NITA,47,0.70212766
COLETTE,NITA,PENNY,47,0.489361702
BELLE,COLETTE,NANI,46,0.576086957
8-BIT,COLT,PENNY,46,0.5
BROCK,EDGAR,JESSIE,46,0.5
COLT,LOLA,PIPER,46,0.608695652
COLETTE,DARRYL,MELODIE,46,0.804347826
ANGELO,BROCK,RICO,46,0.413043478
ANGELO,JESSIE,RICO,46,0.565217391
COLT,EDGAR,PENNY,46,0.52173913
BELLE,COLT,RICO,46,0.315217391
BYRON,CARL,COLETTE,46,0.5
CHUCK,JESSIE,SPIKE,46,0.565217391
COLT,CROW,MAISIE,45,0.6
ANGELO,CROW,NITA,45,0.577777778
BROCK,NANI,PENNY,45,0.444444444
BYRON,CROW,PIPER,45,0.4
8-BIT,ANGELO,BROCK,45,0.466666667
COLT,MICO,PIPER,45,0.355555556
AMBER,CHUCK,COLT,45,0.555555556
COLETTE,COLT,MANDY,45,0.466666667
AMBER,BROCK,MELODIE,45,0.577777778
COLT,JESSIE,MICO,45,0.688888889
COLT,DYNAMIKE,JESSIE,45,0.266666667
CHUCK,COLETTE,SPIKE,45,0.622222222
CARL,CHUCK,COLT,45,0.733333333
ANGELO,CHUCK,COLETTE,45,0.422222222
AMBER,COLETTE,MELODIE,45,0.688888889
EDGAR,MELODIE,PIPER,44,0.659090909
ANGELO,BROCK,CARL,44,0.590909091
CHUCK,COLETTE,RICO,44,0.681818182
COLETTE,COLT,GRIFF,44,0.522727273
BELLE,MELODIE,PENNY,44,0.590909091
BELLE,NANI,PIPER,44,0.25
ANGELO,BELLE,JESSIE,44,0.613636364
BROCK,COLT,MICO,44,0.454545455
JESSIE,MELODIE,PENNY,44,0.75
8-BIT,ANGELO,CROW,44,0.420454545
COLT,NANI,PENNY,44,0.397727273
CARL,COLT,EVE,44,0.659090909
COLETTE,JUJU,PIPER,44,0.636363636
CARL,COLETTE,EVE,43,0.697674419
8-BIT,CARL,COLETTE,43,0.441860465
BROCK,COLETTE,GRIFF,43,0.418604651
EDGAR,JESSIE,MELODIE,43,0.604651163
EDGAR,JESSIE,RICO,43,0.488372093
BROCK,BYRON,PIPER,43,0.290697674
BELLE,CHUCK,COLETTE,43,0.511627907
CROW,MELODIE,PENNY,43,0.581395349
COLETTE,CROW,EDGAR,43,0.511627907
COLETTE,PENNY,RICO,43,0.488372093
EDGAR,JESSIE,PIPER,43,0.441860465
NITA,PIPER,SPIKE,43,0.441860465
CHUCK,PENNY,PIPER,43,0.372093023
CARL,COLETTE,PENNY,43,0.627906977
8-BIT,MELODIE,PIPER,43,0.534883721
BROCK,COLT,DARRYL,43,0.511627907
BYRON,CROW,MELODIE,42,0.714285714
8-BIT,COLETTE,PENNY,42,0.571428571
CARL,CHUCK,CROW,42,0.714285714
CARL,CROW,SPIKE,42,0.547619048
BROCK,COLETTE,JUJU,42,0.5
ANGELO,CROW,RICO,42,0.380952381
BYRON,COLT,SPIKE,42,0.404761905
AMBER,ANGELO,BROCK,42,0.714285714
AMBER,COLT,SPIKE,42,0.380952381
CARL,JESSIE,PENNY,42,0.571428571
ANGELO,COLETTE,NITA,42,0.547619048
ANGELO,BROCK,BYRON,42,0.5
BELLE,PENNY,PIPER,42,0.452380952
BELLE,BROCK,PENNY,41,0.536585366
BELLE,CROW,RICO,41,0.182926829
BELLE,COLT,JUJU,41,0.5
BROCK,COLETTE,GUS,41,0.597560976
EVE,MELODIE,PIPER,41,0.463414634
ANGELO,DARRYL,JESSIE,41,0.414634146
ANGELO,BYRON,JESSIE,41,0.487804878
ANGELO,BELLE,PENNY,41,0.536585366
COLETTE,JESSIE,LEON,41,0.609756098
COLETTE,COLT,DYNAMIKE,41,0.43902439
BROCK,COLT,GALE,41,0.426829268
COLETTE,EDGAR,RICO,41,0.585365854
ANGELO,DARRYL,PIPER,41,0.512195122
COLT,DARRYL,MELODIE,40,0.525
AMBER,ANGELO,COLETTE,40,0.625
ANGELO,CHUCK,SPIKE,40,0.575
BROCK,BYRON,JESSIE,40,0.575
BELLE,BROCK,CARL,40,0.65
ANGELO,CHUCK,PIPER,40,0.6625
BROCK,EVE,NANI,40,0.5875
CHUCK,CROW,NITA,40,0.675
CHUCK,NITA,SPIKE,40,0.575
CROW,DYNAMIKE,JESSIE,40,0.4375
CHUCK,COLT,NANI,40,0.575
JESSIE,NANI,SPIKE,40,0.55
BROCK,CHUCK,PENNY,40,0.65
ANGELO,COLT,JUJU,40,0.7
CARL,CHUCK,PIPER,40,0.6
COLT,JESSIE,SURGE,40,0.625
BROCK,CHUCK,RICO,39,0.435897436
COLT,EDGAR,RICO,39,0.358974359
CHUCK,CROW,RICO,39,0.717948718
8-BIT,BELLE,COLETTE,39,0.512820513
COLETTE,NANI,SPIKE,39,0.58974359
DARRYL,JESSIE,RICO,39,0.461538462
COLETTE,EVE,NITA,39,0.525641026
BROCK,EDGAR,PIPER,39,0.461538462
EVE,JESSIE,SPIKE,39,0.679487179
BROCK,BYRON,CROW,39,0.564102564
8-BIT,COLT,NITA,39,0.564102564
COLETTE,GALE,JESSIE,39,0.525641026
BROCK,COLETTE,EDGAR,39,0.448717949
ANGELO,JUJU,PIPER,39,0.41025641
AMBER,EVE,PIPER,39,0.717948718
COLETTE,COLT,MOE,39,0.461538462
BROCK,CARL,CHUCK,39,0.717948718
CHUCK,JESSIE,MELODIE,39,0.769230769
CARL,EVE,PIPER,39,0.58974359
BYRON,JESSIE,PIPER,39,0.423076923
ANGELO,NITA,PIPER,39,0.487179487
COLT,EDGAR,NITA,39,0.58974359
CHUCK,CROW,MELODIE,38,0.631578947
EVE,PENNY,PIPER,38,0.710526316
BROCK,JUJU,MELODIE,38,0.631578947
BROCK,NITA,PENNY,38,0.473684211
MELODIE,NITA,RICO,38,0.789473684
ANGELO,BYRON,CROW,38,0.605263158
BELLE,COLETTE,NITA,38,0.631578947
COLT,NANI,SPIKE,38,0.236842105
COLETTE,COLT,LOLA,38,0.486842105
BYRON,COLETTE,EVE,38,0.578947368
COLT,GALE,JESSIE,38,0.552631579
BELLE,COLT,SPIKE,38,0.552631579
ANGELO,COLETTE,DARRYL,38,0.657894737
CHUCK,NITA,PIPER,38,0.447368421
COLT,CROW,DYNAMIKE,38,0.473684211
AMBER,BROCK,PIPER,38,0.578947368
COLETTE,EVE,NANI,38,0.526315789
CROW,PENNY,RICO,38,0.434210526
ANGELO,BELLE,RICO,38,0.368421053
COLETTE,MELODIE,NANI,37,0.432432432
BROCK,CROW,DARRYL,37,0.540540541
CLANCY,COLETTE,COLT,37,0.648648649
8-BIT,JESSIE,MELODIE,37,0.594594595
COLT,LEON,PIPER,37,0.459459459
COLT,EVE,RICO,37,0.567567568
ANGELO,JESSIE,NANI,37,0.432432432
BELLE,CROW,NITA,37,0.675675676
ANGELO,MELODIE,NITA,37,0.72972973
BROCK,EDGAR,MELODIE,37,0.594594595
8-BIT,AMBER,COLETTE,37,0.567567568
BROCK,RICO,SPIKE,37,0.297297297
COLETTE,EDGAR,MELODIE,36,0.638888889
COLT,DARRYL,RICO,36,0.555555556
MELODIE,PENNY,SPIKE,36,0.611111111
COLETTE,COLT,MAISIE,36,0.333333333
BROCK,CHUCK,SPIKE,36,0.583333333
ANGELO,BROCK,NITA,36,0.611111111
BROCK,CROW,DYNAMIKE,36,0.611111111
ANGELO,NANI,PIPER,36,0.416666667
BROCK,MELODIE,NANI,36,0.555555556
COLT,EDGAR,SPIKE,36,0.611111111
BELLE,CHUCK,PIPER,36,0.583333333
BELLE,COLETTE,EVE,36,0.666666667
8-BIT,COLT,SPIKE,36,0.277777778
COLT,GALE,PIPER,36,0.333333333
BROCK,CROW,GRIFF,36,0.5
BELLE,PIPER,RICO,36,0.138888889
CROW,EDGAR,PIPER,36,0.638888889
JESSIE,NITA,SPIKE,36,0.694444444
AMBER,COLT,RICO,36,0.527777778
