Team,tm1,tm2,Picks Recorded,Win Rate
DYNAMIKE,JESSIE,SURGE,137,0.554744526
DYNAMIKE,STU,SURGE,134,0.425373134
BARLEY,PENNY,SURGE,128,0.5
BARLEY,JESSIE,SURGE,124,0.491935484
DYNAMIKE,PENNY,SURGE,116,0.439655172
BARLEY,LOU,SURGE,115,0.556521739
JESSIE,SANDY,SURGE,110,0.772727273
DYNAMIKE,SANDY,SURGE,109,0.486238532
DYNAMIKE,LOU,SURGE,107,0.560747664
JESSIE,STU,SURGE,106,0.641509434
JESSIE,LARRY & LAWRIE,SURGE,102,0.5
DYNAMIKE,GALE,SURGE,99,0.515151515
DYNAMIKE,SPIKE,SURGE,99,0.474747475
BARLEY,STU,SURGE,98,0.571428571
DYNAMIKE,NITA,SURGE,96,0.53125
DYNAMIKE,JESSIE,PENNY,95,0.421052632
BARLEY,PENNY,STU,95,0.642105263
LARRY & LAWRIE,LOU,SURGE,94,0.505319149
BARLEY,SANDY,SURGE,93,0.731182796
JESSIE,MORTIS,SURGE,93,0.64516129
PENNY,STU,SURGE,92,0.619565217
BARLEY,JESSIE,STU,91,0.593406593
DYNAMIKE,GALE,JESSIE,89,0.393258427
GALE,JESSIE,SURGE,89,0.573033708
LOU,PENNY,SURGE,89,0.629213483
DYNAMIKE,JESSIE,SANDY,88,0.590909091
BIBI,DYNAMIKE,SURGE,88,0.465909091
PENNY,SANDY,SURGE,86,0.627906977
BIBI,DYNAMIKE,JESSIE,83,0.590361446
BIBI,SANDY,SURGE,83,0.602409639
DYNAMIKE,LOU,SANDY,83,0.493975904
DYNAMIKE,MORTIS,SURGE,80,0.45
LARRY & LAWRIE,SANDY,SURGE,79,0.53164557
JESSIE,SURGE,TICK,77,0.467532468
JESSIE,LOU,SURGE,77,0.623376623
DYNAMIKE,JESSIE,STU,76,0.513157895
MORTIS,STU,SURGE,75,0.56
JESSIE,SPIKE,SURGE,75,0.626666667
LOU,SANDY,SURGE,74,0.608108108
LARRY & LAWRIE,PENNY,SURGE,74,0.527027027
DYNAMIKE,MAISIE,SURGE,73,0.534246575
BARLEY,GALE,SURGE,70,0.528571429
MORTIS,PENNY,SURGE,70,0.614285714
BARLEY,JESSIE,SPIKE,70,0.442857143
DYNAMIKE,JESSIE,LOU,70,0.528571429
JESSIE,LOU,MORTIS,70,0.714285714
JESSIE,PENNY,SURGE,68,0.485294118
CHUCK,DYNAMIKE,SURGE,67,0.47761194
