Team,tm1,tm2,Picks Recorded,Win Rate
DYNAMIKE,JESSIE,SURGE,148,0.405405405
DYNAMIKE,SANDY,SURGE,137,0.510948905
LARRY & LAWRIE,STU,SURGE,135,0.585185185
JESSIE,SANDY,SURGE,129,0.651162791
BARLEY,JESSIE,SURGE,114,0.675438596
DYNAMIKE,LOU,SURGE,114,0.464912281
DYNAMIKE,STU,SURGE,112,0.616071429
JESSIE,STU,SURGE,112,0.642857143
BARLEY,PENNY,SURGE,107,0.542056075
BARLEY,STU,SURGE,104,0.653846154
BARLEY,LOU,SURGE,95,0.536842105
DYNAMIKE,JESSIE,SANDY,95,0.547368421
DYNAMIKE,PENNY,SURGE,94,0.563829787
PENNY,SANDY,SURGE,91,0.494505495
BARLEY,SANDY,SURGE,90,0.688888889
DYNAMIKE,JESSIE,STU,90,0.577777778
MORTIS,STU,SURGE,90,0.566666667
JESSIE,LARRY & LAWRIE,SURGE,88,0.670454545
JESSIE,SURGE,TICK,88,0.602272727
SANDY,STU,SURGE,88,0.602272727
DYNAMIKE,PENNY,STU,88,0.465909091
DYNAMIKE,MORTIS,SURGE,83,0.493975904
BARLEY,JESSIE,SPIKE,82,0.682926829
LOU,SANDY,SURGE,82,0.573170732
PENNY,STU,SURGE,81,0.654320988
LARRY & LAWRIE,LOU,SURGE,80,0.6125
JESSIE,SPIKE,SURGE,79,0.493670886
JESSIE,LOU,STU,76,0.592105263
JESSIE,LOU,SURGE,76,0.513157895
BIBI,DYNAMIKE,SURGE,75,0.56
DYNAMIKE,GALE,SURGE,75,0.466666667
BARLEY,GALE,JESSIE,75,0.68
LOU,STU,SURGE,74,0.635135135
DYNAMIKE,GALE,JESSIE,73,0.534246575
LARRY & LAWRIE,PENNY,SURGE,72,0.541666667
MORTIS,SANDY,SURGE,71,0.61971831
BARLEY,GUS,SURGE,71,0.535211268
BARLEY,JESSIE,STU,70,0.742857143
JESSIE,LARRY & LAWRIE,STU,70,0.742857143
DYNAMIKE,SPIKE,SURGE,69,0.565217391
LARRY & LAWRIE,SANDY,SURGE,69,0.47826087
JESSIE,PENNY,SURGE,69,0.594202899
JESSIE,MORTIS,SURGE,69,0.608695652
JESSIE,SANDY,STU,69,0.826086957
JESSIE,JUJU,SURGE,68,0.647058824
BARLEY,LOU,STU,68,0.558823529
BARLEY,PENNY,STU,67,0.76119403
LARRY & LAWRIE,LOU,STU,67,0.71641791
PENNY,SANDY,STU,67,0.582089552
BARLEY,GALE,SURGE,65,0.615384615
BERRY,FRANK,SURGE,65,0.476923077
MORTIS,PENNY,STU,65,0.692307692
JESSIE,LARRY & LAWRIE,SANDY,65,0.707692308
DYNAMIKE,EMZ,JESSIE,64,0.5
DYNAMIKE,GALE,STU,64,0.5
