Team,tm1,tm2,Picks Recorded,Win Rate
FANG,LOU,PENNY,89,0.516853933
FANG,JESSIE,SPIKE,89,0.561797753
JESSIE,LOU,POCO,88,0.693181818
JESSIE,LOU,SURGE,86,0.604651163
GALE,JESSIE,LOU,80,0.625
FANG,JESSIE,PENNY,78,0.551282051
JESSIE,SPIKE,SURGE,73,0.684931507
JESSIE,PENNY,SURGE,73,0.630136986
GUS,LOU,PENNY,71,0.492957746
BO,JESSIE,SURGE,70,0.514285714
GUS,PENNY,STU,69,0.637681159
COLT,FANG,JESSIE,69,0.47826087
BO,FANG,JESSIE,66,0.575757576
BO,JESSIE,SPIKE,66,0.621212121
FANG,JESSIE,LOU,65,0.446153846
LOU,PENNY,STU,64,0.703125
LOU,PENNY,SPIKE,63,0.587301587
JESSIE,SURGE,TICK,63,0.619047619
BO,PENNY,SURGE,63,0.587301587
BO,PENNY,SPIKE,62,0.580645161
GALE,JESSIE,SPIKE,62,0.548387097
LOU,SPIKE,SURGE,61,0.540983607
LOU,PENNY,SANDY,61,0.475409836
COLT,FANG,LOU,60,0.433333333
FANG,GALE,LOU,59,0.542372881
COLT,JESSIE,SPIKE,59,0.398305085
GALE,PENNY,SURGE,58,0.431034483
FANG,LOU,POCO,58,0.724137931
BO,LOU,SPIKE,58,0.603448276
FANG,JESSIE,SANDY,58,0.672413793
COLT,JESSIE,LOU,57,0.596491228
BO,FANG,LOU,56,0.589285714
COLT,JESSIE,PENNY,56,0.5
FANG,JUJU,LOU,56,0.642857143
BO,PENNY,RICO,56,0.446428571
JESSIE,LOU,SPIKE,56,0.607142857
BO,PENNY,STU,55,0.618181818
GALE,LOU,SURGE,55,0.545454545
JESSIE,PENNY,STU,55,0.636363636
FANG,JESSIE,SURGE,54,0.574074074
JESSIE,LOU,PENNY,54,0.481481481
JESSIE,PENNY,PIPER,54,0.462962963
JESSIE,STU,SURGE,54,0.555555556
BO,JESSIE,LOU,53,0.641509434
LOU,PENNY,RICO,53,0.556603774
FANG,PENNY,SPIKE,53,0.603773585
JESSIE,SPIKE,STU,53,0.603773585
PENNY,PIPER,SURGE,52,0.403846154
FANG,POCO,SURGE,52,0.711538462
BO,FANG,SURGE,52,0.538461538
JESSIE,LOU,RICO,52,0.384615385
BO,JESSIE,PENNY,51,0.62745098
BO,CROW,LOU,51,0.549019608
GUS,JESSIE,STU,51,0.68627451
JESSIE,RICO,SPIKE,51,0.568627451
JESSIE,POCO,SPIKE,50,0.56
JESSIE,PENNY,POCO,50,0.7
JESSIE,LOU,TICK,50,0.56
BYRON,FANG,PENNY,50,0.48
FANG,PENNY,SURGE,50,0.62
FANG,LOU,STU,49,0.734693878
BELLE,LOU,SURGE,49,0.510204082
FANG,JESSIE,PIPER,49,0.489795918
PENNY,SPIKE,SURGE,49,0.591836735
FANG,JESSIE,TARA,49,0.530612245
FANG,LOU,SPIKE,49,0.591836735
JESSIE,LOU,PIPER,48,0.395833333
BO,GALE,LOU,48,0.520833333
FANG,GALE,JESSIE,48,0.604166667
GALE,JESSIE,TICK,47,0.425531915
FANG,GUS,PENNY,47,0.595744681
JESSIE,LOU,TARA,47,0.489361702
BO,JESSIE,SANDY,47,0.755319149
PENNY,PIPER,STU,46,0.586956522
BO,LOU,STU,46,0.717391304
PENNY,STU,SURGE,46,0.608695652
COLT,PENNY,SURGE,45,0.488888889
FANG,PENNY,PIPER,45,0.288888889
