Team,tm1,tm2,Picks Recorded,Win Rate
BYRON,DARRYL,KIT,282,0.531914894
DARRYL,GUS,KIT,176,0.585227273
DARRYL,KIT,RICO,150,0.573333333
BROCK,GENE,PIPER,130,0.538461538
DARRYL,GENE,KIT,127,0.535433071
GENE,GUS,RICO,116,0.620689655
BROCK,GUS,PIPER,111,0.558558559
GUS,RICO,SPROUT,109,0.559633028
BROCK,GENE,GUS,108,0.583333333
DARRYL,KIT,PIPER,106,0.575471698
BROCK,GUS,RICO,99,0.626262626
BROCK,GENE,RICO,98,0.530612245
BROCK,DARRYL,KIT,97,0.505154639
LEON,PIPER,RICO,97,0.515463918
GENE,PIPER,RICO,95,0.526315789
GENE,PIPER,SPROUT,90,0.577777778
GENE,GROM,PIPER,84,0.55952381
LEON,PIPER,TICK,84,0.488095238
BUSTER,GENE,GUS,84,0.630952381
GUS,PIPER,SPROUT,84,0.511904762
BROCK,GUS,SPROUT,83,0.487951807
GENE,GUS,PIPER,82,0.512195122
BROCK,PIPER,RICO,82,0.5
GUS,PIPER,RICO,81,0.530864198
BROCK,PIPER,SPROUT,81,0.604938272
BROCK,LEON,PIPER,79,0.632911392
BROCK,GUS,TICK,78,0.641025641
PIPER,RICO,TICK,77,0.519480519
GENE,GUS,SPROUT,77,0.493506494
GUS,LEON,PIPER,76,0.486842105
DARRYL,GRAY,KIT,75,0.52
ANGELO,GUS,RICO,74,0.567567568
BROCK,COLT,PIPER,72,0.5
GROM,PIPER,RICO,70,0.685714286
PIPER,RICO,SPROUT,70,0.557142857
DARRYL,KIT,LEON,70,0.657142857
DARRYL,JUJU,KIT,70,0.614285714
BROCK,BYRON,GUS,70,0.414285714
BROCK,GUS,LEON,70,0.578571429
DARRYL,GUS,RICO,69,0.652173913
GENE,GRAY,PIPER,69,0.536231884
BROCK,RICO,SPROUT,69,0.52173913
GENE,RICO,STU,68,0.455882353
BROCK,PIPER,TICK,68,0.455882353
PIPER,RICO,STU,68,0.514705882
BROCK,LEON,RICO,67,0.671641791
BROCK,GENE,MANDY,67,0.529850746
GENE,PIPER,TICK,66,0.575757576
BROCK,PIPER,SPIKE,66,0.46969697
GENE,GRAY,GUS,66,0.575757576
BROCK,GENE,LEON,65,0.446153846
ANGELO,PIPER,SPROUT,65,0.461538462
GUS,LEON,RICO,65,0.384615385
DARRYL,GENE,RICO,64,0.625
BYRON,PIPER,RICO,64,0.46875
GUS,PIPER,TICK,64,0.5
DARRYL,KIT,MANDY,64,0.578125
GRAY,GUS,RICO,63,0.587301587
MORTIS,PIPER,RICO,63,0.555555556
BROCK,GRAY,RICO,63,0.412698413
GENE,PEARL,PIPER,63,0.396825397
DARRYL,GENE,GUS,63,0.603174603
BYRON,GENE,PIPER,62,0.483870968
BROCK,DARRYL,PIPER,62,0.483870968
BELLE,GUS,PIPER,62,0.516129032
MANDY,RICO,TICK,61,0.540983607
ANGELO,GUS,PIPER,61,0.639344262
GUS,JUJU,PIPER,61,0.655737705
BROCK,RICO,TICK,61,0.459016393
GENE,LEON,RICO,60,0.633333333
GENE,GROM,RICO,60,0.583333333
BUSTER,GUS,PIPER,60,0.716666667
LEON,PIPER,SPROUT,60,0.533333333
BELLE,DARRYL,KIT,60,0.533333333
BYRON,GUS,PIPER,59,0.508474576
GENE,R-T,SPROUT,59,0.542372881
BROCK,GROM,RICO,59,0.525423729
GRAY,GUS,PIPER,59,0.559322034
BYRON,GUS,RICO,59,0.491525424
BROCK,GUS,LARRY & LAWRIE,58,0.551724138
BUSTER,GENE,PIPER,58,0.724137931
BROCK,GROM,PIPER,58,0.482758621
GRAY,PIPER,RICO,58,0.413793103
BROCK,MANDY,PIPER,58,0.551724138
DARRYL,GUS,PIPER,58,0.534482759
LEON,PIPER,SPIKE,57,0.649122807
GENE,GROM,GUS,57,0.701754386
GENE,GUS,PEARL,57,0.543859649
BYRON,PIPER,SPROUT,57,0.50877193
GROM,GUS,RICO,57,0.543859649
GRAY,LEON,RICO,57,0.526315789
BROCK,GRAY,PIPER,57,0.50877193
GENE,LEON,PIPER,57,0.350877193
BROCK,GENE,LARRY & LAWRIE,56,0.535714286
BROCK,PIPER,STU,56,0.517857143
GENE,GRAY,RICO,56,0.625
GUS,PIPER,STU,56,0.535714286
BYRON,GROM,RICO,56,0.571428571
ANGELO,BROCK,PIPER,56,0.535714286
BYRON,LEON,PIPER,55,0.509090909
EDGAR,PIPER,RICO,55,0.636363636
GUS,JUJU,RICO,55,0.490909091
BUSTER,GENE,SPROUT,55,0.527272727
BROCK,LARRY & LAWRIE,PIPER,54,0.481481481
BELLE,GENE,PIPER,54,0.407407407
GENE,GUS,MANDY,54,0.62037037
BROCK,GENE,SPROUT,54,0.5
BROCK,JUJU,PIPER,54,0.5
BYRON,RICO,TICK,53,0.433962264
DARRYL,GENE,PIPER,53,0.547169811
PEARL,PIPER,TICK,53,0.528301887
BROCK,DARRYL,RICO,53,0.490566038
BYRON,RICO,SPROUT,52,0.519230769
GUS,MR. P,PIPER,51,0.666666667
BYRON,GUS,SPIKE,51,0.588235294
GENE,GUS,TICK,51,0.509803922
GENE,JUJU,PIPER,51,0.568627451
BROCK,BYRON,RICO,51,0.588235294
BROCK,GRAY,GUS,51,0.509803922
DARRYL,LEON,RICO,51,0.588235294
GENE,R-T,RICO,51,0.62745098
BROCK,DARRYL,GUS,51,0.647058824
DARRYL,PIPER,RICO,50,0.5
BELLE,GROM,GUS,50,0.7
CARL,GUS,PIPER,50,0.58
GROM,GUS,PIPER,50,0.7
LEON,RICO,SPIKE,50,0.6
GENE,GRAY,R-T,50,0.62
ANGELO,BROCK,GUS,50,0.72
PIPER,STU,TICK,50,0.56
GUS,LEON,SPROUT,49,0.653061224
GENE,RICO,SPROUT,49,0.591836735
BROCK,GUS,JUJU,49,0.653061224
GUS,LARRY & LAWRIE,PIPER,49,0.551020408
BROCK,BYRON,GENE,49,0.551020408
BROCK,LEON,TICK,49,0.510204082
BROCK,GENE,GRAY,49,0.530612245
GENE,GRAY,SPROUT,49,0.367346939
ANGELO,GENE,GUS,48,0.479166667
BROCK,GROM,LEON,48,0.708333333
GRAY,MANDY,PIPER,48,0.5
BYRON,GENE,GROM,48,0.583333333
GUS,RICO,STU,48,0.541666667
GRAY,GROM,PIPER,48,0.666666667
BYRON,DARRYL,GUS,48,0.541666667
BROCK,BYRON,LEON,48,0.375
BYRON,DARRYL,PIPER,48,0.4375
DARRYL,GROM,KIT,48,0.6875
BELLE,GENE,RICO,48,0.6875
LEON,RICO,STU,47,0.531914894
BYRON,GRAY,PIPER,47,0.446808511
COLT,LEON,RICO,47,0.574468085
BYRON,GRAY,GUS,47,0.404255319
GROM,LEON,PIPER,47,0.595744681
CARL,GUS,RICO,47,0.510638298
CARL,PIPER,RICO,47,0.510638298
BELLE,LEON,PIPER,47,0.489361702
ANGELO,GENE,PIPER,46,0.52173913
BROCK,EDGAR,RICO,46,0.434782609
BYRON,LEON,RICO,46,0.434782609
BELLE,BROCK,BYRON,46,0.391304348
PEARL,PIPER,SPROUT,46,0.717391304
BROCK,BUSTER,PIPER,46,0.717391304
BUSTER,BYRON,GENE,46,0.717391304
LILY,PIPER,RICO,46,0.5
BROCK,RICO,STU,46,0.630434783
BROCK,GENE,MR. P,46,0.630434783
MANDY,PIPER,RICO,45,0.355555556
BROCK,CARL,GROM,45,0.6
GENE,GRAY,PEARL,45,0.577777778
GENE,GROM,LEON,45,0.555555556
BROCK,GENE,LILY,45,0.6
COLT,PIPER,RICO,45,0.444444444
DYNAMIKE,PIPER,RICO,45,0.644444444
BROCK,BYRON,PIPER,45,0.444444444
BROCK,LARRY & LAWRIE,RICO,45,0.444444444
LEON,PEARL,PIPER,45,0.566666667
GENE,MANDY,PIPER,45,0.555555556
GENE,PIPER,R-T,45,0.666666667
BELLE,BROCK,GUS,45,0.577777778
BROCK,DYNAMIKE,PIPER,45,0.366666667
