Team,tm1,tm2,Picks Recorded,Win Rate
DYNAMIKE,RICO,SURGE,250,0.48
LARRY & LAWRIE,RICO,SURGE,239,0.4351464435146444
BARLEY,RICO,SURGE,186,0.3817204301075269
RICO,SURGE,TICK,162,0.42592592592592593
ANGELO,LARRY & LAWRIE,SURGE,159,0.6037735849056604
ANGELO,DYNAMIKE,RICO,157,0.5477707006369427
ANGELO,DYNAMIKE,SURGE,156,0.5833333333333334
ANGELO,RICO,SURGE,142,0.49295774647887325
EVE,LARRY & LAWRIE,SURGE,138,0.7536231884057971
JACKY,LARRY & LAWRIE,RICO,138,0.5
ANGELO,BARLEY,RICO,137,0.6131386861313869
DYNAMIKE,EVE,RICO,133,0.5939849624060151
DYNAMIKE,SHADE,SURGE,126,0.5238095238095238
JUJU,RICO,SURGE,125,0.544
DYNAMIKE,RICO,SHADE,124,0.41935483870967744
RICO,SHADE,SURGE,124,0.4032258064516129
JACKY,RICO,SURGE,122,0.4180327868852459
ANGELO,LARRY & LAWRIE,RICO,121,0.5950413223140496
EVE,RICO,SURGE,120,0.525
LARRY & LAWRIE,SHADE,SURGE,119,0.46218487394957986
LARRY & LAWRIE,RICO,SHADE,118,0.4491525423728814
ANGELO,SURGE,TICK,117,0.6410256410256411
CARL,LARRY & LAWRIE,SURGE,116,0.5689655172413793
DYNAMIKE,EVE,SURGE,114,0.6140350877192983
EVE,LARRY & LAWRIE,RICO,114,0.5701754385964912
DYNAMIKE,JACKY,RICO,112,0.5535714285714286
JACKY,LARRY & LAWRIE,SURGE,106,0.5660377358490566
ANGELO,JUJU,SURGE,104,0.6057692307692307
EVE,SURGE,TICK,101,0.693069306930693
DYNAMIKE,JACKY,SURGE,100,0.53
BARLEY,EVE,SURGE,97,0.5979381443298969
ANGELO,DYNAMIKE,SHADE,95,0.7157894736842105
EDGAR,RICO,SURGE,94,0.5425531914893617
ANGELO,JACKY,LARRY & LAWRIE,93,0.6666666666666666
BUZZ,RICO,SURGE,93,0.46236559139784944
GROM,RICO,SURGE,89,0.4157303370786517
BUZZ,LARRY & LAWRIE,SURGE,87,0.4942528735632184
BIBI,DYNAMIKE,SURGE,87,0.3793103448275862
LARRY & LAWRIE,R-T,RICO,87,0.367816091954023
BARLEY,EVE,RICO,86,0.5116279069767442
ANGELO,BARLEY,SURGE,86,0.6511627906976745
LARRY & LAWRIE,R-T,SURGE,85,0.5764705882352941
JACKY,RICO,TICK,85,0.5058823529411764
ANGELO,RICO,TICK,83,0.6144578313253012
BARLEY,RICO,SHADE,82,0.5121951219512195
BUZZ,DYNAMIKE,RICO,81,0.3333333333333333
ANGELO,LARRY & LAWRIE,SHADE,80,0.6375
BARLEY,JACKY,RICO,79,0.4810126582278481
BARLEY,SHADE,SURGE,79,0.620253164556962
EVE,GROM,SURGE,79,0.6075949367088608
ANGELO,JUJU,RICO,78,0.717948717948718
ANGELO,JACKY,RICO,78,0.6538461538461539
DARRYL,LARRY & LAWRIE,SURGE,78,0.44871794871794873
EVE,GROM,RICO,78,0.5256410256410257
EVE,JACKY,RICO,78,0.5897435897435898
BUZZ,LARRY & LAWRIE,RICO,78,0.5128205128205128
ANGELO,BUZZ,RICO,77,0.5324675324675324
JACKY,JUJU,RICO,77,0.7142857142857143
JUJU,RICO,SHADE,76,0.5526315789473685
ANGELO,DYNAMIKE,JACKY,75,0.7066666666666667
MICO,RICO,SURGE,75,0.5466666666666666
EDGAR,LARRY & LAWRIE,SURGE,74,0.4864864864864865
JUJU,SHADE,SURGE,74,0.581081081081081
DARRYL,DYNAMIKE,RICO,73,0.4931506849315068
CORDELIUS,LARRY & LAWRIE,RICO,73,0.3972602739726027
ANGELO,CORDELIUS,LARRY & LAWRIE,73,0.547945205479452
ANGELO,BUZZ,DYNAMIKE,72,0.6388888888888888
DYNAMIKE,MICO,SURGE,72,0.625
