Team,tm1,tm2,Picks Recorded,Win Rate
BYRON,GUS,PIPER,257,0.498054475
BELLE,GUS,PIPER,252,0.523809524
BROCK,BYRON,GUS,238,0.529411765
BROCK,NANI,PIPER,232,0.642241379
BYRON,COLT,PIPER,214,0.38317757
BELLE,BYRON,PIPER,210,0.480952381
GENE,GUS,PIPER,208,0.533653846
BYRON,GENE,PIPER,207,0.54589372
BROCK,GUS,NANI,206,0.563106796
BELLE,GUS,NANI,202,0.579207921
BROCK,COLT,NANI,200,0.49
BELLE,BROCK,NANI,198,0.646464646
BYRON,GUS,NANI,195,0.630769231
GUS,PIPER,SPROUT,194,0.664948454
BELLE,NANI,PIPER,194,0.628865979
BELLE,GUS,MANDY,192,0.552083333
BELLE,BYRON,GUS,191,0.565445026
COLT,NANI,PIPER,188,0.526595745
BROCK,GENE,NANI,184,0.619565217
BELLE,BROCK,BYRON,183,0.404371585
GUS,NANI,PIPER,183,0.56284153
ANGELO,GUS,NANI,180,0.655555556
BYRON,NANI,PIPER,179,0.497206704
GUS,MANDY,NANI,177,0.706214689
BELLE,GENE,PIPER,177,0.468926554
BROCK,GENE,PIPER,176,0.511363636
BELLE,BYRON,GENE,175,0.485714286
GENE,GUS,NANI,174,0.66091954
BELLE,BROCK,GUS,174,0.551724138
ANGELO,BYRON,GUS,172,0.552325581
BROCK,COLT,PIPER,171,0.479532164
BYRON,GENE,GUS,170,0.488235294
GUS,MANDY,SPROUT,169,0.544378698
BROCK,MANDY,NANI,168,0.607142857
BROCK,BYRON,PIPER,168,0.476190476
BYRON,MANDY,NANI,168,0.547619048
BELLE,BROCK,COLT,164,0.43902439
ANGELO,BROCK,NANI,163,0.595092025
BROCK,MANDY,PIPER,163,0.472392638
BROCK,GUS,PIPER,163,0.613496933
ANGELO,BELLE,PIPER,162,0.617283951
BYRON,COLT,GUS,161,0.49068323
BELLE,BYRON,NANI,161,0.546583851
BROCK,BYRON,MANDY,159,0.540880503
BELLE,GENE,GUS,158,0.575949367
BYRON,GUS,MANDY,157,0.515923567
BROCK,BYRON,COLT,157,0.452229299
ANGELO,BELLE,BYRON,156,0.538461538
BELLE,GUS,SPROUT,155,0.612903226
ANGELO,GENE,PIPER,155,0.580645161
GENE,NANI,PIPER,155,0.561290323
BELLE,BYRON,COLT,154,0.396103896
ANGELO,BROCK,COLT,154,0.5
NANI,PIPER,SPROUT,154,0.766233766
ANGELO,BROCK,GUS,153,0.581699346
BROCK,PIPER,SPROUT,153,0.607843137
BYRON,GENE,MANDY,151,0.549668874
BROCK,GENE,GUS,150,0.526666667
GROM,GUS,PIPER,150,0.74
BROCK,BYRON,NANI,149,0.543624161
BYRON,GENE,NANI,149,0.543624161
BELLE,MANDY,NANI,149,0.570469799
ANGELO,BELLE,BROCK,149,0.577181208
BROCK,COLT,GUS,148,0.533783784
BYRON,COLT,NANI,148,0.466216216
ANGELO,BELLE,GUS,147,0.551020408
BELLE,PIPER,SPROUT,147,0.551020408
ANGELO,COLT,NANI,146,0.506849315
BELLE,GENE,NANI,145,0.620689655
BELLE,BROCK,GENE,145,0.462068966
ANGELO,BROCK,PIPER,144,0.569444444
GENE,MANDY,PIPER,144,0.527777778
GUS,MANDY,PIPER,144,0.631944444
ANGELO,GUS,MANDY,144,0.541666667
BELLE,GROM,NANI,143,0.678321678
GUS,NANI,SPROUT,143,0.755244755
COLT,GUS,PIPER,142,0.514084507
ANGELO,BELLE,GENE,141,0.65248227
BYRON,PIPER,SPROUT,140,0.678571429
ANGELO,BROCK,BYRON,138,0.572463768
ANGELO,BYRON,NANI,137,0.518248175
GENE,GUS,MANDY,137,0.437956204
BELLE,BROCK,MANDY,137,0.532846715
ANGELO,MANDY,PIPER,136,0.558823529
ANGELO,GUS,PIPER,136,0.654411765
BYRON,GROM,NANI,135,0.62962963
COLT,GENE,PIPER,134,0.470149254
BELLE,GROM,GUS,134,0.611940299
MANDY,NANI,PIPER,134,0.582089552
GUS,NANI,TICK,134,0.589552239
BROCK,BYRON,GENE,134,0.402985075
BELLE,NANI,TICK,132,0.636363636
BELLE,NANI,SPROUT,132,0.560606061
ANGELO,GENE,NANI,131,0.664122137
ANGELO,BELLE,NANI,131,0.610687023
BELLE,BROCK,GROM,130,0.476923077
BROCK,COLT,LEON,129,0.511627907
ANGELO,BROCK,MANDY,129,0.635658915
BELLE,COLT,GENE,129,0.410852713
ANGELO,BYRON,PIPER,129,0.558139535
BYRON,GUS,SPROUT,128,0.6015625
BROCK,COLT,GENE,128,0.5078125
BELLE,COLT,MANDY,127,0.393700787
ANGELO,GENE,MANDY,126,0.555555556
BROCK,BYRON,SPROUT,125,0.56
BELLE,BYRON,MANDY,125,0.528
BELLE,GUS,TICK,125,0.64
GUS,LEON,PIPER,125,0.512
ANGELO,GENE,GUS,124,0.629032258
BELLE,BYRON,GROM,124,0.572580645
GROM,GUS,NANI,123,0.723577236
BELLE,COLT,PIPER,123,0.43902439
BYRON,COLT,MANDY,122,0.475409836
ANGELO,NANI,PIPER,122,0.631147541
BROCK,GENE,MANDY,122,0.524590164
BELLE,COLT,GUS,122,0.43442623
BELLE,LEON,NANI,121,0.561983471
BYRON,MANDY,PIPER,121,0.603305785
BELLE,BROCK,PIPER,120,0.466666667
ANGELO,BELLE,MANDY,120,0.541666667
BROCK,GROM,NANI,120,0.658333333
BELLE,GROM,PIPER,119,0.554621849
COLT,LEON,NANI,118,0.491525424
BYRON,GROM,GUS,118,0.754237288
GUS,PIPER,TICK,118,0.711864407
BYRON,NANI,SPROUT,118,0.627118644
ANGELO,NANI,TICK,116,0.663793103
BROCK,LEON,NANI,116,0.560344828
BELLE,COLT,NANI,115,0.382608696
ANGELO,COLT,PIPER,115,0.617391304
BROCK,GUS,MANDY,115,0.591304348
BELLE,MANDY,TICK,114,0.48245614
BYRON,GROM,PIPER,113,0.707964602
ANGELO,PIPER,TICK,112,0.580357143
ANGELO,COLT,GENE,112,0.5
COLT,GUS,NANI,112,0.580357143
ANGELO,BYRON,MANDY,111,0.495495495
ANGELO,MANDY,NANI,111,0.63963964
BROCK,GUS,LEON,110,0.554545455
BELLE,BYRON,SPROUT,110,0.563636364
ANGELO,GUS,LEON,109,0.541284404
BROCK,GUS,SPROUT,108,0.574074074
NANI,PIPER,TICK,108,0.712962963
BROCK,GROM,PIPER,108,0.703703704
BELLE,BROCK,LEON,108,0.574074074
ANGELO,BYRON,GENE,108,0.453703704
BELLE,GENE,MANDY,107,0.495327103
BROCK,BYRON,GROM,107,0.626168224
ANGELO,BYRON,COLT,105,0.485714286
COLT,PIPER,TICK,105,0.514285714
COLT,GUS,MANDY,105,0.447619048
BROCK,BYRON,TICK,104,0.471153846
BROCK,NANI,SPROUT,104,0.644230769
BROCK,COLT,MANDY,103,0.524271845
GENE,MANDY,NANI,103,0.553398058
ANGELO,NANI,SPROUT,103,0.660194175
BYRON,NANI,TICK,102,0.656862745
LEON,NANI,PIPER,102,0.676470588
ANGELO,COLT,GUS,102,0.539215686
BROCK,NANI,TICK,102,0.68627451
ANGELO,BROCK,GENE,102,0.637254902
COLT,MANDY,NANI,102,0.450980392
