Team,tm1,tm2,Picks Recorded,Win Rate
GALE,NITA,SURGE,160,0.5625
NITA,SPIKE,SURGE,127,0.582677165
BUZZ,MAISIE,SURGE,125,0.68
NITA,STU,SURGE,125,0.592
MAISIE,SURGE,TARA,124,0.653225806
NITA,SURGE,TARA,123,0.532520325
GALE,STU,SURGE,121,0.479338843
COLT,GALE,SURGE,117,0.52991453
GALE,SURGE,TARA,111,0.472972973
NITA,SANDY,SURGE,109,0.550458716
BUZZ,GALE,SURGE,106,0.45754717
BUZZ,NITA,SURGE,104,0.639423077
MAISIE,STU,SURGE,103,0.490291262
COLT,NITA,SURGE,102,0.514705882
MAISIE,NITA,SURGE,102,0.573529412
FRANK,SURGE,TARA,101,0.564356436
BIBI,COLT,SURGE,101,0.534653465
NITA,RICO,SURGE,100,0.64
BIBI,GALE,SURGE,98,0.535714286
GALE,MORTIS,SURGE,97,0.577319588
FRANK,GALE,SURGE,96,0.526041667
BIBI,SURGE,TARA,96,0.458333333
BIBI,MAISIE,SURGE,95,0.626315789
BUZZ,SURGE,TARA,95,0.594736842
BUZZ,GALE,NITA,95,0.615789474
NITA,SHELLY,SURGE,93,0.559139785
BUZZ,COLT,SURGE,92,0.472826087
MAISIE,SANDY,SURGE,91,0.565934066
GALE,NITA,STU,91,0.626373626
COLT,MAISIE,SURGE,89,0.533707865
FRANK,NITA,SURGE,88,0.545454545
GALE,SPIKE,SURGE,88,0.539772727
COLT,SURGE,TARA,87,0.574712644
FRANK,MAISIE,SURGE,87,0.747126437
COLT,FRANK,SURGE,84,0.446428571
GALE,MAISIE,NITA,84,0.553571429
MAISIE,SPIKE,SURGE,83,0.530120482
BUZZ,MAISIE,STU,83,0.530120482
BUZZ,SHELLY,SURGE,82,0.432926829
COLT,GALE,STU,81,0.518518519
COLT,GALE,MAISIE,81,0.574074074
GALE,SHELLY,SURGE,80,0.6375
FRANK,STU,SURGE,80,0.63125
JACKY,NITA,SURGE,79,0.715189873
RICO,STU,SURGE,79,0.512658228
BUZZ,SANDY,SURGE,79,0.582278481
GALE,NITA,TARA,79,0.746835443
COLT,GALE,NITA,78,0.416666667
COLT,MAISIE,NITA,78,0.467948718
GALE,MAISIE,SURGE,78,0.474358974
NITA,STU,TARA,77,0.746753247
COLETTE,COLT,SURGE,77,0.415584416
BUZZ,STU,SURGE,77,0.512987013
BIBI,NITA,SURGE,77,0.577922078
COLT,STU,SURGE,76,0.513157895
BIBI,RICO,SURGE,76,0.539473684
JACKY,SURGE,TARA,76,0.677631579
MAISIE,NITA,TARA,76,0.618421053
GALE,RICO,SURGE,75,0.433333333
BIBI,BUZZ,SURGE,74,0.716216216
JACKY,SPIKE,SURGE,74,0.756756757
EL PRIMO,MAISIE,SURGE,73,0.520547945
CORDELIUS,NITA,SURGE,72,0.576388889
STU,SURGE,TARA,71,0.485915493
COLT,GALE,TARA,71,0.647887324
BUZZ,JACKY,SURGE,71,0.676056338
SPIKE,SURGE,TARA,70,0.614285714
CHESTER,GALE,SURGE,70,0.478571429
FRANK,GALE,NITA,70,0.664285714
BUZZ,SPIKE,SURGE,70,0.564285714
BUZZ,MAISIE,TARA,70,0.685714286
GRIFF,NITA,SURGE,69,0.565217391
BUZZ,RICO,SURGE,69,0.68115942
BUZZ,GALE,TARA,69,0.601449275
GRIFF,MAISIE,SURGE,69,0.52173913
GALE,JACKY,TARA,68,0.757352941
GALE,JACKY,SURGE,68,0.602941176
MAISIE,STU,TARA,67,0.611940299
GALE,SANDY,SURGE,67,0.567164179
MAISIE,SHELLY,SURGE,66,0.507575758
BUZZ,NITA,SANDY,66,0.651515152
GALE,NITA,SPIKE,66,0.590909091
JACKY,RICO,SURGE,65,0.653846154
DARRYL,NITA,SURGE,65,0.484615385
COLT,SPIKE,SURGE,65,0.346153846
GALE,MAISIE,RICO,64,0.625
BUZZ,MAISIE,RICO,64,0.609375
GALE,NITA,SANDY,64,0.6171875
SANDY,STU,SURGE,64,0.515625
JACKY,MAISIE,NITA,64,0.7421875
MAISIE,NITA,SANDY,63,0.73015873
BIBI,SANDY,SURGE,63,0.571428571
CORDELIUS,GALE,SURGE,63,0.404761905
GALE,NITA,RICO,62,0.637096774
SPIKE,STU,SURGE,62,0.475806452
BUZZ,MAISIE,NITA,62,0.588709677
MAISIE,NITA,STU,62,0.548387097
BUZZ,GALE,STU,62,0.443548387
GALE,NITA,SHELLY,61,0.590163934
GRIFF,SURGE,TARA,61,0.590163934
RICO,SURGE,TARA,61,0.581967213
GALE,JACKY,RICO,60,0.866666667
GALE,MORTIS,NITA,60,0.65
BIBI,SPIKE,SURGE,59,0.508474576
DARRYL,GALE,SURGE,59,0.627118644
COLETTE,NITA,SURGE,59,0.550847458
BIBI,STU,SURGE,59,0.415254237
RICO,SPIKE,SURGE,59,0.5
JACKY,STU,SURGE,59,0.542372881
SHELLY,SURGE,TARA,59,0.584745763
CHESTER,NITA,SURGE,59,0.63559322
BIBI,MAISIE,TARA,58,0.586206897
EL PRIMO,NITA,TARA,58,0.603448276
JACKY,NITA,SPIKE,58,0.775862069
GALE,MAISIE,STU,57,0.561403509
EL PRIMO,NITA,SURGE,57,0.48245614
COLT,NITA,TARA,57,0.622807018
FRANK,GALE,MAISIE,57,0.596491228
COLT,RICO,SURGE,57,0.640350877
GALE,GRIFF,NITA,57,0.596491228
SANDY,SURGE,TARA,57,0.771929825
CORDELIUS,MAISIE,SURGE,57,0.421052632
BUZZ,NITA,STU,57,0.605263158
MAISIE,NITA,SPIKE,57,0.587719298
GALE,GRIFF,SURGE,57,0.587719298
NITA,SPIKE,TARA,56,0.544642857
FRANK,MAISIE,NITA,56,0.660714286
BUZZ,GALE,MAISIE,56,0.633928571
COLETTE,FRANK,SURGE,56,0.589285714
CLANCY,GALE,SURGE,56,0.401785714
BUZZ,COLT,MAISIE,56,0.607142857
BIBI,SHELLY,SURGE,56,0.482142857
BUZZ,COLETTE,SURGE,55,0.527272727
DARRYL,NITA,RICO,55,0.545454545
CORDELIUS,STU,SURGE,55,0.309090909
BUZZ,GALE,SPIKE,55,0.563636364
COLT,GRIFF,SURGE,55,0.545454545
DYNAMIKE,GALE,SURGE,55,0.427272727
BUSTER,COLT,SURGE,55,0.481818182
COLT,MAISIE,STU,54,0.648148148
BULL,MAISIE,SURGE,54,0.638888889
MORTIS,SANDY,SURGE,54,0.564814815
BUZZ,MAISIE,SANDY,54,0.703703704
JACKY,MAISIE,SURGE,54,0.611111111
MAISIE,NITA,SHELLY,54,0.62962963
FRANK,MAISIE,STU,54,0.657407407
FRANK,GALE,TARA,54,0.759259259
RICO,SANDY,SURGE,54,0.537037037
EL PRIMO,GALE,SURGE,53,0.603773585
MORTIS,RICO,SURGE,53,0.471698113
MORTIS,SURGE,TARA,53,0.613207547
BUSTER,GALE,SURGE,53,0.443396226
BUZZ,MORTIS,SURGE,53,0.509433962
FRANK,MAISIE,SPIKE,52,0.490384615
BUZZ,NITA,SHELLY,52,0.769230769
BULL,NITA,SURGE,52,0.538461538
NITA,RICO,STU,51,0.666666667
MORTIS,STU,SURGE,51,0.431372549
FRANK,RICO,SURGE,51,0.568627451
GALE,JACKY,NITA,51,0.666666667
BIBI,NITA,TARA,51,0.715686275
GALE,STU,TARA,51,0.509803922
SANDY,SPIKE,SURGE,51,0.607843137
BUZZ,MAISIE,SPIKE,51,0.549019608
BIBI,GALE,MAISIE,51,0.617647059
COLETTE,GALE,NITA,51,0.539215686
NITA,SPIKE,STU,51,0.647058824
BUZZ,NITA,RICO,51,0.696078431
GALE,SPIKE,TARA,50,0.46
COLETTE,MAISIE,SURGE,50,0.52
DYNAMIKE,SPIKE,SURGE,50,0.38
MORTIS,SHELLY,SURGE,50,0.52
EL PRIMO,RICO,SURGE,50,0.61
BUZZ,COLT,GALE,50,0.37
MORTIS,NITA,SURGE,50,0.55
COLT,SHELLY,SURGE,50,0.4
FRANK,SPIKE,SURGE,50,0.78
COLETTE,GALE,RICO,50,0.48
BIBI,JACKY,SURGE,50,0.61
EL PRIMO,SURGE,TARA,50,0.62
MAISIE,RICO,SURGE,49,0.581632653
GRIFF,RICO,SURGE,49,0.520408163
BUZZ,FRANK,GALE,49,0.62244898
BUZZ,NITA,TARA,49,0.755102041
BUZZ,COLT,NITA,49,0.612244898
COLT,SANDY,SURGE,49,0.469387755
BUZZ,GALE,RICO,49,0.489795918
FRANK,MORTIS,SURGE,48,0.375
COLETTE,RICO,SURGE,48,0.40625
BUZZ,STU,TARA,48,0.666666667
GALE,MAISIE,SHELLY,48,0.479166667
AMBER,GALE,SURGE,48,0.385416667
BUZZ,GALE,JACKY,48,0.791666667
COLETTE,MAISIE,NITA,48,0.375
FRANK,NITA,TARA,48,0.822916667
COLT,MORTIS,SURGE,47,0.446808511
JACKY,MAISIE,TARA,47,0.734042553
DYNAMIKE,JACKY,SURGE,47,0.723404255
MAISIE,SPIKE,TARA,47,0.478723404
MAISIE,RICO,STU,47,0.521276596
COLT,MAISIE,MORTIS,47,0.404255319
BIBI,MAISIE,NITA,47,0.627659574
NITA,RICO,TARA,46,0.608695652
BIBI,MAISIE,SHELLY,46,0.391304348
DARRYL,MAISIE,SURGE,46,0.543478261
COLT,GALE,SANDY,46,0.510869565
FRANK,NITA,STU,46,0.597826087
BIBI,COLETTE,SURGE,46,0.554347826
MAISIE,RICO,SPIKE,46,0.652173913
BUZZ,OTIS,SURGE,46,0.586956522
BUSTER,SANDY,SURGE,46,0.75
COLT,NITA,STU,45,0.6
JESSIE,RICO,SURGE,45,0.577777778
FRANK,NITA,SPIKE,45,0.655555556
GALE,GRIFF,STU,45,0.488888889
BIBI,STU,TARA,45,0.711111111
DARRYL,RICO,SURGE,45,0.488888889
RICO,SHELLY,SURGE,45,0.455555556
BUZZ,CORDELIUS,SURGE,45,0.555555556
BIBI,NITA,STU,45,0.666666667
SHELLY,STU,SURGE,44,0.420454545
BUZZ,GRIFF,SURGE,44,0.613636364
BIBI,MAISIE,STU,44,0.568181818
EL PRIMO,GALE,NITA,44,0.659090909
BIBI,DYNAMIKE,SURGE,44,0.306818182
LOU,NITA,SURGE,44,0.636363636
BUZZ,FRANK,SURGE,44,0.681818182
COLT,FRANK,GALE,44,0.670454545
COLETTE,COLT,GALE,43,0.38372093
MAX,SURGE,TARA,43,0.604651163
NITA,SHELLY,TARA,43,0.639534884
DYNAMIKE,NITA,SURGE,43,0.441860465
DYNAMIKE,GALE,NITA,43,0.604651163
GALE,MAISIE,SPIKE,43,0.627906977
COLT,EL PRIMO,NITA,43,0.674418605
BIBI,GALE,NITA,43,0.569767442
CLANCY,MAISIE,NITA,43,0.581395349
BUZZ,GALE,MORTIS,43,0.581395349
MAISIE,NITA,RICO,43,0.697674419
EL PRIMO,STU,SURGE,43,0.662790698
BIBI,BUZZ,TARA,43,0.593023256
EMZ,MAISIE,SURGE,43,0.406976744
COLETTE,JACKY,SURGE,43,0.744186047
DYNAMIKE,GALE,MAISIE,43,0.569767442
BUZZ,COLT,SPIKE,43,0.465116279
COLT,DYNAMIKE,SURGE,42,0.357142857
BIBI,NITA,RICO,42,0.678571429
COLT,FRANK,TARA,42,0.69047619
