Team,tm1,tm2,Picks Recorded,Win Rate
GENE,STU,SURGE,105,0.552380952
GUS,SANDY,SURGE,102,0.578431373
GENE,SANDY,SURGE,101,0.554455446
GENE,SURGE,TARA,100,0.53
GUS,RICO,SURGE,98,0.62244898
GUS,STU,SURGE,97,0.567010309
NITA,SANDY,SURGE,87,0.67816092
JESSIE,SANDY,SURGE,84,0.547619048
PENNY,SANDY,SURGE,83,0.686746988
RICO,SANDY,SURGE,82,0.682926829
JESSIE,NITA,RICO,81,0.617283951
RICO,STU,SURGE,80,0.6625
GENE,RICO,SURGE,78,0.628205128
JESSIE,MORTIS,SURGE,73,0.547945205
JESSIE,RICO,SURGE,72,0.569444444
STU,SURGE,TARA,72,0.611111111
RICO,SPIKE,SURGE,69,0.507246377
GUS,LEON,SURGE,68,0.558823529
GUS,MORTIS,RICO,67,0.611940299
SANDY,STU,SURGE,67,0.462686567
GUS,SURGE,TARA,66,0.575757576
CARL,GUS,SURGE,66,0.53030303
JESSIE,LEON,SANDY,64,0.484375
GENE,SANDY,STU,63,0.587301587
SANDY,SURGE,TARA,62,0.532258065
GUS,KENJI,SURGE,62,0.516129032
BIBI,SURGE,TARA,62,0.758064516
PENNY,SURGE,TARA,62,0.693548387
MORTIS,RICO,SURGE,61,0.540983607
JESSIE,LEON,SURGE,60,0.65
GUS,SPIKE,SURGE,60,0.466666667
GENE,JESSIE,SURGE,60,0.516666667
GUS,RICO,SANDY,60,0.7
GENE,SPIKE,SURGE,59,0.491525424
GUS,SANDY,STU,59,0.627118644
MORTIS,SPIKE,SURGE,59,0.542372881
RICO,STU,TARA,59,0.779661017
GALE,STU,SURGE,59,0.593220339
JESSIE,SURGE,TARA,58,0.603448276
GALE,RICO,SURGE,58,0.534482759
PENNY,STU,SURGE,57,0.561403509
RICO,SURGE,TARA,57,0.578947368
LEON,RICO,SURGE,56,0.678571429
JESSIE,STU,SURGE,56,0.464285714
LEON,SANDY,STU,56,0.5
GENE,RUFFS,SURGE,55,0.581818182
GENE,LEON,RICO,55,0.672727273
GALE,SURGE,TARA,55,0.454545455
GUS,JESSIE,SURGE,55,0.581818182
JESSIE,SPIKE,SURGE,54,0.518518519
GUS,STU,TARA,54,0.722222222
DARRYL,RICO,STU,54,0.648148148
GENE,MORTIS,RICO,54,0.62962963
DARRYL,JESSIE,SURGE,54,0.759259259
GENE,LEON,STU,53,0.433962264
GUS,MORTIS,SURGE,53,0.509433962
MAISIE,RICO,SURGE,53,0.58490566
DYNAMIKE,RICO,SURGE,53,0.566037736
JESSIE,STU,TARA,52,0.557692308
NITA,PENNY,SURGE,52,0.673076923
NITA,RICO,SURGE,52,0.596153846
SPIKE,SURGE,TARA,51,0.647058824
NITA,STU,SURGE,51,0.607843137
MAX,RICO,SURGE,51,0.529411765
LEON,RICO,STU,51,0.568627451
GALE,PENNY,SURGE,51,0.529411765
GENE,MORTIS,SURGE,51,0.411764706
LEON,SURGE,TARA,51,0.666666667
RICO,SANDY,STU,51,0.588235294
GUS,RICO,TARA,51,0.68627451
JESSIE,SANDY,TARA,50,0.62
BIBI,RICO,SURGE,50,0.64
JESSIE,RICO,SPIKE,50,0.48
LEON,NITA,SURGE,50,0.5
DARRYL,GUS,SURGE,49,0.530612245
BO,RICO,SURGE,49,0.714285714
GALE,SANDY,SURGE,49,0.489795918
GUS,NITA,SANDY,49,0.428571429
BUZZ,GENE,SURGE,49,0.469387755
PENNY,SANDY,STU,49,0.551020408
GENE,SANDY,TARA,48,0.520833333
PENNY,STU,TARA,48,0.6875
MORTIS,SANDY,SURGE,48,0.645833333
LEON,SANDY,SURGE,48,0.625
PENNY,RICO,SURGE,47,0.638297872
MAISIE,STU,SURGE,47,0.659574468
BIBI,JESSIE,SURGE,47,0.617021277
GENE,STU,TARA,47,0.574468085
GUS,NITA,TARA,47,0.553191489
GENE,RICO,STU,47,0.446808511
PENNY,RICO,STU,46,0.673913043
CORDELIUS,RICO,SURGE,46,0.608695652
GENE,LEON,SURGE,46,0.543478261
GENE,GUS,SURGE,46,0.543478261
GUS,NITA,SURGE,46,0.652173913
JESSIE,LEON,RICO,46,0.630434783
GUS,JUJU,SURGE,46,0.652173913
GENE,NITA,SURGE,46,0.673913043
GUS,PENNY,STU,45,0.622222222
PIPER,STU,SURGE,45,0.511111111
BIBI,JESSIE,SANDY,45,0.622222222
JESSIE,RICO,SANDY,45,0.533333333
MORTIS,SURGE,TARA,45,0.666666667
CROW,RICO,SURGE,45,0.577777778
GALE,JESSIE,RICO,45,0.6
GUS,MORTIS,SANDY,45,0.622222222
MAX,SANDY,SURGE,44,0.477272727
GUS,LARRY & LAWRIE,SURGE,44,0.727272727
GENE,MORTIS,STU,44,0.590909091
JESSIE,KENJI,SURGE,44,0.590909091
DYNAMIKE,JESSIE,RICO,43,0.581395349
DARRYL,PENNY,SURGE,43,0.488372093
DARRYL,GUS,SANDY,43,0.534883721
GALE,NITA,SURGE,43,0.511627907
KENJI,SANDY,SURGE,43,0.441860465
DARRYL,GENE,SURGE,43,0.534883721
MORTIS,STU,TARA,42,0.547619048
GUS,RUFFS,SURGE,42,0.619047619
PENNY,SPIKE,SURGE,42,0.571428571
PENNY,RICO,SANDY,42,0.404761905
BIBI,GENE,SURGE,42,0.595238095
GUS,PENNY,SURGE,42,0.523809524
CORDELIUS,SURGE,TARA,41,0.585365854
GENE,NITA,SANDY,41,0.609756098
GENE,SPIKE,TARA,41,0.634146341
MORTIS,PENNY,SURGE,41,0.43902439
JESSIE,NITA,SURGE,41,0.585365854
CROW,JESSIE,SURGE,41,0.463414634
BUZZ,SURGE,TARA,41,0.707317073
NITA,PENNY,RICO,41,0.487804878
GUS,SANDY,TARA,41,0.609756098
GUS,RICO,STU,40,0.625
CORDELIUS,JESSIE,SURGE,40,0.625
GENE,RICO,TARA,40,0.6
BO,SANDY,SURGE,40,0.625
PIPER,RICO,SURGE,40,0.575
GALE,GENE,SURGE,40,0.5
LEON,STU,SURGE,40,0.525
GENE,RICO,SANDY,40,0.6
JESSIE,MORTIS,RICO,40,0.75
CARL,GENE,SURGE,40,0.475
GUS,LEON,TARA,40,0.625
BO,JESSIE,SURGE,40,0.575
GALE,RICO,SANDY,40,0.575
MORTIS,STU,SURGE,39,0.692307692
GUS,KENJI,RICO,39,0.487179487
GUS,RUFFS,SANDY,39,0.717948718
GALE,MORTIS,SURGE,39,0.615384615
DARRYL,GUS,RICO,39,0.564102564
JESSIE,KENJI,RICO,39,0.461538462
BO,DYNAMIKE,SURGE,39,0.384615385
BUSTER,GENE,SURGE,39,0.666666667
GENE,NITA,STU,39,0.538461538
JESSIE,MORTIS,STU,38,0.473684211
RICO,SANDY,SPIKE,38,0.368421053
JESSIE,RICO,STU,38,0.552631579
JESSIE,MAISIE,RICO,38,0.631578947
BUZZ,JESSIE,RICO,38,0.605263158
JESSIE,NITA,STU,38,0.578947368
JESSIE,SANDY,STU,38,0.578947368
GUS,LARRY & LAWRIE,STU,38,0.552631579
LEON,NITA,RICO,38,0.578947368
CROW,LEON,SURGE,38,0.631578947
8-BIT,SANDY,STU,38,0.526315789
BUZZ,RICO,SURGE,38,0.552631579
SANDY,SPIKE,STU,38,0.473684211
DYNAMIKE,JESSIE,SURGE,38,0.578947368
LEON,SANDY,TARA,37,0.513513514
CORDELIUS,GUS,RICO,37,0.405405405
SANDY,SPIKE,SURGE,37,0.459459459
BIBI,PENNY,SURGE,37,0.675675676
DARRYL,GUS,STU,37,0.594594595
BIBI,RICO,STU,37,0.675675676
CORDELIUS,RICO,SANDY,37,0.351351351
PENNY,RICO,TARA,37,0.702702703
SPIKE,STU,SURGE,37,0.486486486
CROW,STU,SURGE,36,0.388888889
EMZ,PENNY,SURGE,36,0.555555556
MORTIS,RICO,STU,36,0.638888889
BO,STU,SURGE,36,0.5
EMZ,RICO,SURGE,36,0.527777778
BO,LEON,RICO,36,0.666666667
BUSTER,GUS,PENNY,36,0.638888889
MORTIS,NITA,SURGE,36,0.611111111
CORDELIUS,GENE,SURGE,36,0.638888889
LEON,PENNY,SURGE,36,0.638888889
FANG,SURGE,TARA,36,0.583333333
GENE,JESSIE,RICO,36,0.638888889
KENJI,RICO,SURGE,36,0.611111111
GENE,MORTIS,SANDY,36,0.611111111
JESSIE,MORTIS,SANDY,36,0.527777778
CORDELIUS,STU,SURGE,36,0.472222222
GENE,RICO,SPIKE,35,0.428571429
GALE,JESSIE,SANDY,35,0.514285714
PIPER,RUFFS,TARA,35,0.485714286
NITA,PENNY,SANDY,35,0.657142857
DYNAMIKE,JESSIE,SANDY,35,0.6
GENE,JUJU,SURGE,35,0.685714286
DYNAMIKE,SURGE,TARA,35,0.628571429
GUS,RUFFS,TARA,35,0.571428571
CARL,GENE,STU,35,0.485714286
DARRYL,STU,SURGE,35,0.342857143
MAISIE,SANDY,SURGE,35,0.485714286
PIPER,SURGE,TARA,35,0.4
NITA,SANDY,TARA,35,0.571428571
GALE,SPIKE,SURGE,35,0.4
8-BIT,SURGE,TARA,35,0.542857143
LEON,RICO,TARA,35,0.571428571
BYRON,SANDY,SURGE,34,0.382352941
GENE,LEON,TARA,34,0.382352941
CARL,SANDY,SURGE,34,0.588235294
FRANK,GUS,SURGE,34,0.264705882
GUS,PENNY,TARA,34,0.735294118
MORTIS,PIPER,SURGE,34,0.676470588
JESSIE,MAISIE,SURGE,34,0.441176471
JESSIE,JUJU,SURGE,34,0.676470588
BIBI,STU,SURGE,34,0.411764706
BIBI,SANDY,SURGE,34,0.794117647
MOE,RICO,SURGE,34,0.5
DYNAMIKE,GALE,SURGE,34,0.5
KENJI,LEON,SURGE,34,0.617647059
GUS,NITA,RUFFS,34,0.764705882
BIBI,JESSIE,RICO,34,0.794117647
RICO,SPIKE,TARA,33,0.636363636
NITA,SANDY,STU,33,0.454545455
MAX,RUFFS,SURGE,33,0.272727273
GENE,PENNY,SURGE,33,0.575757576
PIPER,SANDY,SURGE,33,0.545454545
GUS,MORTIS,STU,33,0.727272727
8-BIT,SANDY,SURGE,33,0.515151515
JESSIE,KENJI,TARA,33,0.515151515
MAISIE,SANDY,TARA,33,0.545454545
CHESTER,JESSIE,RICO,33,0.636363636
GUS,MORTIS,TARA,33,0.727272727
LEON,MORTIS,RICO,33,0.484848485
GENE,LARRY & LAWRIE,SURGE,33,0.454545455
LEON,MORTIS,SURGE,33,0.696969697
CROW,MORTIS,SURGE,33,0.666666667
DYNAMIKE,SANDY,SURGE,33,0.424242424
MAISIE,NITA,SANDY,33,0.484848485
BO,SURGE,TARA,33,0.696969697
BUSTER,PENNY,SURGE,33,0.666666667
8-BIT,RICO,SURGE,32,0.6875
CARL,GUS,TARA,32,0.34375
GUS,JACKY,SURGE,32,0.5625
LEON,SPIKE,SURGE,32,0.53125
BO,SPIKE,SURGE,32,0.65625
JESSIE,NITA,TARA,32,0.6875
ASH,GUS,SURGE,32,0.625
DYNAMIKE,RICO,TARA,32,0.59375
PIPER,RUFFS,SURGE,32,0.53125
JESSIE,MAISIE,TARA,32,0.59375
BIBI,SANDY,STU,32,0.59375
GUS,MOE,SURGE,32,0.5
GALE,JESSIE,SURGE,32,0.4375
NITA,SURGE,TARA,32,0.53125
BYRON,SURGE,TARA,32,0.4375
GENE,PENNY,SANDY,32,0.5625
GUS,LEON,STU,32,0.25
BIBI,GUS,STU,31,0.612903226
DYNAMIKE,LEON,SANDY,31,0.35483871
GUS,JESSIE,TARA,31,0.612903226
8-BIT,NITA,TARA,31,0.580645161
BUSTER,GUS,RICO,31,0.64516129
MORTIS,SANDY,SPIKE,31,0.483870968
EMZ,JESSIE,LEON,31,0.516129032
MAX,STU,SURGE,31,0.612903226
JESSIE,MAISIE,SANDY,31,0.451612903
MORTIS,SPIKE,STU,31,0.516129032
DYNAMIKE,RICO,SANDY,31,0.64516129
CORDELIUS,JESSIE,SANDY,31,0.516129032
GENE,JESSIE,TARA,31,0.580645161
ASH,GENE,SURGE,31,0.419354839
GUS,JESSIE,SANDY,31,0.580645161
LEON,MAISIE,SURGE,31,0.419354839
EDGAR,JESSIE,RICO,31,0.709677419
DYNAMIKE,SPIKE,SURGE,31,0.612903226
GUS,LILY,SURGE,31,0.516129032
PENNY,RUFFS,SURGE,31,0.548387097
GUS,NITA,RICO,31,0.612903226
GALE,JESSIE,STU,31,0.580645161
GALE,GENE,RICO,30,0.4
BUSTER,GUS,SANDY,30,0.4
GENE,MORTIS,TARA,30,0.533333333
DYNAMIKE,LEON,SURGE,30,0.5
CROW,PENNY,SURGE,30,0.466666667
DARRYL,MAX,RICO,30,0.733333333
GENE,NITA,TARA,30,0.633333333
BYRON,RICO,STU,30,0.633333333
CARL,GUS,SANDY,30,0.733333333
PENNY,RICO,RUFFS,30,0.6
BUSTER,GENE,TARA,30,0.666666667
LEON,RICO,SANDY,30,0.533333333
RICO,SURGE,TICK,30,0.633333333
BYRON,LEON,SURGE,30,0.333333333
MORTIS,RICO,SANDY,30,0.4
CROW,PENNY,RICO,30,0.5
POCO,SURGE,TARA,30,0.433333333
CARL,GUS,STU,30,0.6
GALE,GUS,SURGE,30,0.566666667
GENE,KENJI,TARA,30,0.366666667
GUS,RUFFS,SPIKE,30,0.566666667
PIPER,RICO,SANDY,30,0.4
GALE,KENJI,SURGE,30,0.3
GENE,PENNY,RICO,29,0.620689655
BUSTER,SANDY,SURGE,29,0.413793103
GALE,JESSIE,TARA,29,0.482758621
ASH,GUS,SANDY,29,0.586206897
ASH,GUS,STU,29,0.965517241
BIBI,RICO,TARA,29,0.689655172
CROW,JESSIE,SPIKE,29,0.517241379
JESSIE,RICO,TARA,29,0.655172414
MORTIS,RICO,TARA,29,0.586206897
JESSIE,RUFFS,SURGE,29,0.551724138
GUS,JESSIE,NITA,29,0.586206897
JESSIE,LEON,STU,29,0.379310345
JESSIE,SPIKE,TARA,29,0.448275862
LEON,STU,TARA,29,0.586206897
BUSTER,GUS,STU,29,0.448275862
SANDY,SQUEAK,SURGE,29,0.620689655
DARRYL,PENNY,STU,29,0.689655172
BIBI,GALE,RICO,29,0.482758621
JESSIE,LEON,MORTIS,29,0.379310345
GENE,GUS,STU,29,0.551724138
DYNAMIKE,LEON,RICO,29,0.517241379
JESSIE,NITA,SPIKE,29,0.586206897
JESSIE,PENNY,SURGE,29,0.586206897
MORTIS,SANDY,STU,29,0.448275862
CROW,SURGE,TARA,28,0.392857143
FANG,JESSIE,SURGE,28,0.642857143
GALE,RICO,STU,28,0.607142857
LEON,PENNY,RICO,28,0.571428571
BIBI,RICO,SANDY,28,0.571428571
GALE,MAISIE,SURGE,28,0.5
CORDELIUS,SANDY,STU,28,0.607142857
BIBI,PENNY,RICO,28,0.678571429
CROW,SPIKE,SURGE,28,0.642857143
BUZZ,SPIKE,SURGE,28,0.642857143
RICO,SPIKE,STU,28,0.464285714
BO,NITA,RICO,28,0.714285714
BIBI,LEON,SURGE,28,0.5
FRANK,RICO,STU,28,0.5
BIBI,GUS,TARA,28,0.642857143
CROW,GENE,RICO,28,0.5
MAISIE,RICO,STU,28,0.714285714
GALE,JESSIE,LEON,28,0.428571429
PENNY,RICO,SPIKE,28,0.535714286
PIPER,SANDY,STU,28,0.535714286
MAISIE,PENNY,TARA,28,0.5
CROW,SANDY,SURGE,28,0.535714286
NITA,PIPER,SURGE,28,0.5
CORDELIUS,RICO,TARA,28,0.5
JESSIE,PENNY,RICO,28,0.714285714
GALE,JESSIE,SPIKE,28,0.571428571
JESSIE,PENNY,SANDY,28,0.535714286
JUJU,PENNY,SURGE,28,0.75
KENJI,STU,TARA,28,0.5
DARRYL,JESSIE,STU,28,0.785714286
DYNAMIKE,STU,SURGE,28,0.5
LEON,PENNY,STU,28,0.571428571
GUS,LARRY & LAWRIE,RICO,27,0.518518519
BUZZ,STU,SURGE,27,0.62962963
MAISIE,SURGE,TARA,27,0.407407407
GENE,RUFFS,SPIKE,27,0.518518519
DARRYL,GUS,RUFFS,27,0.703703704
LARRY & LAWRIE,LEON,SURGE,27,0.666666667
JESSIE,NITA,SANDY,27,0.740740741
GALE,GUS,TARA,27,0.407407407
BO,GENE,SURGE,27,0.407407407
KENJI,MAISIE,SURGE,27,0.518518519
CLANCY,PENNY,SURGE,27,0.481481481
LOU,RICO,SURGE,27,0.777777778
FRANK,JESSIE,SURGE,27,0.407407407
GENE,SANDY,SPIKE,27,0.555555556
CARL,JESSIE,RICO,27,0.555555556
EDGAR,LEON,SURGE,27,0.555555556
KENJI,PENNY,SURGE,27,0.703703704
BIBI,NITA,RICO,27,0.555555556
BUSTER,GENE,STU,27,0.555555556
EDGAR,JESSIE,SURGE,27,0.592592593
JESSIE,SANDY,SPIKE,27,0.592592593
DARRYL,GUS,PENNY,27,0.555555556
LARRY & LAWRIE,PENNY,SURGE,27,0.481481481
GENE,PEARL,SANDY,27,0.518518519
GALE,RICO,TARA,27,0.703703704
CORDELIUS,GALE,RICO,27,0.407407407
MAISIE,STU,TARA,27,0.740740741
MAISIE,SANDY,STU,27,0.555555556
BUZZ,PENNY,SURGE,27,0.407407407
MAISIE,PENNY,SURGE,26,0.730769231
MORTIS,RICO,SPIKE,26,0.692307692
ASH,GUS,RICO,26,0.615384615
GENE,MAISIE,SURGE,26,0.423076923
GALE,SANDY,STU,26,0.384615385
LEON,PENNY,TARA,26,0.615384615
MAISIE,RICO,TARA,26,0.653846154
BIBI,LEON,RICO,26,0.576923077
BUSTER,JESSIE,SURGE,26,0.769230769
GENE,JESSIE,MORTIS,26,0.384615385
NITA,PENNY,TARA,26,0.807692308
COLETTE,RICO,SURGE,26,0.5
BUZZ,DYNAMIKE,RICO,26,0.384615385
CHESTER,NITA,SURGE,26,0.615384615
FANG,NITA,SURGE,26,0.461538462
MAX,MORTIS,SURGE,26,0.653846154
MAISIE,MORTIS,RICO,26,0.730769231
GENE,PENNY,STU,26,0.461538462
DARRYL,RICO,SANDY,26,0.538461538
DARRYL,MAISIE,SANDY,26,0.5
LEON,MORTIS,SANDY,26,0.769230769
CORDELIUS,GENE,RICO,26,0.307692308
DYNAMIKE,MORTIS,SURGE,26,0.384615385
BUSTER,GENE,RICO,26,0.653846154
CARL,GENE,TARA,26,0.615384615
JACKY,RICO,SURGE,26,0.615384615
GALE,STU,TARA,26,0.576923077
POCO,RICO,SURGE,26,0.5
EMZ,SANDY,SURGE,26,0.653846154
GUS,NITA,SPIKE,26,0.5
CROW,GUS,SURGE,26,0.423076923
CORDELIUS,PENNY,SURGE,26,0.615384615
CROW,RICO,TARA,26,0.923076923
NITA,RICO,SANDY,26,0.5
CORDELIUS,JESSIE,RICO,26,0.769230769
BYRON,NITA,SURGE,25,0.64
CHESTER,GENE,SURGE,25,0.44
DYNAMIKE,MORTIS,RICO,25,0.52
GENE,NITA,RICO,25,0.48
MOE,SANDY,SURGE,25,0.76
NITA,PENNY,STU,25,0.64
BIBI,MAISIE,SURGE,25,0.36
NITA,RICO,STU,25,0.56
BIBI,BO,SURGE,25,0.52
RICO,SQUEAK,SURGE,25,0.64
CARL,STU,SURGE,25,0.6
BUZZ,GENE,STU,25,0.44
BUZZ,SANDY,SURGE,25,0.72
GENE,ROSA,SURGE,25,0.6
JUJU,SANDY,SURGE,25,0.56
DYNAMIKE,GENE,SURGE,25,0.48
BIBI,GALE,SURGE,25,0.6
BIBI,GENE,STU,25,0.52
RICO,SANDY,TARA,25,0.52
DARRYL,PENNY,RICO,25,0.72
CARL,PENNY,RICO,25,0.68
MAX,RICO,TARA,25,0.6
AMBER,CARL,SURGE,25,0.48
BIBI,GUS,SURGE,25,0.44
CHESTER,PENNY,SURGE,25,0.52
JACKY,RICO,TARA,25,0.68
BO,PENNY,SURGE,25,0.48
CORDELIUS,GUS,MORTIS,25,0.36
GALE,PENNY,RICO,25,0.4
CARL,PIPER,SURGE,25,0.6
JUJU,SURGE,TARA,25,0.44
CARL,GUS,RICO,25,0.68
GUS,LEON,MORTIS,25,0.68
DYNAMIKE,SANDY,TARA,25,0.56
CROW,DYNAMIKE,SURGE,25,0.2
GALE,LEON,SURGE,25,0.48
GENE,SPIKE,STU,25,0.56
BIBI,SANDY,TARA,25,0.36
POCO,SANDY,SURGE,25,0.6
BIBI,GUS,NITA,25,0.56
GALE,GUS,SANDY,25,0.36
LILY,STU,SURGE,25,0.52
BUSTER,GUS,SURGE,24,0.583333333
GRIFF,SANDY,SURGE,24,0.583333333
FANG,GUS,SURGE,24,0.541666667
EMZ,SURGE,TARA,24,0.625
KENJI,MORTIS,SURGE,24,0.583333333
DARRYL,RICO,SURGE,24,0.583333333
8-BIT,CROW,SURGE,24,0.458333333
8-BIT,RICO,SANDY,24,0.458333333
JESSIE,LARRY & LAWRIE,SURGE,24,0.75
EMZ,LEON,SURGE,24,0.541666667
JESSIE,RUFFS,TARA,24,0.541666667
JESSIE,OTIS,SURGE,24,0.5
COLETTE,RICO,SANDY,24,0.375
GUS,KENJI,STU,24,0.416666667
CARL,GENE,RICO,24,0.541666667
BIBI,GENE,RICO,24,0.708333333
BUZZ,LEON,SURGE,24,0.541666667
GUS,MAX,SURGE,24,0.583333333
DYNAMIKE,RICO,SPIKE,24,0.666666667
BUZZ,GUS,RICO,24,0.541666667
DARRYL,RICO,TARA,24,0.541666667
EMZ,NITA,SURGE,24,0.541666667
BIBI,GENE,SANDY,24,0.75
GENE,KENJI,STU,24,0.583333333
FRANK,RICO,SURGE,24,0.75
COLT,RICO,SURGE,24,0.5
BYRON,RICO,SURGE,24,0.5
MORTIS,PENNY,STU,24,0.625
ASH,STU,TARA,24,0.708333333
DARRYL,GENE,STU,24,0.75
LOU,RICO,SANDY,24,0.333333333
NITA,RICO,TARA,24,0.541666667
JESSIE,MAISIE,STU,24,0.458333333
CROW,NITA,SURGE,24,0.541666667
BUZZ,SANDY,TARA,24,0.375
BROCK,JESSIE,RICO,24,0.625
CARL,SURGE,TARA,24,0.625
CORDELIUS,GENE,MORTIS,24,0.541666667
GENE,SQUEAK,SURGE,24,0.291666667
GUS,KENJI,NITA,24,0.5
DARRYL,JESSIE,SANDY,24,0.833333333
BIBI,SANDY,SPIKE,24,0.458333333
GENE,JACKY,RICO,24,0.666666667
GUS,LARRY & LAWRIE,SANDY,24,0.583333333
ASH,JESSIE,RICO,24,0.416666667
CORDELIUS,GENE,STU,24,0.458333333
BUSTER,JESSIE,SANDY,24,0.666666667
MORTIS,PENNY,RICO,24,0.583333333
GUS,LEON,SANDY,24,0.625
JESSIE,MORTIS,NITA,24,0.416666667
GUS,PENNY,RICO,24,0.625
PIPER,RICO,TARA,24,0.458333333
GENE,JESSIE,MAISIE,24,0.708333333
MAISIE,PENNY,STU,23,0.739130435
BIBI,JESSIE,STU,23,0.739130435
CORDELIUS,JESSIE,SPIKE,23,0.47826087
FANG,SANDY,SURGE,23,0.47826087
GALE,JUJU,SURGE,23,0.52173913
CARL,JESSIE,SURGE,23,0.47826087
BYRON,MAISIE,STU,23,0.565217391
FRANK,GALE,SURGE,23,0.52173913
CHESTER,PENNY,STU,23,0.782608696
GUS,LEON,RICO,23,0.434782609
GUS,JESSIE,STU,23,0.565217391
GUS,NITA,STU,23,0.52173913
DARRYL,MAISIE,RICO,23,0.608695652
BIBI,SPIKE,TARA,23,0.565217391
GUS,KENJI,TARA,23,0.565217391
COLT,GALE,SURGE,23,0.608695652
MAISIE,PENNY,RICO,23,0.782608696
CORDELIUS,NITA,PENNY,23,0.434782609
CORDELIUS,PENNY,TARA,23,0.652173913
DYNAMIKE,LEON,SPIKE,23,0.260869565
GENE,MAISIE,SANDY,23,0.608695652
CROW,JESSIE,RICO,23,0.652173913
KENJI,STU,SURGE,23,0.52173913
DARRYL,SANDY,SURGE,23,0.434782609
ASH,STU,SURGE,23,0.739130435
DARRYL,DYNAMIKE,RICO,23,0.434782609
BYRON,JESSIE,SURGE,23,0.652173913
LEON,MORTIS,SPIKE,23,0.52173913
GENE,LEON,MORTIS,23,0.347826087
DARRYL,DYNAMIKE,JESSIE,23,0.434782609
ASH,RICO,SURGE,23,0.52173913
PENNY,RUFFS,STU,23,0.695652174
ASH,GENE,STU,23,0.695652174
CORDELIUS,DYNAMIKE,TARA,23,0.565217391
GENE,JUJU,SANDY,23,0.391304348
DYNAMIKE,GUS,RICO,23,0.739130435
DYNAMIKE,FANG,RICO,23,0.608695652
CORDELIUS,JESSIE,LEON,23,0.739130435
GUS,SANDY,SPIKE,23,0.608695652
PIPER,STU,TARA,23,0.565217391
GENE,RUFFS,SANDY,23,0.347826087
GUS,LEON,NITA,23,0.434782609
SANDY,STU,TARA,23,0.565217391
CROW,JACKY,SURGE,23,0.695652174
GENE,MAISIE,RICO,22,0.454545455
GENE,GUS,TARA,22,0.227272727
BUZZ,JESSIE,SURGE,22,0.5
GUS,JUJU,TARA,22,0.545454545
CARL,PENNY,SANDY,22,0.545454545
ASH,SURGE,TARA,22,0.727272727
COLT,SANDY,SURGE,22,0.5
BYRON,GENE,TARA,22,0.545454545
DYNAMIKE,RICO,STU,22,0.545454545
EDGAR,SANDY,SURGE,22,0.545454545
CARL,RICO,STU,22,0.636363636
PENNY,SHADE,SURGE,22,0.590909091
LEON,SURGE,TICK,22,0.681818182
GUS,SHADE,STU,22,0.454545455
MORTIS,NITA,RICO,22,0.727272727
DARRYL,LEON,SURGE,22,0.545454545
BIBI,GENE,TARA,22,0.5
