Team,tm1,tm2,Picks Recorded,Win Rate
GUS,RICO,STU,114,0.631578947368421
PIPER,SURGE,TARA,106,0.6037735849056604
GUS,STU,SURGE,105,0.6476190476190476
PIPER,RICO,TARA,105,0.5904761904761905
PIPER,STU,SURGE,104,0.5673076923076923
PIPER,RICO,SURGE,101,0.5247524752475248
GUS,RICO,TARA,97,0.711340206185567
LEON,PIPER,RICO,93,0.46236559139784944
GUS,SURGE,TARA,92,0.6630434782608695
PIPER,RICO,STU,88,0.4431818181818182
GENE,RICO,SURGE,86,0.5348837209302325
BYRON,RICO,STU,86,0.5465116279069767
GUS,LEON,RICO,85,0.6235294117647059
GUS,RICO,SURGE,85,0.49411764705882355
MORTIS,PIPER,SURGE,84,0.4880952380952381
CROW,GUS,SURGE,83,0.6867469879518072
LEON,PIPER,STU,82,0.5487804878048781
GENE,PIPER,SURGE,82,0.35365853658536583
LEON,PIPER,TARA,81,0.49382716049382713
GENE,PIPER,STU,81,0.5185185185185185
GUS,STU,TARA,81,0.6666666666666666
GENE,RICO,TARA,78,0.48717948717948717
GENE,GUS,SURGE,78,0.5641025641025641
COLT,RICO,SURGE,77,0.5194805194805194
GENE,STU,SURGE,76,0.6052631578947368
COLT,PIPER,SURGE,76,0.34210526315789475
CROW,PIPER,RICO,75,0.41333333333333333
GENE,SURGE,TARA,74,0.527027027027027
BYRON,STU,SURGE,74,0.581081081081081
GUS,LEON,SURGE,72,0.5416666666666666
BYRON,SURGE,TARA,71,0.6619718309859155
PIPER,RICO,SPIKE,70,0.37142857142857144
COLT,PIPER,RICO,70,0.4
GENE,GUS,STU,69,0.5652173913043478
GENE,RICO,STU,69,0.5217391304347826
GUS,LEON,TARA,68,0.6764705882352942
COLT,PIPER,STU,67,0.40298507462686567
BYRON,RICO,SURGE,66,0.42424242424242425
JESSIE,PIPER,RICO,66,0.3787878787878788
PIPER,STU,TARA,66,0.6515151515151515
GENE,LEON,RICO,65,0.6461538461538462
FANG,LEON,PIPER,65,0.5230769230769231
LEON,PIPER,SURGE,65,0.5076923076923077
FANG,PIPER,RICO,64,0.4375
COLT,RICO,STU,64,0.359375
FANG,PIPER,STU,63,0.3968253968253968
FANG,PIPER,SURGE,63,0.6349206349206349
GUS,LEON,STU,62,0.4838709677419355
COLT,GENE,RICO,61,0.26229508196721313
COLT,GUS,STU,60,0.5
GENE,PIPER,SPIKE,60,0.55
MAX,PIPER,SURGE,60,0.3333333333333333
GENE,LEON,PIPER,60,0.4666666666666667
GUS,MAX,STU,59,0.5932203389830508
BYRON,LEON,SURGE,58,0.5
GENE,GUS,PIPER,58,0.46551724137931033
BYRON,RICO,TARA,58,0.603448275862069
MORTIS,PIPER,TARA,57,0.5614035087719298
BYRON,PIPER,SURGE,57,0.42105263157894735
COLT,GENE,SURGE,57,0.5263157894736842
GENE,GUS,LEON,57,0.5789473684210527
PIPER,SANDY,SURGE,57,0.47368421052631576
FANG,GUS,RICO,56,0.5
GENE,GUS,TARA,56,0.7142857142857143
CROW,RICO,SURGE,56,0.4642857142857143
MORTIS,PIPER,RICO,56,0.5178571428571429
PIPER,SPIKE,STU,56,0.32142857142857145
8-BIT,LEON,SURGE,55,0.6181818181818182
CHESTER,PIPER,STU,55,0.6
COLT,LEON,PIPER,55,0.2909090909090909
CHESTER,GUS,SURGE,55,0.6363636363636364
COLT,GENE,STU,54,0.3888888888888889
LEON,RICO,STU,54,0.5
COLT,GUS,SURGE,54,0.6481481481481481
CROW,PIPER,TARA,54,0.6111111111111112
BYRON,GUS,STU,54,0.5
GENE,SANDY,STU,53,0.39622641509433965
JESSIE,PIPER,SURGE,53,0.5094339622641509
JESSIE,LEON,SURGE,53,0.49056603773584906
BYRON,LEON,STU,53,0.49056603773584906
BYRON,PIPER,RICO,53,0.4339622641509434
GUS,LEON,PIPER,53,0.32075471698113206
RICO,STU,TARA,52,0.6730769230769231
AMBER,PIPER,STU,52,0.4423076923076923
AMBER,PIPER,RICO,52,0.36538461538461536
RICO,STU,SURGE,52,0.5192307692307693
CARL,GENE,SURGE,52,0.5961538461538461
CROW,LEON,SURGE,52,0.5
8-BIT,SURGE,TARA,52,0.5961538461538461
COLT,STU,SURGE,51,0.45098039215686275
PENNY,PIPER,STU,51,0.49019607843137253
PENNY,PIPER,RICO,51,0.5490196078431373
BYRON,CROW,SURGE,51,0.49019607843137253
GENE,PIPER,TARA,51,0.49019607843137253
BYRON,STU,TARA,50,0.6
BYRON,PIPER,STU,50,0.42
MAX,PIPER,STU,50,0.66
COLT,PIPER,TARA,50,0.4
PEARL,PIPER,STU,50,0.54
GENE,MORTIS,RICO,50,0.58
GUS,PENNY,SURGE,50,0.58
PENNY,PIPER,SURGE,50,0.7
COLT,LEON,STU,49,0.5306122448979592
GALE,PIPER,SURGE,49,0.4897959183673469
FANG,MORTIS,PIPER,49,0.40816326530612246
GENE,STU,TARA,49,0.5714285714285714
LEON,STU,SURGE,49,0.6530612244897959
BYRON,GUS,RICO,49,0.2653061224489796
GUS,PIPER,SURGE,49,0.30612244897959184
AMBER,GENE,RICO,49,0.40816326530612246
COLT,GUS,RICO,49,0.4897959183673469
GUS,RICO,SPIKE,49,0.46938775510204084
GENE,LEON,TARA,48,0.5833333333333334
MORTIS,RICO,SURGE,48,0.5416666666666666
AMBER,GUS,STU,48,0.6458333333333334
COLT,MORTIS,SURGE,48,0.5208333333333334
LEON,MORTIS,PIPER,48,0.625
FANG,GUS,STU,48,0.6875
BYRON,GUS,SURGE,48,0.3333333333333333
BELLE,RICO,SURGE,48,0.4166666666666667
BYRON,GENE,RICO,48,0.5
OTIS,PIPER,STU,48,0.5625
BO,RICO,STU,48,0.5208333333333334
FANG,GENE,PIPER,47,0.3404255319148936
RICO,SURGE,TARA,47,0.5957446808510638
FANG,STU,SURGE,47,0.574468085106383
MORTIS,STU,SURGE,47,0.6170212765957447
GUS,PENNY,TARA,47,0.6382978723404256
FANG,GENE,RICO,47,0.46808510638297873
PIPER,SPIKE,TARA,47,0.574468085106383
PENNY,RICO,SURGE,47,0.40425531914893614
BYRON,LEON,TARA,47,0.5531914893617021
GALE,PIPER,STU,47,0.3829787234042553
GENE,GUS,RICO,47,0.44680851063829785
CHESTER,GUS,RICO,47,0.6595744680851063
BYRON,PENNY,STU,47,0.48936170212765956
JESSIE,RICO,SURGE,47,0.5106382978723404
CROW,JESSIE,SURGE,47,0.46808510638297873
COLT,GUS,TARA,47,0.5531914893617021
CROW,PIPER,SURGE,46,0.5434782608695652
BELLE,RICO,STU,46,0.5434782608695652
MORTIS,PIPER,STU,46,0.5434782608695652
8-BIT,RICO,TARA,46,0.5
CROW,PIPER,STU,46,0.391304347826087
GENE,PIPER,RICO,46,0.41304347826086957
COLT,LEON,RICO,45,0.5111111111111111
BYRON,CROW,RICO,45,0.5333333333333333
CROW,GUS,RICO,45,0.5111111111111111
CROW,FANG,RICO,45,0.5333333333333333
RICO,SPIKE,TARA,45,0.7777777777777778
FANG,PIPER,TARA,45,0.5777777777777777
PIPER,SANDY,TARA,45,0.5333333333333333
FANG,GUS,SURGE,45,0.6444444444444445
GUS,MORTIS,TARA,45,0.6444444444444445
GALE,GENE,SURGE,44,0.5227272727272727
PEARL,PIPER,TARA,44,0.6363636363636364
PENNY,PIPER,TARA,44,0.5454545454545454
BROCK,STU,SURGE,44,0.5454545454545454
GUS,OTIS,RICO,44,0.6590909090909091
COLT,SPIKE,SURGE,44,0.5227272727272727
GUS,PIPER,STU,44,0.5
FANG,GUS,LEON,44,0.45454545454545453
COLT,LEON,SURGE,44,0.4318181818181818
FANG,RICO,SURGE,44,0.5909090909090909
LEON,PIPER,SANDY,44,0.5909090909090909
BYRON,COLT,RICO,44,0.4318181818181818
LEON,SURGE,TARA,44,0.6590909090909091
GENE,GUS,SPIKE,43,0.5116279069767442
CROW,MORTIS,PIPER,43,0.6046511627906976
COLETTE,COLT,PIPER,43,0.3488372093023256
COLT,MORTIS,PIPER,43,0.4883720930232558
COLT,CROW,PIPER,43,0.37209302325581395
CROW,LEON,PIPER,43,0.627906976744186
FANG,GENE,STU,43,0.5348837209302325
8-BIT,LEON,STU,43,0.6511627906976745
AMBER,PIPER,SURGE,43,0.7209302325581395
NANI,RICO,SURGE,43,0.5348837209302325
BUSTER,PIPER,STU,43,0.4418604651162791
OTIS,PIPER,RICO,43,0.5813953488372093
BROCK,PIPER,SURGE,43,0.4883720930232558
GUS,PENNY,PIPER,43,0.5581395348837209
GENE,LEON,SURGE,42,0.5
COLT,JESSIE,RICO,42,0.23809523809523808
AMBER,GUS,SURGE,42,0.6190476190476191
GENE,LEON,STU,42,0.5476190476190477
GALE,PIPER,RICO,42,0.2857142857142857
8-BIT,STU,SURGE,42,0.6666666666666666
JESSIE,LEON,RICO,42,0.6190476190476191
BO,GUS,SURGE,42,0.5952380952380952
COLT,SURGE,TARA,42,0.6190476190476191
FANG,GENE,SURGE,42,0.7380952380952381
CROW,STU,SURGE,42,0.5476190476190477
BYRON,FANG,LEON,42,0.5952380952380952
BYRON,GENE,TARA,42,0.4523809523809524
GUS,LEON,SPIKE,42,0.5476190476190477
GUS,PEARL,SURGE,42,0.40476190476190477
CARL,GUS,RICO,41,0.6341463414634146
PENNY,STU,SURGE,41,0.6585365853658537
