Team,tm1,tm2,Picks Recorded,Win Rate
GUS,SURGE,TARA,114,0.657894737
GUS,RICO,SURGE,111,0.486486486
GUS,SANDY,SURGE,109,0.596330275
JESSIE,RICO,SURGE,107,0.476635514
RICO,STU,SURGE,106,0.443396226
GENE,RICO,SURGE,103,0.611650485
LEON,RICO,SURGE,100,0.53
JESSIE,STU,SURGE,99,0.595959596
STU,SURGE,TARA,97,0.628865979
GUS,RICO,STU,91,0.571428571
GUS,RICO,SANDY,90,0.533333333
JESSIE,SURGE,TARA,90,0.666666667
PENNY,RICO,SURGE,90,0.511111111
RICO,SANDY,SURGE,86,0.5
LEON,STU,SURGE,85,0.541176471
GUS,STU,TARA,83,0.626506024
PIPER,RICO,SURGE,82,0.56097561
JESSIE,RICO,STU,82,0.548780488
GUS,STU,SURGE,81,0.543209877
GENE,SANDY,TARA,81,0.654320988
GENE,STU,SURGE,81,0.592592593
GENE,SURGE,TARA,79,0.569620253
JESSIE,SANDY,SURGE,79,0.544303797
BUSTER,GENE,TARA,77,0.623376623
SANDY,SURGE,TARA,75,0.68
GENE,RICO,STU,74,0.513513514
PIPER,STU,SURGE,74,0.445945946
GUS,RICO,TARA,73,0.547945205
GENE,SANDY,SURGE,71,0.61971831
GENE,STU,TARA,71,0.61971831
BO,RICO,SURGE,70,0.557142857
GALE,RICO,SURGE,69,0.47826087
GALE,LEON,SURGE,69,0.463768116
GUS,SANDY,STU,69,0.565217391
PENNY,STU,SURGE,68,0.544117647
SANDY,STU,SURGE,68,0.558823529
LEON,SANDY,SURGE,67,0.537313433
PIPER,SURGE,TARA,67,0.582089552
RICO,STU,TARA,67,0.582089552
CHESTER,RICO,SURGE,66,0.439393939
RICO,SPIKE,SURGE,66,0.53030303
MORTIS,RICO,STU,66,0.560606061
GENE,LEON,RICO,64,0.53125
GENE,LEON,SANDY,63,0.492063492
MORTIS,STU,SURGE,63,0.492063492
JESSIE,RICO,TARA,63,0.587301587
RICO,SURGE,TARA,63,0.650793651
RICO,SANDY,STU,62,0.564516129
JESSIE,RICO,SANDY,62,0.419354839
CROW,RICO,SURGE,61,0.491803279
GUS,LEON,SURGE,61,0.639344262
GENE,JESSIE,SURGE,61,0.62295082
GALE,JESSIE,SURGE,60,0.466666667
GALE,GUS,SURGE,59,0.593220339
MORTIS,RICO,SURGE,59,0.440677966
GALE,RICO,SANDY,58,0.534482759
SPIKE,STU,SURGE,58,0.620689655
JESSIE,LEON,RICO,58,0.551724138
LEON,RICO,STU,58,0.482758621
CROW,GENE,RICO,57,0.578947368
GALE,PIPER,RICO,57,0.385964912
GUS,SANDY,TARA,57,0.614035088
CHESTER,JESSIE,RICO,57,0.438596491
GALE,STU,SURGE,57,0.543859649
JESSIE,NITA,SURGE,56,0.642857143
BUSTER,GENE,SURGE,56,0.571428571
GENE,MORTIS,SURGE,56,0.589285714
PENNY,SURGE,TARA,56,0.660714286
GUS,MORTIS,SURGE,55,0.636363636
COLT,STU,SURGE,55,0.327272727
BUSTER,GUS,TARA,55,0.672727273
GENE,SPIKE,STU,54,0.518518519
BUSTER,GUS,RICO,54,0.574074074
JESSIE,SPIKE,SURGE,54,0.5
LEON,RICO,SANDY,54,0.592592593
DARRYL,GUS,SURGE,54,0.574074074
MAISIE,RICO,SURGE,53,0.660377358
GENE,RICO,TARA,53,0.58490566
PENNY,RICO,SANDY,53,0.509433962
CROW,GUS,TARA,53,0.547169811
JESSIE,RICO,SPIKE,52,0.653846154
GENE,MORTIS,RICO,52,0.423076923
GENE,MORTIS,TARA,52,0.730769231
GALE,JESSIE,RICO,52,0.615384615
GENE,RICO,SPIKE,52,0.480769231
PIPER,RICO,TARA,52,0.423076923
CROW,GALE,SURGE,52,0.538461538
JESSIE,SANDY,TARA,51,0.549019608
PIPER,RICO,SANDY,51,0.588235294
RICO,SPIKE,STU,51,0.529411765
BUSTER,PIPER,SURGE,51,0.62745098
GALE,RICO,STU,51,0.588235294
GUS,SPIKE,SURGE,50,0.54
LEON,SURGE,TARA,50,0.8
JESSIE,MAISIE,SURGE,49,0.448979592
MORTIS,RICO,TARA,49,0.469387755
BYRON,RICO,SURGE,49,0.346938776
GUS,LEON,STU,49,0.408163265
GUS,NITA,SURGE,49,0.571428571
JESSIE,MORTIS,RICO,49,0.469387755
BO,MORTIS,SURGE,48,0.583333333
LEON,MORTIS,SURGE,48,0.5
PIPER,SANDY,SURGE,48,0.395833333
GUS,MORTIS,TARA,48,0.6875
JESSIE,MORTIS,SURGE,48,0.458333333
PIPER,SANDY,TARA,47,0.638297872
BUSTER,GUS,SURGE,47,0.744680851
BUSTER,GALE,GUS,47,0.425531915
PENNY,STU,TARA,47,0.70212766
PENNY,SANDY,SURGE,47,0.595744681
GALE,SURGE,TARA,46,0.565217391
LEON,PIPER,RICO,46,0.434782609
BUSTER,RICO,TARA,46,0.608695652
PIPER,STU,TARA,46,0.565217391
JESSIE,LEON,TARA,45,0.6
COLT,RICO,TARA,45,0.511111111
CROW,JESSIE,SURGE,45,0.733333333
COLT,SURGE,TARA,45,0.644444444
GUS,MAISIE,SURGE,45,0.4
CROW,RICO,TARA,45,0.533333333
LEON,RICO,TARA,44,0.454545455
GALE,STU,TARA,44,0.522727273
BUSTER,GENE,STU,44,0.522727273
GENE,LEON,SURGE,44,0.613636364
CROW,PIPER,SURGE,44,0.568181818
GENE,SPIKE,SURGE,44,0.545454545
CARL,GUS,SURGE,44,0.431818182
RICO,SANDY,SPIKE,44,0.636363636
BUSTER,PENNY,SURGE,44,0.568181818
BYRON,SURGE,TARA,43,0.651162791
BO,SANDY,SURGE,43,0.697674419
