Team,tm1,tm2,Picks Recorded,Win Rate
COLETTE,COLT,JESSIE,327,0.4709480122324159
COLETTE,COLT,DYNAMIKE,286,0.4965034965034965
COLETTE,COLT,NITA,279,0.5555555555555556
COLETTE,DYNAMIKE,JESSIE,259,0.5366795366795367
COLETTE,NITA,RICO,251,0.6374501992031872
COLETTE,COLT,MELODIE,248,0.5181451612903226
COLETTE,DYNAMIKE,RICO,245,0.5020408163265306
COLETTE,DYNAMIKE,NITA,241,0.6141078838174274
COLETTE,COLT,RICO,229,0.3799126637554585
COLT,JESSIE,RICO,226,0.4424778761061947
COLETTE,COLT,CROW,226,0.39823008849557523
COLT,DYNAMIKE,JESSIE,225,0.5511111111111111
BARLEY,COLETTE,COLT,219,0.4063926940639269
COLT,DYNAMIKE,NITA,211,0.6729857819905213
DYNAMIKE,JESSIE,NITA,207,0.7318840579710145
BARLEY,NITA,RICO,206,0.6310679611650486
COLT,CROW,JESSIE,206,0.3592233009708738
COLT,JESSIE,NITA,205,0.5121951219512195
DYNAMIKE,NITA,RICO,205,0.7219512195121951
COLETTE,JESSIE,NITA,202,0.6584158415841584
COLETTE,JESSIE,RICO,198,0.48484848484848486
BARLEY,COLETTE,JESSIE,197,0.5482233502538071
COLT,NITA,RICO,195,0.5333333333333333
BIBI,COLETTE,RICO,195,0.6
COLT,DYNAMIKE,RICO,190,0.46842105263157896
JESSIE,NITA,RICO,190,0.6578947368421053
COLT,MELODIE,NITA,186,0.6344086021505376
BARLEY,COLT,NITA,181,0.5469613259668509
BARLEY,COLETTE,RICO,181,0.5911602209944752
COLETTE,EDGAR,JESSIE,178,0.46629213483146065
COLT,MELODIE,RICO,175,0.56
COLT,JESSIE,MELODIE,174,0.6436781609195402
COLETTE,CROW,RICO,174,0.3505747126436782
BARLEY,COLETTE,NITA,174,0.6954022988505747
BIBI,COLT,NITA,170,0.6235294117647059
COLT,DYNAMIKE,MELODIE,169,0.6390532544378699
BROCK,COLT,NITA,168,0.4523809523809524
BIBI,DYNAMIKE,RICO,168,0.5416666666666666
BROCK,COLETTE,COLT,166,0.3253012048192771
COLETTE,CROW,JESSIE,165,0.4727272727272727
DYNAMIKE,JESSIE,RICO,164,0.6097560975609756
COLETTE,COLT,SPIKE,164,0.4573170731707317
CROW,JESSIE,NITA,163,0.6134969325153374
COLETTE,MELODIE,NITA,163,0.7239263803680982
DYNAMIKE,MELODIE,RICO,161,0.6739130434782609
COLETTE,DYNAMIKE,MELODIE,160,0.675
JESSIE,MELODIE,RICO,157,0.5796178343949044
BARLEY,JESSIE,RICO,155,0.5032258064516129
COLETTE,EDGAR,RICO,153,0.5163398692810458
COLETTE,COLT,EDGAR,152,0.45394736842105265
COLETTE,MELODIE,RICO,150,0.6133333333333333
COLT,CROW,NITA,150,0.5133333333333333
BIBI,COLT,JESSIE,149,0.5033557046979866
COLT,NITA,SPIKE,149,0.5503355704697986
BARLEY,COLT,JESSIE,147,0.5102040816326531
BROCK,COLETTE,JESSIE,146,0.4315068493150685
COLETTE,CROW,DYNAMIKE,145,0.42758620689655175
COLT,EDGAR,JESSIE,144,0.5625
BIBI,COLETTE,COLT,143,0.5454545454545454
BIBI,NITA,RICO,142,0.6830985915492958
COLETTE,JESSIE,MELODIE,142,0.5070422535211268
BIBI,JESSIE,NITA,141,0.7801418439716312
BIBI,COLETTE,JESSIE,140,0.5142857142857142
BIBI,COLETTE,MELODIE,140,0.7
BROCK,COLT,CROW,139,0.3237410071942446
CROW,DYNAMIKE,JESSIE,139,0.4892086330935252
BIBI,DYNAMIKE,JESSIE,135,0.5703703703703704
BARLEY,JESSIE,NITA,135,0.6666666666666666
COLT,CROW,DYNAMIKE,134,0.5149253731343284
DYNAMIKE,JESSIE,MELODIE,134,0.7313432835820896
BIBI,JESSIE,RICO,134,0.5522388059701493
COLETTE,CROW,NITA,133,0.45864661654135336
BERRY,COLETTE,COLT,133,0.5075187969924813
EDGAR,JESSIE,RICO,132,0.6515151515151515
BARLEY,COLT,MELODIE,131,0.6259541984732825
JESSIE,MELODIE,NITA,130,0.7307692307692307
COLETTE,EDGAR,NITA,130,0.6692307692307692
BIBI,COLETTE,NITA,130,0.7153846153846154
MELODIE,NITA,RICO,130,0.6615384615384615
EDGAR,NITA,RICO,130,0.7615384615384615
CROW,DYNAMIKE,RICO,129,0.43410852713178294
LARRY & LAWRIE,NITA,RICO,128,0.58203125
BIBI,COLT,RICO,128,0.5390625
BARLEY,MELODIE,RICO,128,0.625
DYNAMIKE,MELODIE,NITA,127,0.7952755905511811
COLT,JESSIE,SPIKE,126,0.48412698412698413
COLT,CROW,RICO,125,0.364
COLT,EDGAR,RICO,123,0.6260162601626016
CROW,NITA,RICO,123,0.5121951219512195
CHUCK,COLT,JESSIE,122,0.5
BIBI,COLT,DYNAMIKE,122,0.6475409836065574
COLT,NITA,PENNY,122,0.5491803278688525
CROW,DYNAMIKE,NITA,120,0.5916666666666667
COLETTE,DYNAMIKE,SPIKE,119,0.5294117647058824
BERRY,COLETTE,JESSIE,118,0.5169491525423728
EDGAR,JESSIE,NITA,117,0.6495726495726496
BARLEY,COLT,RICO,117,0.5384615384615384
COLT,EDGAR,NITA,115,0.6739130434782609
COLT,EDGAR,MELODIE,115,0.6695652173913044
BIBI,DYNAMIKE,MELODIE,115,0.6869565217391305
BARLEY,RICO,SPIKE,114,0.5350877192982456
BROCK,COLETTE,RICO,113,0.4247787610619469
JESSIE,RICO,SPIKE,113,0.5309734513274337
COLETTE,COLT,DARRYL,112,0.49107142857142855
COLT,DYNAMIKE,SPIKE,111,0.4594594594594595
CHUCK,COLT,NITA,111,0.7027027027027027
BERRY,COLT,NITA,111,0.7747747747747747
COLETTE,DYNAMIKE,PENNY,110,0.5363636363636364
BARLEY,COLETTE,CROW,110,0.41818181818181815
COLETTE,RICO,SPIKE,109,0.4036697247706422
BIBI,COLETTE,DYNAMIKE,109,0.6330275229357798
CROW,JESSIE,RICO,109,0.44036697247706424
NITA,RICO,SPIKE,109,0.5871559633027523
BERRY,COLETTE,RICO,108,0.5648148148148148
COLETTE,COLT,PENNY,108,0.3148148148148148
BARLEY,COLETTE,MELODIE,108,0.6296296296296297
BARLEY,JESSIE,MELODIE,107,0.5794392523364486
COLETTE,COLT,LARRY & LAWRIE,107,0.411214953271028
DYNAMIKE,EDGAR,JESSIE,106,0.6132075471698113
CARL,COLETTE,COLT,106,0.46226415094339623
DYNAMIKE,JESSIE,SPIKE,105,0.580952380952381
BARLEY,BIBI,COLT,105,0.5714285714285714
CROW,MELODIE,RICO,105,0.5333333333333333
CHUCK,COLT,RICO,104,0.47115384615384615
COLETTE,NITA,SPIKE,104,0.5
BERRY,NITA,RICO,102,0.5784313725490197
CHUCK,COLT,DYNAMIKE,102,0.5196078431372549
COLETTE,CROW,EDGAR,102,0.5490196078431373
BARLEY,BIBI,RICO,102,0.5588235294117647
CROW,DYNAMIKE,MELODIE,102,0.6862745098039216
COLETTE,LARRY & LAWRIE,NITA,101,0.6138613861386139
BERRY,COLETTE,NITA,101,0.6732673267326733
