Team,tm1,tm2,Picks Recorded,Win Rate
COLETTE,COLT,PIPER,449,0.394209354
BROCK,COLETTE,COLT,400,0.50875
BROCK,COLT,JESSIE,398,0.535175879
COLETTE,COLT,JESSIE,328,0.551829268
COLT,JESSIE,PIPER,328,0.50304878
COLT,CROW,PIPER,320,0.3828125
COLETTE,COLT,CROW,315,0.511111111
COLT,CROW,JESSIE,309,0.546925566
BROCK,COLT,PIPER,290,0.346551724
BROCK,COLT,CROW,285,0.505263158
BROCK,COLETTE,PIPER,280,0.514285714
ANGELO,COLT,JESSIE,277,0.593862816
ANGELO,COLT,PIPER,275,0.521818182
COLETTE,CROW,PIPER,274,0.520072993
BROCK,COLETTE,JESSIE,272,0.606617647
ANGELO,COLETTE,COLT,269,0.609665428
COLT,PENNY,PIPER,260,0.476923077
BROCK,COLETTE,CROW,258,0.532945736
COLETTE,COLT,PENNY,253,0.561264822
COLETTE,PENNY,PIPER,251,0.488047809
BROCK,JESSIE,PIPER,249,0.491967871
COLETTE,JESSIE,PIPER,248,0.560483871
COLT,MELODIE,PIPER,235,0.570212766
BROCK,PENNY,PIPER,231,0.452380952
CROW,JESSIE,PIPER,228,0.506578947
ANGELO,COLETTE,PIPER,227,0.513215859
ANGELO,BROCK,COLT,224,0.488839286
COLT,JESSIE,RICO,221,0.470588235
ANGELO,JESSIE,PIPER,214,0.565420561
BELLE,COLETTE,COLT,211,0.55450237
BROCK,CROW,JESSIE,210,0.533333333
COLETTE,COLT,RICO,208,0.514423077
ANGELO,COLT,CROW,206,0.52184466
COLT,CROW,RICO,201,0.437810945
BROCK,COLETTE,PENNY,200,0.5825
BROCK,COLT,PENNY,197,0.497461929
COLETTE,COLT,MELODIE,197,0.654822335
COLT,EVE,PIPER,195,0.402564103
COLT,PIPER,RICO,194,0.381443299
BROCK,COLT,MELODIE,194,0.582474227
COLT,CROW,PENNY,194,0.590206186
COLT,JESSIE,PENNY,193,0.554404145
BROCK,COLETTE,MELODIE,191,0.654450262
BROCK,CROW,PIPER,189,0.481481481
ANGELO,COLETTE,JESSIE,187,0.588235294
ANGELO,COLETTE,CROW,187,0.561497326
BELLE,COLETTE,PIPER,187,0.430481283
JESSIE,MELODIE,PIPER,185,0.664864865
BROCK,MELODIE,PIPER,180,0.552777778
COLETTE,JESSIE,PENNY,178,0.696629213
ANGELO,BROCK,COLETTE,177,0.596045198
COLT,JESSIE,MELODIE,176,0.630681818
COLT,CROW,MELODIE,175,0.654285714
COLETTE,CROW,RICO,175,0.54
BROCK,JESSIE,RICO,172,0.552325581
BROCK,JESSIE,MELODIE,168,0.732142857
BROCK,COLETTE,RICO,167,0.55988024
COLETTE,JESSIE,RICO,167,0.494011976
ANGELO,COLT,PENNY,165,0.575757576
BROCK,COLT,RICO,164,0.442073171
JESSIE,PENNY,PIPER,164,0.634146341
ANGELO,BROCK,JESSIE,163,0.644171779
CARL,COLT,PIPER,162,0.543209877
COLT,MELODIE,PENNY,160,0.6125
BROCK,COLT,SPIKE,159,0.481132075
CROW,JESSIE,RICO,159,0.578616352
COLETTE,CROW,JESSIE,159,0.51572327
COLT,MELODIE,RICO,158,0.569620253
ANGELO,COLT,RICO,158,0.582278481
COLETTE,COLT,EVE,157,0.662420382
ANGELO,CROW,JESSIE,157,0.611464968
COLETTE,COLT,MANDY,154,0.409090909
CROW,PENNY,PIPER,154,0.503246753
BELLE,BROCK,COLT,152,0.4375
COLT,EVE,JESSIE,151,0.602649007
CARL,COLETTE,COLT,151,0.635761589
ANGELO,BROCK,PIPER,151,0.470198675
BROCK,JESSIE,PENNY,150,0.673333333
COLT,JESSIE,SPIKE,150,0.506666667
CROW,MELODIE,PIPER,148,0.648648649
BELLE,COLT,CROW,148,0.5
COLETTE,COLT,SPIKE,147,0.5
BROCK,CROW,RICO,145,0.551724138
BROCK,JESSIE,SPIKE,144,0.555555556
COLETTE,CROW,PENNY,144,0.583333333
BELLE,COLT,PIPER,144,0.368055556
COLETTE,PIPER,RICO,144,0.395833333
ANGELO,JESSIE,PENNY,143,0.622377622
COLT,PIPER,SPIKE,142,0.387323944
COLETTE,MELODIE,PIPER,142,0.454225352
COLETTE,JESSIE,MELODIE,139,0.712230216
BELLE,COLT,JESSIE,139,0.489208633
ANGELO,MELODIE,PIPER,138,0.489130435
CARL,COLETTE,PIPER,137,0.503649635
ANGELO,COLETTE,RICO,137,0.532846715
BELLE,COLETTE,JESSIE,136,0.606617647
COLETTE,JESSIE,SPIKE,136,0.610294118
COLT,CROW,SPIKE,136,0.448529412
BELLE,COLT,MELODIE,133,0.5
ANGELO,COLETTE,PENNY,133,0.654135338
ANGELO,BELLE,COLETTE,132,0.670454545
JESSIE,PIPER,RICO,130,0.484615385
COLETTE,EVE,JESSIE,129,0.759689922
ANGELO,BELLE,COLT,129,0.457364341
ANGELO,PENNY,PIPER,129,0.511627907
8-BIT,BROCK,COLETTE,128,0.49609375
ANGELO,COLT,MELODIE,127,0.614173228
COLT,RICO,SPIKE,126,0.388888889
COLETTE,CROW,MELODIE,125,0.608
ANGELO,BROCK,PENNY,124,0.653225806
COLT,PENNY,RICO,124,0.524193548
EVE,JESSIE,PIPER,122,0.573770492
ANGELO,BROCK,CROW,122,0.508196721
CROW,PIPER,RICO,122,0.413934426
BELLE,BROCK,PENNY,122,0.504098361
CROW,JESSIE,SPIKE,120,0.6125
BELLE,BROCK,COLETTE,118,0.538135593
BROCK,CARL,COLT,118,0.588983051
8-BIT,COLETTE,COLT,118,0.444915254
BROCK,COLETTE,EVE,117,0.683760684
BROCK,COLT,EVE,117,0.512820513
CARL,COLT,CROW,117,0.572649573
COLETTE,CROW,MANDY,116,0.36637931
BROCK,CROW,MELODIE,116,0.724137931
8-BIT,COLT,JESSIE,116,0.50862069
BELLE,BROCK,JESSIE,116,0.560344828
BROCK,PENNY,RICO,114,0.535087719
COLETTE,EVE,PIPER,114,0.48245614
COLETTE,COLT,NANI,113,0.530973451
BROCK,CROW,PENNY,112,0.566964286
CROW,JESSIE,MELODIE,111,0.761261261
ANGELO,BELLE,BROCK,110,0.422727273
8-BIT,COLT,PIPER,110,0.218181818
ANGELO,CROW,PIPER,110,0.472727273
CARL,JESSIE,PIPER,109,0.541284404
BROCK,COLETTE,NITA,109,0.559633028
CROW,JESSIE,PENNY,109,0.633027523
8-BIT,BROCK,JESSIE,109,0.509174312
COLETTE,MELODIE,PENNY,108,0.694444444
COLT,JESSIE,MANDY,106,0.485849057
BELLE,JESSIE,PIPER,106,0.339622642
ANGELO,COLT,MANDY,106,0.603773585
ANGELO,PIPER,RICO,105,0.457142857
BROCK,JESSIE,MANDY,105,0.442857143
COLT,EVE,PENNY,104,0.653846154
CARL,COLT,JESSIE,104,0.615384615
8-BIT,BROCK,COLT,104,0.509615385
ANGELO,COLT,SPIKE,103,0.446601942
COLETTE,DARRYL,PIPER,103,0.538834951
BYRON,COLETTE,COLT,103,0.349514563
BROCK,CROW,SPIKE,103,0.509708738
BELLE,COLETTE,MELODIE,103,0.67961165
BROCK,EVE,JESSIE,102,0.578431373
JESSIE,RICO,SPIKE,102,0.558823529
ANGELO,CARL,COLT,102,0.666666667
MELODIE,PENNY,PIPER,102,0.553921569
COLETTE,CROW,SPIKE,101,0.53960396
ANGELO,BELLE,JESSIE,101,0.54950495
BROCK,COLT,MANDY,101,0.267326733
BELLE,BROCK,CROW,101,0.415841584
COLT,CROW,EVE,101,0.559405941
BROCK,CARL,JESSIE,100,0.54
ANGELO,JESSIE,MELODIE,100,0.73
MELODIE,PIPER,RICO,99,0.560606061
COLT,MELODIE,SPIKE,99,0.595959596
COLT,MANDY,MELODIE,98,0.581632653
COLETTE,MELODIE,RICO,98,0.642857143
JESSIE,PENNY,RICO,97,0.546391753
COLETTE,COLT,DARRYL,97,0.628865979
8-BIT,BROCK,PIPER,97,0.350515464
JESSIE,MELODIE,RICO,96,0.541666667
8-BIT,ANGELO,COLT,96,0.447916667
BROCK,CARL,PIPER,96,0.395833333
COLETTE,MANDY,PIPER,95,0.421052632
BELLE,COLT,PENNY,95,0.489473684
BELLE,COLETTE,CROW,95,0.505263158
