Team,tm1,tm2,Picks Recorded,Win Rate
BIBI,LARRY & LAWRIE,SURGE,214,0.591121495
BIBI,DYNAMIKE,SURGE,201,0.597014925
BARLEY,BIBI,SURGE,198,0.555555556
LARRY & LAWRIE,NITA,SURGE,171,0.643274854
BARLEY,NITA,SURGE,150,0.54
BUZZ,LARRY & LAWRIE,SURGE,146,0.578767123
BIBI,LARRY & LAWRIE,NITA,144,0.736111111
CORDELIUS,LARRY & LAWRIE,SURGE,142,0.570422535
BARLEY,STU,SURGE,137,0.605839416
JACKY,LARRY & LAWRIE,SURGE,137,0.591240876
BARLEY,CORDELIUS,SURGE,133,0.496240602
BARLEY,MICO,SURGE,132,0.598484848
DYNAMIKE,NITA,SURGE,131,0.488549618
BIBI,RICO,SURGE,126,0.380952381
BARLEY,JACKY,SURGE,122,0.573770492
BIBI,JUJU,SURGE,119,0.731092437
BARLEY,RICO,SURGE,117,0.393162393
BUZZ,DYNAMIKE,SURGE,113,0.495575221
DYNAMIKE,SHADE,SURGE,112,0.473214286
BARLEY,KENJI,SURGE,112,0.589285714
BIBI,LARRY & LAWRIE,MICO,112,0.553571429
DYNAMIKE,STU,SURGE,110,0.536363636
DYNAMIKE,JACKY,SURGE,110,0.518181818
DYNAMIKE,GALE,SURGE,108,0.574074074
LARRY & LAWRIE,STU,SURGE,107,0.560747664
BIBI,NITA,SURGE,107,0.560747664
DYNAMIKE,RICO,SURGE,106,0.311320755
DYNAMIKE,KENJI,SURGE,105,0.495238095
BIBI,SHADE,SURGE,105,0.628571429
KENJI,LARRY & LAWRIE,SURGE,105,0.628571429
BIBI,MICO,SURGE,104,0.576923077
BIBI,EDGAR,SURGE,104,0.634615385
LARRY & LAWRIE,MICO,SURGE,103,0.582524272
BERRY,BIBI,SURGE,103,0.59223301
GALE,LARRY & LAWRIE,SURGE,103,0.446601942
BIBI,GALE,LARRY & LAWRIE,102,0.5
BARLEY,BIBI,SHADE,100,0.66
BARLEY,BUZZ,SURGE,100,0.58
BARLEY,BIBI,STU,100,0.64
JACKY,JUJU,SURGE,98,0.836734694
LARRY & LAWRIE,R-T,SURGE,97,0.711340206
BIBI,CORDELIUS,DYNAMIKE,97,0.443298969
DYNAMIKE,MICO,SURGE,96,0.552083333
JUJU,NITA,SURGE,96,0.770833333
BERRY,CORDELIUS,SURGE,95,0.505263158
BARLEY,GALE,SURGE,94,0.510638298
LARRY & LAWRIE,SHADE,SURGE,94,0.585106383
CORDELIUS,JUJU,SURGE,93,0.774193548
BUZZ,NITA,SURGE,92,0.576086957
CORDELIUS,LARRY & LAWRIE,NITA,91,0.593406593
BIBI,BUZZ,LARRY & LAWRIE,90,0.544444444
BIBI,DYNAMIKE,NITA,90,0.555555556
BARLEY,BIBI,GALE,90,0.5
MICO,NITA,SURGE,89,0.617977528
BIBI,CORDELIUS,JUJU,89,0.730337079
BARLEY,SHADE,SURGE,88,0.545454545
