Team,tm1,tm2,Picks Recorded,Win Rate
BYRON,DARRYL,KIT,234,0.514957265
DARRYL,KIT,RICO,212,0.617924528
BROCK,RICO,SPROUT,209,0.540669856
BROCK,LARRY & LAWRIE,RICO,203,0.492610837
PIPER,RICO,SPROUT,203,0.527093596
GENE,RICO,SPROUT,175,0.485714286
GUS,RICO,SPROUT,170,0.629411765
DARRYL,GUS,KIT,170,0.582352941
BROCK,PIPER,SPROUT,169,0.473372781
LARRY & LAWRIE,PIPER,RICO,157,0.47133758
BROCK,DYNAMIKE,RICO,155,0.522580645
GUS,PIPER,SPROUT,154,0.668831169
GUS,PIPER,RICO,148,0.574324324
BROCK,GUS,PIPER,140,0.607142857
GUS,LARRY & LAWRIE,RICO,139,0.54676259
BROCK,GUS,LARRY & LAWRIE,138,0.550724638
BROCK,RICO,TICK,137,0.52189781
PIPER,RICO,TICK,133,0.511278195
GROM,GUS,RICO,133,0.609022556
EDGAR,LARRY & LAWRIE,RICO,132,0.549242424
BROCK,PIPER,RICO,131,0.526717557
DARRYL,KIT,PIPER,129,0.527131783
DYNAMIKE,GUS,RICO,129,0.457364341
GRAY,RICO,SPROUT,129,0.596899225
BROCK,GROM,RICO,129,0.612403101
GRAY,PIPER,RICO,129,0.496124031
DYNAMIKE,PIPER,RICO,124,0.419354839
BROCK,GUS,SPROUT,121,0.73553719
BROCK,LARRY & LAWRIE,PIPER,121,0.553719008
GENE,GUS,SPROUT,121,0.595041322
GRAY,GROM,RICO,120,0.575
DYNAMIKE,RICO,SPIKE,119,0.487394958
BROCK,DYNAMIKE,PIPER,118,0.601694915
BROCK,GUS,RICO,116,0.63362069
BROCK,GRAY,GUS,115,0.652173913
EDGAR,RICO,SPROUT,114,0.552631579
BROCK,GUS,TICK,113,0.588495575
BROCK,GENE,SPROUT,112,0.6875
GENE,GUS,RICO,111,0.603603604
BROCK,PIPER,TICK,111,0.504504505
BROCK,DARRYL,KIT,111,0.594594595
DARRYL,KIT,SPROUT,111,0.621621622
DYNAMIKE,EDGAR,RICO,111,0.486486486
GUS,RICO,TICK,111,0.576576577
BROCK,GENE,GUS,110,0.563636364
GRAY,GUS,SPROUT,110,0.590909091
GRAY,LARRY & LAWRIE,RICO,108,0.555555556
GUS,LARRY & LAWRIE,PIPER,107,0.588785047
BROCK,GENE,LARRY & LAWRIE,105,0.60952381
GRAY,PIPER,SPROUT,104,0.701923077
BROCK,GENE,PIPER,104,0.514423077
GENE,GROM,RICO,103,0.582524272
BROCK,GENE,RICO,102,0.612745098
BROCK,GRAY,RICO,102,0.62745098
DARRYL,GENE,KIT,102,0.598039216
BROCK,GRAY,SPROUT,102,0.647058824
BROCK,GRAY,PIPER,100,0.63
BARLEY,PIPER,RICO,100,0.43
GENE,PIPER,RICO,99,0.434343434
BROCK,GROM,PIPER,98,0.714285714
GENE,PIPER,SPROUT,98,0.469387755
BROCK,EDGAR,GUS,98,0.530612245
GROM,PIPER,RICO,96,0.583333333
BELLE,GUS,SPROUT,95,0.631578947
GENE,RICO,TICK,95,0.505263158
BELLE,RICO,SPROUT,94,0.574468085
BROCK,GRAY,LARRY & LAWRIE,94,0.531914894
DYNAMIKE,GENE,RICO,93,0.569892473
LARRY & LAWRIE,RICO,SPIKE,93,0.537634409
GUS,PIPER,TICK,93,0.634408602
BARLEY,BROCK,RICO,91,0.516483516
RICO,SPIKE,SPROUT,91,0.450549451
BROCK,EDGAR,RICO,91,0.527472527
BROCK,DYNAMIKE,EDGAR,90,0.561111111
GRAY,PIPER,TICK,90,0.6
DARRYL,KIT,TICK,89,0.595505618
EDGAR,PIPER,RICO,89,0.595505618
GENE,GRAY,SPROUT,87,0.655172414
GRAY,GUS,PIPER,87,0.655172414
DARRYL,DYNAMIKE,KIT,86,0.587209302
BYRON,RICO,SPROUT,86,0.511627907
EDGAR,GUS,LARRY & LAWRIE,85,0.523529412
BROCK,MICO,RICO,85,0.694117647
LEON,RICO,SPROUT,85,0.588235294
BROCK,GROM,GUS,85,0.564705882
GROM,GUS,PIPER,84,0.583333333
BROCK,EDGAR,PIPER,83,0.493975904
GENE,GROM,GUS,82,0.634146341
BELLE,GROM,RICO,82,0.524390244
MORTIS,RICO,SPROUT,81,0.555555556
GRAY,GUS,TICK,79,0.746835443
BARLEY,BROCK,PIPER,79,0.455696203
BROCK,SPIKE,SPROUT,79,0.582278481
LARRY & LAWRIE,MICO,RICO,79,0.594936709
GRAY,RICO,TICK,78,0.58974359
BELLE,BROCK,GRAY,78,0.615384615
GRAY,GUS,LARRY & LAWRIE,78,0.525641026
BYRON,GUS,LARRY & LAWRIE,78,0.615384615
BELLE,PIPER,SPROUT,78,0.5
BELLE,GENE,SPROUT,77,0.571428571
BYRON,GRAY,GUS,77,0.448051948
BROCK,GENE,GROM,77,0.636363636
DARRYL,GRAY,KIT,76,0.671052632
BYRON,LARRY & LAWRIE,PIPER,76,0.526315789
BELLE,BROCK,GROM,75,0.546666667
BROCK,BYRON,GROM,75,0.6
BARLEY,GUS,RICO,75,0.6
GENE,GUS,PIPER,74,0.5
DYNAMIKE,GRAY,RICO,74,0.432432432
GROM,MICO,RICO,74,0.716216216
BYRON,PIPER,SPROUT,74,0.540540541
GRAY,MICO,RICO,74,0.527027027
BELLE,GRAY,SPROUT,74,0.486486486
MANDY,RICO,SPROUT,74,0.527027027
GENE,GUS,TICK,74,0.547297297
BARLEY,MICO,RICO,73,0.520547945
GUS,MANDY,SPROUT,73,0.506849315
LARRY & LAWRIE,MORTIS,RICO,73,0.465753425
BELLE,RICO,TICK,72,0.555555556
BROCK,BYRON,SPROUT,72,0.513888889
BELLE,BROCK,PIPER,72,0.652777778
GENE,LARRY & LAWRIE,RICO,72,0.416666667
BYRON,LARRY & LAWRIE,RICO,72,0.472222222
RICO,SPROUT,STU,71,0.535211268
BARLEY,GENE,RICO,71,0.478873239
BELLE,BROCK,SPROUT,71,0.408450704
MICO,RICO,SPROUT,70,0.671428571
BROCK,BYRON,PIPER,70,0.5
BROCK,MORTIS,RICO,70,0.407142857
BELLE,LARRY & LAWRIE,RICO,70,0.428571429
DARRYL,KIT,LARRY & LAWRIE,70,0.635714286
BROCK,RICO,SPIKE,70,0.55
BARLEY,GRAY,RICO,69,0.594202899
DARRYL,GROM,GUS,69,0.637681159
BROCK,EDGAR,LARRY & LAWRIE,69,0.536231884
DYNAMIKE,PIPER,SPIKE,69,0.289855072
EDGAR,GUS,RICO,69,0.565217391
GENE,GRAY,LARRY & LAWRIE,69,0.695652174
GRAY,GUS,RICO,68,0.566176471
MORTIS,PIPER,RICO,67,0.462686567
BYRON,GROM,RICO,67,0.567164179
DYNAMIKE,MICO,RICO,67,0.432835821
MICO,PIPER,RICO,67,0.47761194
BYRON,DYNAMIKE,RICO,67,0.417910448
BROCK,GENE,GRAY,66,0.560606061
BROCK,CARL,PIPER,66,0.439393939
EDGAR,LARRY & LAWRIE,PIPER,66,0.46969697
DYNAMIKE,EDGAR,PIPER,66,0.424242424
BELLE,BROCK,LARRY & LAWRIE,66,0.651515152
BROCK,GUS,MANDY,66,0.621212121
BROCK,BYRON,TICK,66,0.5
LARRY & LAWRIE,MANDY,RICO,66,0.409090909
DYNAMIKE,LEON,RICO,66,0.477272727
GUS,MORTIS,SPROUT,66,0.560606061
BYRON,GRAY,LARRY & LAWRIE,66,0.53030303
BARLEY,EDGAR,RICO,65,0.538461538
BROCK,CARL,RICO,65,0.553846154
R-T,RICO,SPROUT,65,0.507692308
BROCK,LARRY & LAWRIE,SPIKE,64,0.625
GRAY,LARRY & LAWRIE,PIPER,64,0.65625
BYRON,RICO,TICK,64,0.46875
