Team,tm1,tm2,Picks Recorded,Win Rate
BYRON,DARRYL,KIT,409,0.651589242
DARRYL,GUS,KIT,180,0.616666667
DARRYL,GENE,KIT,174,0.689655172
DARRYL,KIT,PIPER,151,0.635761589
DARRYL,KIT,TICK,146,0.609589041
BROCK,DARRYL,KIT,144,0.631944444
GENE,PIPER,SPROUT,142,0.485915493
GUS,PIPER,SPROUT,139,0.539568345
BROCK,GENE,SPROUT,138,0.586956522
GENE,GUS,SPROUT,128,0.51171875
DARRYL,DYNAMIKE,KIT,125,0.572
GENE,LARRY & LAWRIE,PIPER,123,0.455284553
BROCK,GROM,PIPER,116,0.637931034
BROCK,DYNAMIKE,PIPER,115,0.486956522
GENE,MANDY,SPROUT,111,0.513513514
BROCK,JUJU,PIPER,111,0.621621622
DARRYL,KIT,SPROUT,108,0.657407407
DARRYL,KIT,MANDY,107,0.672897196
GENE,GUS,LARRY & LAWRIE,107,0.542056075
BROCK,GENE,LARRY & LAWRIE,107,0.542056075
BROCK,GENE,TICK,106,0.556603774
GRAY,PIPER,SPROUT,105,0.552380952
GENE,GRAY,SPROUT,105,0.60952381
DARRYL,KIT,RICO,104,0.644230769
DARRYL,GROM,KIT,104,0.75
BROCK,PIPER,SPROUT,101,0.435643564
GENE,LARRY & LAWRIE,MANDY,99,0.53030303
DYNAMIKE,GENE,PIPER,98,0.505102041
GENE,PEARL,SPROUT,96,0.583333333
GENE,PIPER,TICK,95,0.578947368
GENE,GROM,PIPER,94,0.563829787
GUS,MANDY,SPROUT,90,0.544444444
DARRYL,JUJU,KIT,90,0.6
DARRYL,KIT,LEON,90,0.688888889
BROCK,LARRY & LAWRIE,PIPER,89,0.471910112
GENE,R-T,SPROUT,89,0.651685393
GENE,GUS,TICK,88,0.556818182
BROCK,PIPER,TICK,84,0.43452381
GENE,GROM,GUS,83,0.638554217
MANDY,PIPER,TICK,82,0.5
BUSTER,GENE,LARRY & LAWRIE,82,0.573170732
BROCK,GENE,JUJU,81,0.679012346
MANDY,PIPER,SPROUT,80,0.45
DARRYL,KIT,LARRY & LAWRIE,80,0.6375
GENE,JUJU,PIPER,79,0.430379747
BROCK,GROM,GUS,79,0.683544304
GENE,MANDY,TICK,79,0.582278481
BROCK,GENE,GROM,78,0.679487179
GENE,GUS,JUJU,76,0.539473684
BROCK,MANDY,SPROUT,76,0.605263158
BROCK,GUS,TICK,75,0.48
DYNAMIKE,LILY,PIPER,75,0.506666667
GENE,GROM,PEARL,73,0.719178082
GUS,PEARL,SPROUT,73,0.561643836
GUS,LARRY & LAWRIE,PIPER,73,0.369863014
BUSTER,GENE,SPROUT,73,0.657534247
LARRY & LAWRIE,MANDY,PIPER,72,0.458333333
GRAY,GROM,GUS,72,0.75
BYRON,GENE,SPROUT,72,0.416666667
BUSTER,GENE,GUS,71,0.61971831
BROCK,RICO,TICK,71,0.436619718
BELLE,GENE,SPROUT,70,0.514285714
GENE,JUJU,MANDY,70,0.642857143
GENE,GRAY,LARRY & LAWRIE,70,0.614285714
GRAY,GUS,SPROUT,70,0.657142857
BUSTER,GENE,TICK,70,0.6
DYNAMIKE,LEON,PIPER,70,0.5
DARRYL,GENE,LARRY & LAWRIE,69,0.637681159
DARRYL,PIPER,SPROUT,69,0.550724638
GROM,GUS,PIPER,68,0.573529412
GENE,LEON,TICK,68,0.558823529
BROCK,DYNAMIKE,GENE,68,0.558823529
BYRON,GROM,PIPER,67,0.47761194
BROCK,EDGAR,PIPER,67,0.641791045
ANGELO,GENE,SPROUT,67,0.582089552
DARRYL,GUS,SPROUT,66,0.568181818
BELLE,GENE,LARRY & LAWRIE,66,0.454545455
EDGAR,GENE,SPROUT,66,0.636363636
GENE,LARRY & LAWRIE,LEON,66,0.46969697
BROCK,LILY,SPROUT,66,0.515151515
GENE,GUS,PIPER,66,0.5
BROCK,GUS,SPROUT,66,0.545454545
EDGAR,GROM,PIPER,65,0.469230769
BROCK,LARRY & LAWRIE,MANDY,64,0.609375
GENE,R-T,TICK,64,0.515625
BROCK,GUS,LARRY & LAWRIE,63,0.555555556
BROCK,SPIKE,TICK,63,0.626984127
DARRYL,GRAY,KIT,63,0.682539683
GUS,LILY,SPROUT,62,0.580645161
BYRON,LARRY & LAWRIE,PIPER,62,0.403225806
DARRYL,GENE,SPROUT,62,0.612903226
DARRYL,GENE,GUS,62,0.548387097
GRAY,GUS,JUJU,62,0.467741935
GENE,GROM,MANDY,62,0.629032258
GRAY,LARRY & LAWRIE,PIPER,61,0.508196721
GENE,GRAY,GUS,61,0.573770492
BROCK,GRAY,GROM,60,0.616666667
GUS,LARRY & LAWRIE,MANDY,60,0.433333333
BUSTER,GENE,PIPER,60,0.5
BROCK,GRAY,LARRY & LAWRIE,59,0.423728814
BROCK,LEON,PIPER,59,0.491525424
GENE,GROM,R-T,59,0.711864407
BROCK,GROM,LEON,59,0.677966102
GUS,MANDY,TICK,58,0.568965517
BARLEY,DARRYL,KIT,58,0.586206897
BROCK,GENE,LILY,58,0.594827586
DYNAMIKE,EDGAR,PIPER,58,0.534482759
BROCK,LARRY & LAWRIE,RICO,58,0.431034483
BUSTER,GUS,SPROUT,58,0.586206897
DYNAMIKE,GENE,GUS,57,0.473684211
GENE,LILY,SPROUT,57,0.526315789
BARLEY,BROCK,GENE,57,0.578947368
GUS,JUJU,PIPER,57,0.614035088
BROCK,MANDY,TICK,57,0.403508772
BYRON,DARRYL,GUS,57,0.578947368
GENE,MORTIS,PIPER,57,0.49122807
BROCK,GENE,GRAY,57,0.614035088
BYRON,GUS,TICK,56,0.428571429
DARRYL,GUS,LARRY & LAWRIE,56,0.625
BROCK,DARRYL,LARRY & LAWRIE,56,0.5
DYNAMIKE,GUS,PIPER,56,0.571428571
DARRYL,GENE,PEARL,56,0.589285714
DYNAMIKE,GENE,MANDY,56,0.482142857
BROCK,EDGAR,GENE,55,0.636363636
BUSTER,PIPER,TICK,55,0.727272727
BROCK,GENE,PIPER,55,0.454545455
DYNAMIKE,GENE,LEON,55,0.545454545
KIT,PIPER,SPROUT,55,0.436363636
BARLEY,GENE,GUS,55,0.6
BELLE,GENE,GROM,55,0.6
DARRYL,LARRY & LAWRIE,PIPER,54,0.611111111
MORTIS,PIPER,SPROUT,54,0.574074074
BROCK,BYRON,DYNAMIKE,54,0.481481481
BELLE,BROCK,LARRY & LAWRIE,54,0.444444444
BROCK,GROM,RICO,54,0.537037037
LEON,PIPER,TICK,54,0.574074074
BUSTER,GUS,LARRY & LAWRIE,54,0.518518519
GUS,JUJU,MANDY,54,0.481481481
