Team,tm1,tm2,Picks Recorded,Win Rate
BROCK,GUS,PIPER,283,0.64664311
BROCK,GENE,GUS,262,0.633587786
BROCK,GENE,PIPER,254,0.570866142
BROCK,GENE,NANI,240,0.533333333
BELLE,BROCK,GUS,238,0.615546218
BROCK,BYRON,PIPER,219,0.484018265
BELLE,BROCK,PIPER,218,0.591743119
BROCK,BYRON,GENE,213,0.572769953
BYRON,DARRYL,KIT,210,0.528571429
GENE,GUS,PIPER,204,0.553921569
BROCK,BYRON,GUS,201,0.646766169
BROCK,GUS,MANDY,199,0.633165829
ANGELO,GUS,PIPER,199,0.608040201
BELLE,GUS,PIPER,198,0.46969697
BELLE,BROCK,GENE,198,0.638888889
BROCK,GENE,MANDY,196,0.556122449
BROCK,GUS,NANI,193,0.626943005
GENE,GUS,NANI,192,0.5
BYRON,GUS,PIPER,179,0.48603352
BROCK,NANI,PIPER,179,0.687150838
BYRON,GENE,GUS,177,0.480225989
BROCK,BYRON,NANI,172,0.578488372
ANGELO,GENE,PIPER,172,0.593023256
ANGELO,GENE,GUS,171,0.649122807
BELLE,GENE,GUS,170,0.576470588
BELLE,BROCK,BYRON,167,0.491017964
BELLE,BROCK,NANI,167,0.598802395
BROCK,LEON,PIPER,167,0.622754491
BYRON,GENE,PIPER,166,0.418674699
BROCK,MANDY,PIPER,166,0.65060241
GUS,NANI,PIPER,161,0.571428571
BELLE,BYRON,PIPER,157,0.439490446
ANGELO,BROCK,PIPER,156,0.641025641
GENE,GUS,PEARL,155,0.516129032
GUS,PEARL,PIPER,155,0.664516129
GENE,GUS,MANDY,153,0.575163399
BROCK,DARRYL,KIT,153,0.58496732
ANGELO,BROCK,GENE,152,0.664473684
ANGELO,BYRON,GUS,151,0.688741722
BROCK,GUS,LEON,151,0.642384106
GUS,MANDY,PIPER,150,0.526666667
BROCK,GUS,PEARL,149,0.704697987
BELLE,BROCK,EVE,149,0.72147651
BYRON,GUS,NANI,149,0.516778523
BELLE,NANI,PIPER,147,0.462585034
BELLE,GENE,PIPER,147,0.448979592
EVE,GUS,PIPER,147,0.673469388
ANGELO,BYRON,GENE,145,0.551724138
BROCK,PEARL,PIPER,144,0.715277778
GUS,LEON,PIPER,144,0.611111111
BROCK,COLT,PIPER,143,0.48951049
GENE,MANDY,PIPER,143,0.447552448
GUS,MANDY,NANI,142,0.584507042
BELLE,GUS,MANDY,140,0.485714286
DARRYL,GUS,KIT,140,0.535714286
ANGELO,BROCK,BYRON,140,0.592857143
ANGELO,GUS,MANDY,138,0.641304348
BROCK,BYRON,MANDY,136,0.514705882
ANGELO,BELLE,GUS,134,0.567164179
BELLE,BYRON,GENE,134,0.5
GENE,NANI,PIPER,134,0.440298507
BROCK,MANDY,NANI,133,0.601503759
BROCK,GENE,PEARL,131,0.645038168
BYRON,MANDY,PIPER,131,0.496183206
GENE,PEARL,PIPER,130,0.553846154
BROCK,BYRON,COLT,130,0.523076923
